row_index,split
0,test
1,train
2,train
3,valid
4,train
5,train
6,valid
7,train
8,train
9,train
10,test
11,test
12,valid
13,train
14,train
15,valid
16,test
17,valid
18,valid
19,train
20,valid
21,train
22,test
23,test
24,train
25,valid
26,test
27,train
28,train
29,valid
30,test
31,train
32,valid
33,test
34,test
35,train
36,train
37,train
38,train
39,train
40,valid
41,valid
42,valid
43,train
44,train
45,train
46,test
47,valid
48,train
49,test
50,test
51,test
52,valid
53,valid
54,train
55,test
56,valid
57,train
58,train
59,train
60,valid
61,valid
62,test
63,test
64,test
65,test
66,train
67,train
68,valid
69,test
70,valid
71,test
72,train
73,valid
74,train
75,train
76,train
77,valid
78,train
79,valid
80,test
81,train
82,test
83,train
84,valid
85,valid
86,train
87,valid
88,train
89,valid
90,train
91,test
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,test
100,valid
101,test
102,train
103,test
104,train
105,train
106,train
107,test
108,train
109,train
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,train
118,valid
119,train
120,valid
121,train
122,train
123,test
124,train
125,test
126,train
127,train
128,train
129,train
130,test
131,train
132,test
133,test
134,train
135,train
136,valid
137,train
138,valid
139,valid
140,test
141,train
142,train
143,train
144,train
145,valid
146,train
147,train
148,valid
149,train
150,valid
151,train
152,test
153,test
154,train
155,test
156,train
157,train
158,train
159,train
160,test
161,test
162,train
163,test
164,train
165,test
166,train
167,test
168,train
169,train
170,train
171,valid
172,train
173,train
174,test
175,train
176,valid
177,valid
178,train
179,train
180,train
181,train
182,train
183,valid
184,train
185,valid
186,valid
187,train
188,train
189,test
190,valid
191,train
192,train
193,test
194,train
195,train
196,valid
197,valid
198,test
199,train
200,train
201,valid
202,valid
203,train
204,train
205,valid
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,test
218,test
219,test
220,train
221,test
222,train
223,test
224,train
225,test
226,test
227,train
228,train
229,train
230,test
231,train
232,test
233,valid
234,train
235,test
236,train
237,train
238,train
239,train
240,test
241,train
242,train
243,test
244,test
245,test
246,test
247,train
248,train
249,test
250,valid
251,test
252,test
253,train
254,train
255,test
256,train
257,train
258,train
259,train
260,valid
261,test
262,train
263,valid
264,test
265,train
266,train
267,train
268,train
269,valid
270,train
271,valid
272,valid
273,train
274,valid
275,train
276,valid
277,train
278,test
279,train
280,train
281,valid
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,test
294,test
295,train
296,train
297,test
298,train
299,valid
300,train
301,train
302,valid
303,train
304,test
305,test
306,train
307,valid
308,test
309,train
310,train
311,train
312,valid
313,train
314,test
315,train
316,train
317,test
318,train
319,train
320,train
321,train
322,train
323,train
324,valid
325,train
326,test
327,train
328,valid
329,train
330,train
331,train
332,train
333,valid
334,train
335,train
336,train
337,test
338,valid
339,test
340,train
341,train
342,train
343,train
344,test
345,train
346,train
347,valid
348,train
349,valid
350,train
351,train
352,train
353,valid
354,test
355,train
356,test
357,train
358,valid
359,valid
360,train
361,valid
362,test
363,train
364,train
365,train
366,train
367,train
368,valid
369,train
370,valid
371,test
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,train
380,test
381,train
382,train
383,valid
384,test
385,train
386,valid
387,test
388,train
389,test
390,test
391,valid
392,train
393,test
394,test
395,valid
396,train
397,train
398,train
399,valid
400,test
401,train
402,train
403,train
404,train
405,train
406,test
407,train
408,train
409,train
410,valid
411,train
412,test
413,valid
414,test
415,train
416,valid
417,valid
418,train
419,test
420,test
421,train
422,test
423,train
424,train
425,train
426,train
427,train
428,train
429,test
430,test
431,valid
432,train
433,train
434,valid
435,train
436,train
437,valid
438,train
439,train
440,train
441,test
442,train
443,train
444,valid
445,train
446,valid
447,train
448,train
449,train
450,test
451,test
452,valid
453,valid
454,train
455,train
456,train
457,train
458,valid
459,train
460,valid
461,train
462,train
463,train
464,train
465,train
466,valid
467,train
468,train
469,train
470,train
471,valid
472,train
473,test
474,train
475,train
476,train
477,train
478,train
479,test
480,train
481,valid
482,train
483,valid
484,train
485,train
486,train
487,valid
488,train
489,test
490,train
491,test
492,test
493,train
494,train
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,test
506,train
507,train
508,train
509,valid
510,train
511,train
512,train
513,train
514,train
515,valid
516,test
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,valid
527,test
528,train
529,test
530,train
531,train
532,valid
533,train
534,train
535,valid
536,train
537,train
538,train
539,train
540,valid
541,train
542,train
543,train
544,valid
545,train
546,test
547,train
548,test
549,train
550,valid
551,test
552,train
553,train
554,train
555,train
556,valid
557,train
558,train
559,test
560,test
561,test
562,train
563,test
564,test
565,train
566,test
567,valid
568,test
569,train
570,test
571,valid
572,train
573,train
574,test
575,train
576,train
577,train
578,valid
579,train
580,train
581,test
582,train
583,train
584,train
585,test
586,valid
587,test
588,train
589,valid
590,train
591,test
592,test
593,test
594,train
595,train
596,train
597,train
598,train
599,train
600,train
601,test
602,train
603,valid
604,train
605,valid
606,valid
607,valid
608,train
609,train
610,train
611,train
612,test
613,train
614,train
615,valid
616,test
617,train
618,train
619,test
620,valid
621,train
622,train
623,test
624,train
625,test
626,train
627,train
628,train
629,train
630,test
631,valid
632,train
633,test
634,train
635,test
636,train
637,train
638,train
639,valid
640,train
641,test
642,train
643,valid
644,test
645,valid
646,train
647,valid
648,train
649,train
650,valid
651,train
652,valid
653,train
654,train
655,train
656,valid
657,train
658,train
659,valid
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,test
674,train
675,valid
676,train
677,test
678,test
679,valid
680,train
681,valid
682,train
683,train
684,train
685,train
686,test
687,train
688,train
689,test
690,valid
691,valid
692,train
693,train
694,train
695,valid
696,train
697,train
698,valid
699,train
700,valid
701,train
702,train
703,test
704,train
705,test
706,train
707,train
708,train
709,test
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,train
719,train
720,valid
721,train
722,train
723,train
724,test
725,test
726,train
727,train
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,test
736,valid
737,train
738,train
739,valid
740,train
741,train
742,test
743,train
744,train
745,train
746,train
747,valid
748,valid
749,valid
750,test
751,train
752,train
753,test
754,train
755,train
756,train
757,valid
758,valid
759,train
760,train
761,valid
762,train
763,valid
764,train
765,valid
766,train
767,valid
768,train
769,train
770,train
771,train
772,valid
773,train
774,train
775,train
776,test
777,train
778,test
779,train
780,test
781,train
782,valid
783,train
784,valid
785,valid
786,valid
787,train
788,valid
789,train
790,valid
791,train
792,valid
793,train
794,test
795,valid
796,train
797,train
798,train
799,train
800,train
801,test
802,train
803,valid
804,train
805,test
806,train
807,train
808,train
809,valid
810,train
811,train
812,train
813,test
814,train
815,valid
816,test
817,valid
818,test
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,test
830,train
