id,name,details,sample
1,SK_ID_CURR,ID of loan in our sample,100083
2,TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",0
3,NAME_CONTRACT_TYPE,Identification if loan is cash or revolving,Cash loans
4,CODE_GENDER,Gender of the client,M
5,FLAG_OWN_CAR,Flag if the client owns a car,Y
6,FLAG_OWN_REALTY,Flag if client owns a house or flat,Y
7,CNT_CHILDREN,Number of children the client has,0
8,AMT_INCOME_TOTAL,Income of the client,103500.0
9,AMT_CREDIT,Credit amount of the loan,573628.5
10,AMT_ANNUITY,Loan annuity,24435.0
11,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given,463500.0
12,NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan,Unaccompanied
13,NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,…)",Working
14,NAME_EDUCATION_TYPE,Level of highest education the client achieved,Secondary / secondary special
15,NAME_FAMILY_STATUS,Family status of the client,Married
16,NAME_HOUSING_TYPE,"What is the housing situation of the client (renting, living with parents, ...)",House / apartment
17,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region) [Metadata note: normalized.],0.009656999999999999
18,DAYS_BIRTH,Client's age in days at the time of application [Metadata note: time only relative to the application.],-15406
19,DAYS_EMPLOYED,How many days before the application the person started current employment [Metadata note: time only relative to the application.],-892
20,DAYS_REGISTRATION,How many days before the application did client change his registration [Metadata note: time only relative to the application.],-341.0
21,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan [Metadata note: time only relative to the application.],-4176
22,OWN_CAR_AGE,Age of client's car,22.0
23,FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)",1
24,FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)",1
25,FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)",0
26,FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)",1
27,FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)",0
28,FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)",0
29,OCCUPATION_TYPE,What kind of occupation does the client have,Laborers
30,CNT_FAM_MEMBERS,How many family members does client have,2.0
31,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)",2
32,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)",2
33,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for the loan,MONDAY
34,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan [Metadata note: rounded.],18
35,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",0
36,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",0
37,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",0
38,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",0
39,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",0
40,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",0
41,ORGANIZATION_TYPE,Type of organization where client works,Business Entity Type 3
42,EXT_SOURCE_1,Normalized score from external data source [Metadata note: normalized.],0.2707661633733818
43,EXT_SOURCE_2,Normalized score from external data source [Metadata note: normalized.],0.7071263161734994
44,EXT_SOURCE_3,Normalized score from external data source [Metadata note: normalized.],0.5971924268337128
45,APARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.1464
46,BASEMENTAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.1291
47,YEARS_BEGINEXPLUATATION_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.9861
48,YEARS_BUILD_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.8096
49,COMMONAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.108
50,ELEVATORS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.04
51,ENTRANCES_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0345
52,FLOORSMAX_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.3333
53,FLOORSMIN_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.375
54,LANDAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0
55,LIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.1194
56,LIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0933
57,NONLIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0
58,NONLIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0
59,APARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.1492
60,BASEMENTAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.134
61,YEARS_BEGINEXPLUATATION_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.9861
62,YEARS_BUILD_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.8171
63,COMMONAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.109
64,ELEVATORS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0403
65,ENTRANCES_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0345
66,FLOORSMAX_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.3333
67,FLOORSMIN_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.375
68,LANDAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0
69,LIVINGAPARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.1304
70,LIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor [Metadata note: normalized.]",0.0972
