id,name,stage,source_family,details
1,case_id,base,base,Unique identifier of the credit application/case.
2,date_decision,base,base,Decision date of the current credit application.
3,MONTH,base,base,Calendar-month index supplied in the base table.
4,WEEK_NUM,base,base,Consecutive week index used by the competition stability metric.
5,target,base,base,Binary competition target available only in train_base.
6,STATIC_0__actualdpdtolerance_344P,A,static_0,depth-0 value copied to case grain of `actualdpdtolerance_344P`. Source meaning: DPD of client with tolerance.
7,STATIC_0__amtinstpaidbefduel24m_4187115A,A,static_0,depth-0 value copied to case grain of `amtinstpaidbefduel24m_4187115A`. Source meaning: Number of instalments paid before due date in the last 24 months.
8,STATIC_0__annuity_780A,A,static_0,depth-0 value copied to case grain of `annuity_780A`. Source meaning: Monthly annuity amount.
9,STATIC_0__annuitynextmonth_57A,A,static_0,depth-0 value copied to case grain of `annuitynextmonth_57A`. Source meaning: Next month's amount of annuity.
10,STATIC_0__avgdbddpdlast24m_3658932P,A,static_0,depth-0 value copied to case grain of `avgdbddpdlast24m_3658932P`. Source meaning: Average days past or before due of payment during the last 24 months.
11,STATIC_0__avgdbddpdlast3m_4187120P,A,static_0,depth-0 value copied to case grain of `avgdbddpdlast3m_4187120P`. Source meaning: Average days past or before due of payment during the last 3 months.
12,STATIC_0__avgdbdtollast24m_4525197P,A,static_0,depth-0 value copied to case grain of `avgdbdtollast24m_4525197P`. Source meaning: Average days of payment before due date within the last 24 months (with tolerance).
13,STATIC_0__avgdpdtolclosure24_3658938P,A,static_0,"depth-0 value copied to case grain of `avgdpdtolclosure24_3658938P`. Source meaning: Average DPD (days past due) with tolerance within the past 24 months from the maximum closure date, assuming that the contract is finished. If the contract is ongoing, the calculation is based on the current date."
14,STATIC_0__avginstallast24m_3658937A,A,static_0,depth-0 value copied to case grain of `avginstallast24m_3658937A`. Source meaning: Average instalments paid by the client over the past 24 months.
15,STATIC_0__avglnamtstart24m_4525187A,A,static_0,depth-0 value copied to case grain of `avglnamtstart24m_4525187A`. Source meaning: Average loan amount in the last 24 months.
16,STATIC_0__avgmaxdpdlast9m_3716943P,A,static_0,depth-0 value copied to case grain of `avgmaxdpdlast9m_3716943P`. Source meaning: Average Days Past Due (DPD) of the client in last 9 months.
17,STATIC_0__avgoutstandbalancel6m_4187114A,A,static_0,depth-0 value copied to case grain of `avgoutstandbalancel6m_4187114A`. Source meaning: Average outstanding balance of applicant for the last 6 months.
18,STATIC_0__avgpmtlast12m_4525200A,A,static_0,depth-0 value copied to case grain of `avgpmtlast12m_4525200A`. Source meaning: Average of payments made by the client in the last 12 months.
19,STATIC_0__credamount_770A,A,static_0,depth-0 value copied to case grain of `credamount_770A`. Source meaning: Loan amount or credit card limit.
20,STATIC_0__currdebt_22A,A,static_0,depth-0 value copied to case grain of `currdebt_22A`. Source meaning: Current debt amount of the client.
21,STATIC_0__currdebtcredtyperange_828A,A,static_0,depth-0 value copied to case grain of `currdebtcredtyperange_828A`. Source meaning: Current amount of debt of the applicant.
22,STATIC_0__disbursedcredamount_1113A,A,static_0,depth-0 value copied to case grain of `disbursedcredamount_1113A`. Source meaning: Disbursed credit amount after consolidation.
23,STATIC_0__downpmt_116A,A,static_0,depth-0 value copied to case grain of `downpmt_116A`. Source meaning: Amount of downpayment.
24,STATIC_0__inittransactionamount_650A,A,static_0,depth-0 value copied to case grain of `inittransactionamount_650A`. Source meaning: Initial transaction amount of the credit application.
25,STATIC_0__lastapprcredamount_781A,A,static_0,depth-0 value copied to case grain of `lastapprcredamount_781A`. Source meaning: Credit amount from the client's last application.
26,STATIC_0__lastotherinc_902A,A,static_0,depth-0 value copied to case grain of `lastotherinc_902A`. Source meaning: Amount of other income reported by the client in their last application.
27,STATIC_0__lastotherlnsexpense_631A,A,static_0,depth-0 value copied to case grain of `lastotherlnsexpense_631A`. Source meaning: Monthly expenses on other loans from the last application.
28,STATIC_0__lastrejectcredamount_222A,A,static_0,depth-0 value copied to case grain of `lastrejectcredamount_222A`. Source meaning: Credit amount on last rejected application.
29,STATIC_0__maininc_215A,A,static_0,depth-0 value copied to case grain of `maininc_215A`. Source meaning: Client's primary income amount.
30,STATIC_CB_0__contractssum_5085716L,A,static_cb_0,depth-0 value copied to case grain of `contractssum_5085716L`. Source meaning: Total sum of values of contracts retrieved from external credit bureau.
31,STATIC_CB_0__days120_123L,A,static_cb_0,depth-0 value copied to case grain of `days120_123L`. Source meaning: Number of credit bureau queries for the last 120 days.
32,STATIC_CB_0__days180_256L,A,static_cb_0,depth-0 value copied to case grain of `days180_256L`. Source meaning: Number of credit bureau queries for last 180 days.
33,STATIC_CB_0__days30_165L,A,static_cb_0,depth-0 value copied to case grain of `days30_165L`. Source meaning: Number of credit bureau queries for the last 30 days.
34,STATIC_CB_0__days360_512L,A,static_cb_0,depth-0 value copied to case grain of `days360_512L`. Source meaning: Number of Credit Bureau queries for last 360 days.
35,STATIC_CB_0__days90_310L,A,static_cb_0,depth-0 value copied to case grain of `days90_310L`. Source meaning: Number of credit bureau queries for the last 90 days.
36,STATIC_CB_0__firstquarter_103L,A,static_cb_0,depth-0 value copied to case grain of `firstquarter_103L`. Source meaning: Number of results obtained from credit bureau in the first quarter.
37,STATIC_CB_0__for3years_128L,A,static_cb_0,depth-0 value copied to case grain of `for3years_128L`. Source meaning: Number of rejected applications in the past 3 years.
38,STATIC_CB_0__for3years_504L,A,static_cb_0,depth-0 value copied to case grain of `for3years_504L`. Source meaning: Client's credit history data over the last three years.
39,STATIC_CB_0__for3years_584L,A,static_cb_0,depth-0 value copied to case grain of `for3years_584L`. Source meaning: Number of cancellations in the last 3 years.
40,STATIC_CB_0__formonth_118L,A,static_cb_0,depth-0 value copied to case grain of `formonth_118L`. Source meaning: Number of rejections in a month.
41,STATIC_CB_0__formonth_206L,A,static_cb_0,depth-0 value copied to case grain of `formonth_206L`. Source meaning: Number of cancelations in the previous month.
42,STATIC_CB_0__formonth_535L,A,static_cb_0,depth-0 value copied to case grain of `formonth_535L`. Source meaning: Credit history for the last month.
43,STATIC_CB_0__forquarter_1017L,A,static_cb_0,depth-0 value copied to case grain of `forquarter_1017L`. Source meaning: Number of cancellations recorded in the credit bureau in the last quarter.
44,STATIC_CB_0__forquarter_462L,A,static_cb_0,depth-0 value copied to case grain of `forquarter_462L`. Source meaning: Number of credit applications that were rejected in the last quarter.
45,STATIC_CB_0__forquarter_634L,A,static_cb_0,depth-0 value copied to case grain of `forquarter_634L`. Source meaning: Credit history for the last quarter.
46,STATIC_CB_0__fortoday_1092L,A,static_cb_0,depth-0 value copied to case grain of `fortoday_1092L`. Source meaning: Client's credit history for today.
47,STATIC_CB_0__forweek_1077L,A,static_cb_0,depth-0 value copied to case grain of `forweek_1077L`. Source meaning: Number of cancelations in the last week.
48,STATIC_CB_0__forweek_528L,A,static_cb_0,depth-0 value copied to case grain of `forweek_528L`. Source meaning: Credit history for the last week.
49,STATIC_CB_0__forweek_601L,A,static_cb_0,depth-0 value copied to case grain of `forweek_601L`. Source meaning: Number of rejected applications in the last week.
50,STATIC_CB_0__pmtaverage_3A,A,static_cb_0,depth-0 value copied to case grain of `pmtaverage_3A`. Source meaning: Average of tax deductions.
51,STATIC_CB_0__pmtaverage_4527227A,A,static_cb_0,depth-0 value copied to case grain of `pmtaverage_4527227A`. Source meaning: Average of tax deductions.
52,STATIC_CB_0__pmtaverage_4955615A,A,static_cb_0,depth-0 value copied to case grain of `pmtaverage_4955615A`. Source meaning: Average of tax deductions.
53,STATIC_CB_0__pmtssum_45A,A,static_cb_0,depth-0 value copied to case grain of `pmtssum_45A`. Source meaning: Sum of tax deductions for the client.
54,APPLPREV_1__ROW_COUNT,B,applprev_1,Number of raw family rows linked to the case.
55,APPLPREV_1__actualdpd_943P__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `actualdpd_943P`. Source meaning: Days Past Due (DPD) of previous contract (actual).
56,APPLPREV_1__actualdpd_943P__MAX,B,applprev_1,maximum of `actualdpd_943P`. Source meaning: Days Past Due (DPD) of previous contract (actual).
57,APPLPREV_1__annuity_853A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `annuity_853A`. Source meaning: Monthly annuity for previous applications.
58,APPLPREV_1__annuity_853A__MAX,B,applprev_1,maximum of `annuity_853A`. Source meaning: Monthly annuity for previous applications.
59,APPLPREV_1__byoccupationinc_3656910L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `byoccupationinc_3656910L`. Source meaning: Applicant's income from previous applications.
60,APPLPREV_1__byoccupationinc_3656910L__MAX,B,applprev_1,maximum of `byoccupationinc_3656910L`. Source meaning: Applicant's income from previous applications.
