id,name,details,sample
1,case_id,Unique identifier of the credit application/case.,0
2,actualdpdtolerance_344P,DPD of client with tolerance.,0
3,amtinstpaidbefduel24m_4187115A,Number of instalments paid before due date in the last 24 months.,7374
4,annuity_780A,Monthly annuity amount.,1917.6
5,annuitynextmonth_57A,Next month's amount of annuity.,0
6,applicationcnt_361L,Number of applications associated with the same email address as the client.,0
7,applications30d_658L,Number of applications made by the client in the last 30 days.,0
8,applicationscnt_1086L,Number of applications associated with the same phone number.,0
9,applicationscnt_464L,Number of applications made in the last 30 days by other clients with the same employer as the applicant.,0
10,applicationscnt_629L,Number of applications with the same employer in the last 7 days.,0
11,applicationscnt_867L,Number of applications associated with the same mobile phone.,0
12,avgdbddpdlast24m_3658932P,Average days past or before due of payment during the last 24 months.,-4
13,avgdbddpdlast3m_4187120P,Average days past or before due of payment during the last 3 months.,-3
14,avgdbdtollast24m_4525197P,Average days of payment before due date within the last 24 months (with tolerance).,-21
15,avgdpdtolclosure24_3658938P,"Average DPD (days past due) with tolerance within the past 24 months from the maximum closure date, assuming that the contract is finished. If the contract is ongoing, the calculation is based on the current date.",0
16,avginstallast24m_3658937A,Average instalments paid by the client over the past 24 months.,4178
17,avglnamtstart24m_4525187A,Average loan amount in the last 24 months.,23682.8
18,avgmaxdpdlast9m_3716943P,Average Days Past Due (DPD) of the client in last 9 months.,0
19,avgoutstandbalancel6m_4187114A,Average outstanding balance of applicant for the last 6 months.,11059.4
20,avgpmtlast12m_4525200A,Average of payments made by the client in the last 12 months.,6668.6
21,bankacctype_710L,Type of applicant's bank account.,CA
22,cardtype_51L,Type of credit card.,INSTANT
23,clientscnt12m_3712952L,Number of clients that have used the same mobile phone as the applicant in the past 12 months.,0
24,clientscnt3m_3712950L,Number of clients who have the same mobile phone number in the last 3 months.,0
25,clientscnt6m_3712949L,Total number of clients who have used the same mobile number in the last 6 months.,0
26,clientscnt_100L,Number of applications with matching employer's phone and client's.,0
27,clientscnt_1022L,Number of clients sharing the same mobile phone.,0
