id,name,details,sample
1,case_id,Unique identifier of the credit application/case.,357
2,assignmentdate_238D,Tax authority data - date of assignment.,2017-07-06
3,assignmentdate_4527235D,Tax authority data - Date of assignment.,2019-09-13
4,assignmentdate_4955616D,Tax authority assignment date.,2015-02-25
5,birthdate_574D,Client's date of birth (credit bureau data).,1988-04-01
6,contractssum_5085716L,Total sum of values of contracts retrieved from external credit bureau.,312451.85
7,dateofbirth_337D,Client's date of birth.,1989-04-01
8,dateofbirth_342D,Client's date of birth.,1953-07-01
9,days120_123L,Number of credit bureau queries for the last 120 days.,6
10,days180_256L,Number of credit bureau queries for last 180 days.,8
11,days30_165L,Number of credit bureau queries for the last 30 days.,2
12,days360_512L,Number of Credit Bureau queries for last 360 days.,10
13,days90_310L,Number of credit bureau queries for the last 90 days.,4
14,description_5085714M,Categorization of clients by credit bureau.,a55475b1
15,education_1103M,Level of education of the client provided by external source.,a55475b1
16,education_88M,Education level of the client.,a55475b1
17,firstquarter_103L,Number of results obtained from credit bureau in the first quarter.,2
18,for3years_128L,Number of rejected applications in the past 3 years.,0
19,for3years_504L,Client's credit history data over the last three years.,9
20,for3years_584L,Number of cancellations in the last 3 years.,0
21,formonth_118L,Number of rejections in a month.,0
22,formonth_206L,Number of cancelations in the previous month.,0
23,formonth_535L,Credit history for the last month.,0
24,forquarter_1017L,Number of cancellations recorded in the credit bureau in the last quarter.,0
25,forquarter_462L,Number of credit applications that were rejected in the last quarter.,0
26,forquarter_634L,Credit history for the last quarter.,4
27,fortoday_1092L,Client's credit history for today.,0
28,forweek_1077L,Number of cancelations in the last week.,0
29,forweek_528L,Credit history for the last week.,0
30,forweek_601L,Number of rejected applications in the last week.,0
31,foryear_618L,Number of application rejections in the previous year.,0
32,foryear_818L,Number of cancelations that occurred in last year.,0
33,foryear_850L,Credit history for the last year.,7
34,fourthquarter_440L,Number of results in fourth quarter.,6
35,maritalst_385M,Marital status of the client.,a55475b1
36,maritalst_893M,Marital status of the client,a55475b1
37,numberofqueries_373L,Number of queries to credit bureau.,10
38,pmtaverage_3A,Average of tax deductions.,5413.3335
39,pmtaverage_4527227A,Average of tax deductions.,14880
40,pmtaverage_4955615A,Average of tax deductions.,23136.4
41,pmtcount_4527229L,Number of tax deductions.,6
42,pmtcount_4955617L,Number of tax deductions.,13
43,pmtcount_693L,Number of tax deductions.,5
44,pmtscount_423L,Number of tax deduction payments.,6
45,pmtssum_45A,Sum of tax deductions for the client.,6301.4
46,requesttype_4525192L,Tax authority request type.,DEDUCTION_6
47,responsedate_1012D,Tax authority's response date.,2019-01-25
48,responsedate_4527233D,Tax authority's response date.,2019-09-13
49,responsedate_4917613D,Tax authority's response date.,2020-03-26
50,riskassesment_302T,Estimated probability that the client will default on their credit obligation within the next year.,59% - 66%
51,riskassesment_940T,Estimate of client's creditworthiness.,-2.2360735
52,secondquarter_766L,Number of results in second quarter.,3
53,thirdquarter_1082L,Number of results in third quarter.,5
