feature,decile,n,bad_rate,value_min,value_max
RevolvingUtilizationOfUnsecuredLines,"(-0.001, 0.00277]",9000,0.024666666666666667,0.0,0.00277345
RevolvingUtilizationOfUnsecuredLines,"(0.00277, 0.0189]",9000,0.013888888888888888,0.002774406,0.018865022
RevolvingUtilizationOfUnsecuredLines,"(0.0189, 0.0432]",9000,0.014888888888888889,0.018865219,0.043231371
RevolvingUtilizationOfUnsecuredLines,"(0.0432, 0.0829]",9000,0.02,0.043238652,0.082909758
RevolvingUtilizationOfUnsecuredLines,"(0.0829, 0.154]",9000,0.02288888888888889,0.082923351,0.153988737
RevolvingUtilizationOfUnsecuredLines,"(0.154, 0.273]",9000,0.034333333333333334,0.153996825,0.272899374
RevolvingUtilizationOfUnsecuredLines,"(0.273, 0.446]",9000,0.052444444444444446,0.272902241,0.445786262
RevolvingUtilizationOfUnsecuredLines,"(0.446, 0.699]",9000,0.08955555555555555,0.445787806,0.698681126
RevolvingUtilizationOfUnsecuredLines,"(0.699, 0.98]",9001,0.16398177980224418,0.698682737,0.980203959
RevolvingUtilizationOfUnsecuredLines,"(0.98, 50708.0]",8999,0.23180353372596954,0.980207546,50708.0
age,"(20.999, 33.0]",10281,0.11078688843497714,21.0,33.0
age,"(33.0, 39.0]",8973,0.09327983951855567,34.0,39.0
age,"(39.0, 44.0]",9477,0.0835707502374169,40.0,44.0
age,"(44.0, 48.0]",8876,0.08224425416854439,45.0,48.0
age,"(48.0, 52.0]",8899,0.07821103494774694,49.0,52.0
age,"(52.0, 56.0]",8573,0.06438819549749213,53.0,56.0
age,"(56.0, 60.0]",7948,0.0527176648213387,57.0,60.0
age,"(60.0, 65.0]",9910,0.04187689202825429,61.0,65.0
age,"(65.0, 72.0]",8473,0.02785318069160864,66.0,72.0
age,"(72.0, 109.0]",8590,0.023282887077997673,73.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,"(-0.001, 1.0]",85232,0.05271494274450911,0.0,1.0
NumberOfTime30-59DaysPastDueNotWorse,"(1.0, 13.0]",4608,0.3122829861111111,2.0,13.0
DebtRatio,"(-0.001, 0.0306]",9000,0.056666666666666664,0.0,0.030532289
DebtRatio,"(0.0306, 0.134]",9000,0.06544444444444444,0.030552161,0.134429098
DebtRatio,"(0.134, 0.214]",9000,0.058,0.134431138,0.21440846
DebtRatio,"(0.214, 0.288]",9000,0.056,0.214414279,0.287942412
DebtRatio,"(0.288, 0.368]",9000,0.05711111111111111,0.287948482,0.367810594
DebtRatio,"(0.368, 0.468]",9000,0.06633333333333333,0.367816092,0.468383443
DebtRatio,"(0.468, 0.65]",9000,0.08488888888888889,0.468416735,0.649653979
DebtRatio,"(0.65, 3.809]",9000,0.11611111111111111,0.649670066,3.807247735
DebtRatio,"(3.809, 1285.1]",9000,0.058333333333333334,3.816091954,1285.0
DebtRatio,"(1285.1, 329664.0]",9000,0.049555555555555554,1286.0,329664.0
MonthlyIncome,"(-0.001, 2000.0]",7270,0.08486932599724897,0.0,2000.0
MonthlyIncome,"(2000.0, 3000.0]",7857,0.09863815705740105,2001.0,3000.0
MonthlyIncome,"(3000.0, 3800.0]",6787,0.09194047443642257,3001.0,3800.0
MonthlyIncome,"(3800.0, 4515.0]",6964,0.0807007466973004,3801.0,4515.0
MonthlyIncome,"(4515.0, 5366.0]",7222,0.0739407366380504,4516.0,5366.0
MonthlyIncome,"(5366.0, 6295.0]",7213,0.06654651323998337,5367.0,6295.0
MonthlyIncome,"(6295.0, 7500.0]",7502,0.059450813116502264,6296.0,7500.0
MonthlyIncome,"(7500.0, 9042.0]",6934,0.051341217190654743,7501.0,9042.0
MonthlyIncome,"(9042.0, 11589.0]",7219,0.04502008588447153,9043.0,11589.0
MonthlyIncome,"(11589.0, 1794060.0]",7218,0.04530340814630091,11590.0,1794060.0
NumberOfOpenCreditLinesAndLoans,"(-0.001, 3.0]",13158,0.10700714394284845,0.0,3.0
NumberOfOpenCreditLinesAndLoans,"(3.0, 4.0]",6917,0.06491253433569466,4.0,4.0
NumberOfOpenCreditLinesAndLoans,"(4.0, 5.0]",7758,0.06251611240010312,5.0,5.0
NumberOfOpenCreditLinesAndLoans,"(5.0, 6.0]",8251,0.05599321294388559,6.0,6.0
NumberOfOpenCreditLinesAndLoans,"(6.0, 8.0]",15406,0.05192782032974166,7.0,8.0
NumberOfOpenCreditLinesAndLoans,"(8.0, 9.0]",6752,0.06072274881516588,9.0,9.0
NumberOfOpenCreditLinesAndLoans,"(9.0, 10.0]",5780,0.06089965397923876,10.0,10.0
NumberOfOpenCreditLinesAndLoans,"(10.0, 12.0]",9205,0.05942422596414992,11.0,12.0
NumberOfOpenCreditLinesAndLoans,"(12.0, 15.0]",8369,0.061895089018998685,13.0,15.0
NumberOfOpenCreditLinesAndLoans,"(15.0, 58.0]",8404,0.06960970966206569,16.0,58.0
NumberOfTimes90DaysLate,"(-0.001, 17.0]",89840,0.06602849510240427,0.0,17.0
NumberRealEstateLoansOrLines,"(-0.001, 1.0]",65073,0.06796981851151783,0.0,1.0
NumberRealEstateLoansOrLines,"(1.0, 2.0]",18979,0.05679962063333158,2.0,2.0
NumberRealEstateLoansOrLines,"(2.0, 54.0]",5948,0.08658372562205784,3.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,"(-0.001, 11.0]",89840,0.06602849510240427,0.0,11.0
NumberOfDependents,"(-0.001, 1.0]",67992,0.06249264619366984,0.0,1.0
