feature_index,feature_name,data_type,total_rows,non_null_count,null_count,null_percentage,unique_count,unique_values
1,user_id,str,10,10,0,0.0%,10,f4529fcafc3a408c | 3403c899a4b50adf | f0d1444bfbb38743 | 215654b14680e104 | 5e224db784711726 | 17ff2ac3fd85ad5e | a19cc489f740a392 | 2c0c010a9b1fdba9 | 3b149ac68ff2adb3 | 8ebfa18d2e5b7441
2,age_group_raw,str,10,10,0,0.0%,5,23-30 | 18-23 | 31-40 | 41-50 | 60++
3,age_midpoint,float64,10,10,0,0.0%,5,26.5 | 20.5 | 35.5 | 45.5 | 65
4,is_senior,int64,10,10,0,0.0%,2,0 | 1
5,is_young,int64,10,10,0,0.0%,2,0 | 1
6,gender_raw,str,10,10,0,0.0%,2,Nam | Nữ
7,is_male,int64,10,10,0,0.0%,2,1 | 0
8,city_raw,str,10,10,0,0.0%,7,Unknown | Tỉnh Đồng Nai | Tỉnh Quảng Ninh | Thành phố Hà Nội | Tỉnh Bình Định | Tỉnh Đắk Lắk | Tỉnh Đồng Tháp
9,is_metro_city,int64,10,10,0,0.0%,2,0 | 1
10,household_type_raw,str,10,10,0,0.0%,2,Nhà thường | Công ty
11,is_company_household,int64,10,10,0,0.0%,2,0 | 1
12,income_est_min,float64,10,10,0,0.0%,4,1.8e+07 | 1e+07 | 0 | 5e+06
13,income_est_max,float64,10,10,0,0.0%,4,3.2e+07 | 1.8e+07 | 0 | 1e+07
14,income_est_mid,float64,10,10,0,0.0%,4,2.5e+07 | 1.4e+07 | 0 | 7.5e+06
15,has_income_info,int64,10,10,0,0.0%,2,1 | 0
16,active_domain_count_est,float64,10,10,0,0.0%,2,2.5 | 4.5
17,tenure_years_est,float64,10,10,0,0.0%,2,4 | 6.5
18,recency_months_est,float64,10,10,0,0.0%,5,18 | 1.5 | 4.5 | 30 | 48
19,has_app,int64,10,10,0,0.0%,2,1 | 0
20,app_count_est,float64,10,10,0,0.0%,2,1 | 0
21,app_tenure_months_est,float64,10,10,0,0.0%,3,4.5 | 1.5 | 0
22,app_recency_days_est,float64,10,10,0,0.0%,4,135 | 60.5 | 180 | 3.5
23,loyalty_points_min,float64,10,10,0,0.0%,4,150 | 850 | 0 | 400
24,loyalty_points_max,float64,10,10,0,0.0%,5,400 | 1275 | 0 | 850 | 150
25,loyalty_points_mid,float64,10,10,0,0.0%,5,275 | 1062.5 | 0 | 625 | 75
26,has_loyalty_pts,int64,10,10,0,0.0%,2,1 | 0
27,loyalty_tier_pts_mid,float64,10,10,0,0.0%,5,125 | 1875 | 0 | 475 | 1100
28,has_telco,int64,10,10,0,0.0%,2,1 | 0
29,telco_install_age_days,float64,10,10,0,0.0%,6,751 | 4004 | 0 | 3056 | 650 | 4109
30,telco_install_year,int64,10,10,0,0.0%,4,2022 | 2013 | 0 | 2016
31,telco_is_cancelled,int64,10,10,0,0.0%,2,1 | 0
32,telco_contract_active_days,float64,10,10,0,0.0%,6,737 | 3210 | 0 | 2659 | 339 | 3272
33,telco_contract_status_raw,str,10,10,0,0.0%,2,Huy | Active
34,telco_inbound_cnt_180d,float64,10,10,0,0.0%,1,0
35,telco_outbound_cnt_180d,float64,10,10,0,0.0%,1,0
36,telco_ticket_cnt_180d,float64,10,10,0,0.0%,1,0
37,telco_gb_usage_mid,float64,10,10,0,0.0%,4,0 | 437.5 | 285 | 170
38,telco_internet_trend_score,float64,10,10,0,0.0%,3,0 | 1 | -1
39,telco_monetary_mid,float64,10,10,0,0.0%,3,0 | 1.5e+06 | 3e+06
40,has_healthcare,int64,10,10,0,0.0%,2,1 | 0
41,healthcare_order_cnt_6m,float64,10,10,0,0.0%,4,1 | 7 | 0 | 5
42,healthcare_spend_6m_mid,float64,10,10,0,0.0%,4,350000 | 1.875e+06 | 0 | 1e+06
43,healthcare_aov_6m_mid,float64,10,10,0,0.0%,4,175000 | 312500 | 0 | 50000
44,healthcare_repeat_rate_6m,float64,10,10,0,0.0%,2,0 | 30
45,healthcare_vaccine_visits_12m,float64,10,10,0,0.0%,2,0 | 1
46,has_retail,int64,10,10,0,0.0%,1,0
47,retail_order_cnt_12m,float64,10,10,0,0.0%,1,0
48,retail_gmv_12m,float64,10,10,0,0.0%,1,0
49,retail_aov_12m,float64,10,10,0,0.0%,1,0
50,healthcare_spend_to_income_ratio,float64,10,10,0,0.0%,6,0.00233333 | 0.0223214 | 0 | 0.00416667 | 1e+06 | 0.0416667
51,telco_monetary_to_income_ratio,float64,10,10,0,0.0%,4,0 | 0.107143 | 0.214286 | 3e+06
52,healthcare_aov_to_spend_ratio,float64,10,10,0,0.0%,5,0.499999 | 0.166667 | 0 | 0.142857 | 0.175
53,app_recency_to_tenure_ratio,float64,10,10,0,0.0%,4,0.992647 | 1.31522 | 180 | 0.076087
54,active_domains_count_calc,int64,10,10,0,0.0%,4,4 | 0 | 3 | 1
55,domain_breadth_score,float64,10,10,0,0.0%,4,0.8 | 0 | 0.6 | 0.2
56,churn_risk_flag,int64,10,10,0,0.0%,2,1 | 0
57,is_high_value_customer,int64,10,10,0,0.0%,1,0
