column_index,column_name,domain_table,description,data_type,total_rows,non_null_count,null_count,null_percentage,unique_count,unique_values
1,user_id,id,User ID,str,10,10,0,0.0%,10,f4529fcafc3a408c | 3403c899a4b50adf | f0d1444bfbb38743 | 215654b14680e104 | 5e224db784711726 | 17ff2ac3fd85ad5e | a19cc489f740a392 | 2c0c010a9b1fdba9 | 3b149ac68ff2adb3 | 8ebfa18d2e5b7441
2,age_group,customer_profile,Nhóm tuổi,str,10,10,0,0.0%,5,23-30 | 18-23 | 31-40 | 41-50 | 60++
3,gender,customer_profile,Giới tính,str,10,10,0,0.0%,2,Nam | Nữ
4,city,customer_profile,Tỉnh thành,str,10,8,2,20.0%,6,Tỉnh Đồng Nai | Tỉnh Quảng Ninh | Thành phố Hà Nội | Tỉnh Bình Định | Tỉnh Đắk Lắk | Tỉnh Đồng Tháp
5,household_type,customer_profile,Loại nhà ở (theo nguồn HĐ Internet),str,10,10,0,0.0%,2,Nhà thường | Công ty
6,income_band_est,customer_profile,Nhóm thu nhập (ước tính từ sử dụng dịch vụ),str,10,8,2,20.0%,3,Trên 18trđ đến 32trđ | Trên 10trđ đến 18trđ | Trên 5trđ đến 10trđ
7,active_domain_count,customer_profile,Số dịch vụ FPT đã dùng,str,10,10,0,0.0%,2,2-3 services | 4+ services
8,tenure_group,customer_profile,Thâm niên dùng dịch dịch FPT,str,10,10,0,0.0%,2,3-5 năm | >5 năm
9,recency_group,customer_profile,Thời gian gần đây có sử dụng dịch vụ FPT,str,10,10,0,0.0%,5,1-2 năm | <3 tháng | 3-6 tháng | 2-3 năm | 3-5 năm
10,app_count_group,customer_profile,Số App đã đăng ký,str,10,4,6,60.0%,1,1 app
11,app_tenure_group,customer_profile,Thâm niên dùng App,str,10,4,6,60.0%,2,3-6 tháng | <3 tháng
12,app_recency_days,customer_profile,Thời gian gần đâu có dùng App,str,10,4,6,60.0%,3,>90 ngày | 31-90 ngày | <7 ngày
13,loyalty_points,customer_profile,Nhóm điểm Loyalty hiện tại,str,10,6,4,40.0%,4,150-400 | Trên 850 | 400-850 | Đến 150
