,count,mean,std,min,1%,50%,95%,99%,max
RevolvingUtilizationOfUnsecuredLines,90000.0,6.8230118150386225,282.76828730369783,0.0,0.0,0.153992781,0.9999999,1.0961188753899986,50708.0
age,90000.0,52.26215555555556,14.782027078759747,21.0,24.0,52.0,78.0,87.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,89840.0,0.2460040071237756,0.6983997195784637,0.0,0.0,0.0,2.0,3.0,13.0
DebtRatio,90000.0,360.08932049737416,2336.753909280781,0.0,0.0,0.367813343,2455.050000000003,5011.009999999995,329664.0
MonthlyIncome,72186.0,6602.193624802593,11062.938745366851,0.0,0.0,5366.0,14500.0,25000.0,1794060.0
NumberOfOpenCreditLinesAndLoans,90000.0,8.477533333333334,5.16927385163972,0.0,0.0,8.0,18.0,25.0,58.0
NumberOfTimes90DaysLate,89840.0,0.09044968833481745,0.4788867689307246,0.0,0.0,0.0,1.0,2.0,17.0
NumberRealEstateLoansOrLines,90000.0,1.0193333333333334,1.130366890926757,0.0,0.0,1.0,3.0,4.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,89840.0,0.06410284951024042,0.32418705757026883,0.0,0.0,0.0,0.0,2.0,11.0
NumberOfDependents,87684.0,0.7572305095570457,1.115396119263292,0.0,0.0,0.0,3.0,4.0,13.0
