feature,gain,gain_pct
NumberOfTimes90DaysLate,59938.78650903702,0.3052217687962685
RevolvingUtilizationOfUnsecuredLines,59349.187990784645,0.30221940066201347
NumberOfTime30-59DaysPastDueNotWorse,22872.23690843582,0.11647056959465689
NumberOfTime60-89DaysPastDueNotWorse,16869.30854535103,0.0859023095471869
MonthlyIncome,9205.114475369453,0.04687451124358005
DebtRatio,8351.787796974182,0.04252918005971332
age,8216.884774684906,0.041842223558301875
NumberOfOpenCreditLinesAndLoans,5917.212032318115,0.030131773231251463
NumberRealEstateLoansOrLines,4214.717005729675,0.021462286015259402
NumberOfDependents,1442.5870288610458,0.0073459772917681
NumberOfTime30-59DaysPastDueNotWorseSpecialCode,0.0,0.0
NumberOfTimes90DaysLateSpecialCode,0.0,0.0
NumberOfTime60-89DaysPastDueNotWorseSpecialCode,0.0,0.0
