feature,category,count,bad_count,bad_rate,good_count,population_percent,bad_rate_percent
NAME_INCOME_TYPE,Working,158774,15224,0.09588471664126369,143550,51.63197414076245,9.588471664126368
NAME_INCOME_TYPE,Commercial associate,71617,5360,0.07484256531270508,66257,23.28924818949566,7.484256531270509
NAME_INCOME_TYPE,Pensioner,55362,2982,0.053863660994906255,52380,18.003258420024,5.386366099490625
NAME_INCOME_TYPE,State servant,21703,1249,0.05754964751416855,20454,7.057633710664009,5.754964751416855
NAME_INCOME_TYPE,Unemployed,22,8,0.36363636363636365,14,0.007154215621555002,36.36363636363637
NAME_INCOME_TYPE,Student,18,0,0.0,18,0.005853449144908637,0.0
NAME_INCOME_TYPE,Businessman,10,0,0.0,10,0.0032519161916159094,0.0
NAME_INCOME_TYPE,Maternity leave,5,2,0.4,3,0.0016259580958079547,40.0
NAME_FAMILY_STATUS,Married,196432,14850,0.07559868045939562,181582,63.87804013514964,7.559868045939562
NAME_FAMILY_STATUS,Single / not married,45444,4457,0.0980767538068832,40987,14.77800794117934,9.80767538068832
NAME_FAMILY_STATUS,Civil marriage,29775,2961,0.09944584382871537,26814,9.68258046053637,9.944584382871536
NAME_FAMILY_STATUS,Separated,19770,1620,0.0819423368740516,18150,6.429038310824653,8.19423368740516
NAME_FAMILY_STATUS,Widow,16088,937,0.058242168075584286,15151,5.231682769071676,5.824216807558429
NAME_FAMILY_STATUS,Unknown,2,0,0.0,2,0.0006503832383231819,0.0
OCCUPATION_TYPE,<MISSING>,96391,6278,0.06513056198192778,90113,31.345545362604916,6.5130561981927775
OCCUPATION_TYPE,Laborers,55186,5838,0.10578769977892943,49348,17.94602469505156,10.578769977892943
OCCUPATION_TYPE,Sales staff,32102,3092,0.0963179864182917,29010,10.439301358325395,9.631798641829171
OCCUPATION_TYPE,Core staff,27570,1738,0.06303953572723975,25832,8.965532940285064,6.303953572723975
OCCUPATION_TYPE,Managers,21371,1328,0.06214028356183613,20043,6.94967009310236,6.214028356183613
OCCUPATION_TYPE,Drivers,18603,2107,0.11326130194054722,16496,6.049539691263077,11.326130194054722
OCCUPATION_TYPE,High skill tech staff,11380,701,0.06159929701230228,10679,3.7006806260589054,6.1599297012302285
OCCUPATION_TYPE,Accountants,9813,474,0.04830327117089575,9339,3.1911053588326923,4.830327117089575
OCCUPATION_TYPE,Medicine staff,8537,572,0.06700245988052009,7965,2.776160852782502,6.700245988052009
OCCUPATION_TYPE,Security staff,6721,722,0.10742449040321381,5999,2.185612872385053,10.74244904032138
OCCUPATION_TYPE,Cooking staff,5946,621,0.10443995963673057,5325,1.9335893675348197,10.443995963673057
OCCUPATION_TYPE,Cleaning staff,4653,447,0.09606705351386202,4206,1.5131166039588828,9.606705351386202
OCCUPATION_TYPE,Private service staff,2652,175,0.06598793363499246,2477,0.8624081740165392,6.598793363499246
OCCUPATION_TYPE,Low-skill Laborers,2093,359,0.17152412804586717,1734,0.6806260589052099,17.152412804586717
OCCUPATION_TYPE,Waiters/barmen staff,1348,152,0.11275964391691394,1196,0.43835830262982467,11.275964391691394
OCCUPATION_TYPE,Secretaries,1305,92,0.07049808429118774,1213,0.42437506300587624,7.049808429118774
OCCUPATION_TYPE,Realty agents,751,59,0.07856191744340879,692,0.24421890599035484,7.8561917443408795
OCCUPATION_TYPE,HR staff,563,36,0.06394316163410302,527,0.1830828815879757,6.394316163410302
OCCUPATION_TYPE,IT staff,526,34,0.06463878326996197,492,0.17105079167899687,6.4638783269961975
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,19524,0.08939928843221562,198867,71.01892290031901,8.939928843221562
NAME_EDUCATION_TYPE,Higher education,74863,4009,0.05355115344028425,70854,24.344820185294186,5.355115344028425
NAME_EDUCATION_TYPE,Incomplete higher,10277,872,0.08484966429891992,9405,3.3419942701236702,8.484966429891992
NAME_EDUCATION_TYPE,Lower secondary,3816,417,0.10927672955974843,3399,1.2409312187206312,10.927672955974844
NAME_EDUCATION_TYPE,Academic degree,164,3,0.018292682926829267,161,0.053331425542500914,1.8292682926829267
NAME_HOUSING_TYPE,House / apartment,272868,21272,0.07795710746588094,251596,88.73438673738501,7.795710746588094
NAME_HOUSING_TYPE,With parents,14840,1736,0.1169811320754717,13104,4.82584362835801,11.69811320754717
NAME_HOUSING_TYPE,Municipal apartment,11183,955,0.08539747831530001,10228,3.636617877084072,8.53974783153
NAME_HOUSING_TYPE,Rented apartment,4881,601,0.12313050604384347,4280,1.5872602931277255,12.313050604384348
NAME_HOUSING_TYPE,Office apartment,2617,172,0.06572411157814291,2445,0.8510264673458836,6.572411157814291
NAME_HOUSING_TYPE,Co-op apartment,1122,89,0.07932263814616755,1033,0.36486499669930506,7.932263814616755
ORGANIZATION_TYPE,Business Entity Type 3,67992,6323,0.09299623485115896,61669,22.110428570034895,9.299623485115896
ORGANIZATION_TYPE,XNA,55374,2990,0.05399646043269404,52384,18.00716071945394,5.399646043269405
ORGANIZATION_TYPE,Self-employed,38412,3908,0.10173903988336978,34504,12.491260475235032,10.173903988336978
ORGANIZATION_TYPE,Other,16683,1275,0.0764251033986693,15408,5.425171782472822,7.64251033986693
ORGANIZATION_TYPE,Medicine,11193,737,0.06584472438130974,10456,3.639869793275688,6.584472438130974
ORGANIZATION_TYPE,Business Entity Type 2,10553,900,0.08528380555292334,9653,3.4317471570122695,8.528380555292333
ORGANIZATION_TYPE,Government,10404,726,0.06978085351787774,9678,3.383293605757193,6.978085351787774
