feature,category,count,percent
NAME_TYPE_SUITE,Unaccompanied,248526,80.81857234375356
NAME_TYPE_SUITE,Family,40149,13.056118317718715
NAME_TYPE_SUITE,"Spouse, partner",11370,3.697428709867289
NAME_TYPE_SUITE,Children,3267,1.0624010198009177
NAME_TYPE_SUITE,Other_B,1770,0.575589165916016
NAME_TYPE_SUITE,<MISSING>,1292,0.42014757195677555
NAME_TYPE_SUITE,Other_A,866,0.2816159421939378
NAME_TYPE_SUITE,Group of people,271,0.08812692879279115
NAME_CONTRACT_TYPE,Cash loans,278232,90.47871458256778
NAME_CONTRACT_TYPE,Revolving loans,29279,9.521285417432223
FLAG_OWN_CAR,N,202924,65.98918412674668
FLAG_OWN_CAR,Y,104587,34.010815873253314
FLAG_OWN_REALTY,Y,213312,69.3672746665973
FLAG_OWN_REALTY,N,94199,30.632725333402703
NAME_INCOME_TYPE,Working,158774,51.63197414076245
NAME_INCOME_TYPE,Commercial associate,71617,23.28924818949566
NAME_INCOME_TYPE,Pensioner,55362,18.003258420024
NAME_INCOME_TYPE,State servant,21703,7.057633710664009
NAME_INCOME_TYPE,Unemployed,22,0.007154215621555002
NAME_INCOME_TYPE,Student,18,0.005853449144908637
NAME_INCOME_TYPE,Businessman,10,0.0032519161916159094
NAME_INCOME_TYPE,Maternity leave,5,0.0016259580958079547
NAME_FAMILY_STATUS,Married,196432,63.87804013514964
NAME_FAMILY_STATUS,Single / not married,45444,14.77800794117934
NAME_FAMILY_STATUS,Civil marriage,29775,9.68258046053637
NAME_FAMILY_STATUS,Separated,19770,6.429038310824653
NAME_FAMILY_STATUS,Widow,16088,5.231682769071676
NAME_FAMILY_STATUS,Unknown,2,0.0006503832383231819
OCCUPATION_TYPE,<MISSING>,96391,31.345545362604916
OCCUPATION_TYPE,Laborers,55186,17.94602469505156
OCCUPATION_TYPE,Sales staff,32102,10.439301358325395
OCCUPATION_TYPE,Core staff,27570,8.965532940285064
OCCUPATION_TYPE,Managers,21371,6.94967009310236
OCCUPATION_TYPE,Drivers,18603,6.049539691263077
OCCUPATION_TYPE,High skill tech staff,11380,3.7006806260589054
OCCUPATION_TYPE,Accountants,9813,3.1911053588326923
OCCUPATION_TYPE,Medicine staff,8537,2.776160852782502
OCCUPATION_TYPE,Security staff,6721,2.185612872385053
OCCUPATION_TYPE,Cooking staff,5946,1.9335893675348197
OCCUPATION_TYPE,Cleaning staff,4653,1.5131166039588828
OCCUPATION_TYPE,Private service staff,2652,0.8624081740165392
OCCUPATION_TYPE,Low-skill Laborers,2093,0.6806260589052099
OCCUPATION_TYPE,Waiters/barmen staff,1348,0.43835830262982467
OCCUPATION_TYPE,Secretaries,1305,0.42437506300587624
OCCUPATION_TYPE,Realty agents,751,0.24421890599035484
OCCUPATION_TYPE,HR staff,563,0.1830828815879757
OCCUPATION_TYPE,IT staff,526,0.17105079167899687
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,71.01892290031901
NAME_EDUCATION_TYPE,Higher education,74863,24.344820185294186
NAME_EDUCATION_TYPE,Incomplete higher,10277,3.3419942701236702
NAME_EDUCATION_TYPE,Lower secondary,3816,1.2409312187206312
NAME_EDUCATION_TYPE,Academic degree,164,0.053331425542500914
