feature,missing_count,missing_percent,nunique,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
SK_ID_CURR,0,0.0,307511,307511.0,278180.51857657125,102790.17534842459,100002.0,103590.2,117945.5,189145.5,278202.0,367142.5,438427.5,452712.9,456255.0
TARGET,0,0.0,2,307511.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CNT_CHILDREN,0,0.0,15,307511.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,19.0
AMT_INCOME_TOTAL,0,0.0,2548,307511.0,168797.9192969845,237123.1462788562,25650.0,45000.0,67500.0,112500.0,147150.0,202500.0,337500.0,472500.0,117000000.0
AMT_CREDIT,0,0.0,5603,307511.0,599025.9997057016,402490.7769958549,45000.0,76410.0,135000.0,270000.0,513531.0,808650.0,1350000.0,1854000.0,4050000.0
AMT_ANNUITY,12,0.003902299429939092,13672,307499.0,27108.573909183444,14493.737315118335,1615.5,6182.91,9000.0,16524.0,24903.0,34596.0,53325.0,70006.5,258025.5
AMT_GOODS_PRICE,278,0.09040327012692229,1002,307233.0,538396.2074288895,369446.46054005757,40500.0,67500.0,135000.0,238500.0,450000.0,679500.0,1305000.0,1800000.0,4050000.0
REGION_POPULATION_RELATIVE,0,0.0,81,307511.0,0.020868112057780035,0.013831280122704704,0.00029,0.002134,0.00496,0.010006,0.01885,0.028663,0.04622,0.072508,0.072508
DAYS_BIRTH,0,0.0,17460,307511.0,-16036.995066843137,4363.98863178556,-25229.0,-24419.0,-23204.0,-19682.0,-15750.0,-12413.0,-9407.0,-8263.0,-7489.0
DAYS_EMPLOYED,0,0.0,12574,307511.0,63815.04590404896,141275.76651872724,-17912.0,-10894.9,-6742.5,-2760.0,-1213.0,-289.0,365243.0,365243.0,365243.0
DAYS_REGISTRATION,0,0.0,15688,307511.0,-4986.120327538418,3522.8863209630713,-24672.0,-13879.0,-11416.0,-7479.5,-4504.0,-2010.0,-330.0,-50.0,0.0
DAYS_ID_PUBLISH,0,0.0,6168,307511.0,-2994.2023732484367,1509.4504190030232,-7197.0,-5447.0,-4944.0,-4299.0,-3254.0,-1720.0,-375.0,-61.0,0.0
OWN_CAR_AGE,202929,65.9908100848425,62,104582.0,12.061090818687727,11.94481158224276,0.0,0.0,1.0,5.0,9.0,15.0,30.0,64.0,91.0
FLAG_MOBIL,0,0.0,2,307511.0,0.9999967480838083,0.001803307015351493,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FLAG_EMP_PHONE,0,0.0,2,307511.0,0.8198893698111612,0.3842801989387643,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
FLAG_WORK_PHONE,0,0.0,2,307511.0,0.1993684778755882,0.3995262281502265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_CONT_MOBILE,0,0.0,2,307511.0,0.9981334001060125,0.04316389414243239,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FLAG_PHONE,0,0.0,2,307511.0,0.28106636835755466,0.44952054685675835,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FLAG_EMAIL,0,0.0,2,307511.0,0.0567199222141647,0.23130703972270758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CNT_FAM_MEMBERS,2,0.0006503832383231819,17,307509.0,2.152665450442101,0.9106815691792972,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,20.0
REGION_RATING_CLIENT,0,0.0,3,307511.0,2.0524631639193394,0.50903390281568,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
REGION_RATING_CLIENT_W_CITY,0,0.0,3,307511.0,2.031520823645333,0.5027370329147687,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
