feature,pearson_correlation_with_target,absolute_correlation
EXT_SOURCE_3,-0.17891869762837048,0.17891869762837048
EXT_SOURCE_2,-0.16047167160520875,0.16047167160520875
EXT_SOURCE_1,-0.1553171260639496,0.1553171260639496
DAYS_BIRTH,0.07823930830982459,0.07823930830982459
REGION_RATING_CLIENT_W_CITY,0.06089266756482329,0.06089266756482329
REGION_RATING_CLIENT,0.058899014945713445,0.058899014945713445
DAYS_LAST_PHONE_CHANGE,0.055218483513459246,0.055218483513459246
DAYS_ID_PUBLISH,0.05145717260705659,0.05145717260705659
REG_CITY_NOT_WORK_CITY,0.05099446436812648,0.05099446436812648
FLAG_EMP_PHONE,0.04598221971659226,0.04598221971659226
DAYS_EMPLOYED,-0.04493166265773831,0.04493166265773831
REG_CITY_NOT_LIVE_CITY,0.044395374805700945,0.044395374805700945
FLAG_DOCUMENT_3,0.044346346851144976,0.044346346851144976
FLOORSMAX_AVG,-0.044003370532402865,0.044003370532402865
FLOORSMAX_MEDI,-0.04376792104770143,0.04376792104770143
FLOORSMAX_MODE,-0.04322626321381947,0.04322626321381947
DAYS_REGISTRATION,0.04197486283141728,0.04197486283141728
AMT_GOODS_PRICE,-0.039645281169544896,0.039645281169544896
OWN_CAR_AGE,0.0376115642751661,0.0376115642751661
REGION_POPULATION_RELATIVE,-0.037227148542444743,0.037227148542444743
ELEVATORS_AVG,-0.03419879367526856,0.03419879367526856
ELEVATORS_MEDI,-0.033862876768446605,0.033862876768446605
FLOORSMIN_AVG,-0.033613503251899074,0.033613503251899074
FLOORSMIN_MEDI,-0.033394287191135595,0.033394287191135595
LIVINGAREA_AVG,-0.03299711746761117,0.03299711746761117
LIVINGAREA_MEDI,-0.03273928440781497,0.03273928440781497
FLOORSMIN_MODE,-0.03269782531047472,0.03269782531047472
TOTALAREA_MODE,-0.032595546758941996,0.032595546758941996
LIVE_CITY_NOT_WORK_CITY,0.03251834110149831,0.03251834110149831
DEF_30_CNT_SOCIAL_CIRCLE,0.03224757925304534,0.03224757925304534
ELEVATORS_MODE,-0.03213117100499533,0.03213117100499533
DEF_60_CNT_SOCIAL_CIRCLE,0.031276472126435764,0.031276472126435764
LIVINGAREA_MODE,-0.03068461576564163,0.03068461576564163
AMT_CREDIT,-0.03036928646142988,0.03036928646142988
APARTMENTS_AVG,-0.0294975646334316,0.0294975646334316
APARTMENTS_MEDI,-0.029183758876693472,0.029183758876693472
FLAG_DOCUMENT_6,-0.02860189397306156,0.02860189397306156
FLAG_WORK_PHONE,0.028524322363216906,0.028524322363216906
APARTMENTS_MODE,-0.02728387066775288,0.02728387066775288
LIVINGAPARTMENTS_AVG,-0.025030533291064243,0.025030533291064243
LIVINGAPARTMENTS_MEDI,-0.02462066360650495,0.02462066360650495
HOUR_APPR_PROCESS_START,-0.02416583143009371,0.02416583143009371
FLAG_PHONE,-0.023806272330357217,0.023806272330357217
LIVINGAPARTMENTS_MODE,-0.023393245570197525,0.023393245570197525
BASEMENTAREA_AVG,-0.022745743190148507,0.022745743190148507
YEARS_BUILD_MEDI,-0.022325926477474216,0.022325926477474216
YEARS_BUILD_AVG,-0.022149284063388727,0.022149284063388727
BASEMENTAREA_MEDI,-0.02208126137318984,0.02208126137318984
YEARS_BUILD_MODE,-0.02206820383485666,0.02206820383485666
BASEMENTAREA_MODE,-0.01995228392431536,0.01995228392431536
AMT_REQ_CREDIT_BUREAU_YEAR,0.019929858569467208,0.019929858569467208
CNT_CHILDREN,0.01918713359627062,0.01918713359627062
ENTRANCES_AVG,-0.019172182012738025,0.019172182012738025
ENTRANCES_MEDI,-0.019024756327399944,0.019024756327399944
COMMONAREA_MEDI,-0.018572868907710774,0.018572868907710774
COMMONAREA_AVG,-0.018549661629760343,0.018549661629760343
ENTRANCES_MODE,-0.017387422304882893,0.017387422304882893
COMMONAREA_MODE,-0.016340337311304406,0.016340337311304406
NONLIVINGAREA_AVG,-0.013578069781984715,0.013578069781984715
NONLIVINGAREA_MEDI,-0.013336719980273937,0.013336719980273937
AMT_ANNUITY,-0.012816561515413605,0.012816561515413605
NONLIVINGAREA_MODE,-0.012710543748878284,0.012710543748878284
AMT_REQ_CREDIT_BUREAU_MON,-0.012462419228138606,0.012462419228138606
FLAG_DOCUMENT_16,-0.011614671588293178,0.011614671588293178
FLAG_DOCUMENT_13,-0.01158322234141947,0.01158322234141947
LANDAREA_MEDI,-0.011255826639923302,0.011255826639923302
LANDAREA_AVG,-0.010884822678806584,0.010884822678806584
LANDAREA_MODE,-0.010174103567660402,0.010174103567660402
YEARS_BEGINEXPLUATATION_MEDI,-0.009993096559696444,0.009993096559696444
YEARS_BEGINEXPLUATATION_AVG,-0.009727673268680202,0.009727673268680202
FLAG_DOCUMENT_14,-0.009463821935576941,0.009463821935576941
CNT_FAM_MEMBERS,0.009307784396531512,0.009307784396531512
OBS_30_CNT_SOCIAL_CIRCLE,0.0091306657027761,0.0091306657027761
YEARS_BEGINEXPLUATATION_MODE,-0.009036447354301175,0.009036447354301175
OBS_60_CNT_SOCIAL_CIRCLE,0.009022143630215059,0.009022143630215059
FLAG_DOCUMENT_8,-0.00804038446605664,0.00804038446605664
FLAG_DOCUMENT_18,-0.007952385099462259,0.007952385099462259
REG_REGION_NOT_WORK_REGION,0.006941907545371869,0.006941907545371869
FLAG_DOCUMENT_15,-0.006535657584094894,0.006535657584094894
REG_REGION_NOT_LIVE_REGION,0.005575944520908343,0.005575944520908343
FLAG_DOCUMENT_2,0.005417144279619328,0.005417144279619328
FLAG_DOCUMENT_9,-0.004352408580842042,0.004352408580842042
FLAG_DOCUMENT_11,-0.004229349652160023,0.004229349652160023
AMT_INCOME_TOTAL,-0.003981865601205793,0.003981865601205793
FLAG_DOCUMENT_21,0.003708625029306583,0.003708625029306583
FLAG_DOCUMENT_17,-0.0033775691474138337,0.0033775691474138337
NONLIVINGAPARTMENTS_AVG,-0.0031761075207260804,0.0031761075207260804
LIVE_REGION_NOT_WORK_REGION,0.002819479184159081,0.002819479184159081
NONLIVINGAPARTMENTS_MEDI,-0.0027571486021083394,0.0027571486021083394
AMT_REQ_CREDIT_BUREAU_DAY,0.0027044013780418243,0.0027044013780418243
FLAG_DOCUMENT_4,-0.0026720821701620937,0.0026720821701620937
SK_ID_CURR,-0.0021084690181960766,0.0021084690181960766
AMT_REQ_CREDIT_BUREAU_QRT,-0.0020219274353457245,0.0020219274353457245
FLAG_EMAIL,-0.0017583834312544816,0.0017583834312544816
NONLIVINGAPARTMENTS_MODE,-0.0015565608459037154,0.0015565608459037154
FLAG_DOCUMENT_7,-0.0015195031600879073,0.0015195031600879073
FLAG_DOCUMENT_10,-0.0014138915975241474,0.0014138915975241474
FLAG_DOCUMENT_19,-0.001357518324300817,0.001357518324300817
AMT_REQ_CREDIT_BUREAU_HOUR,0.0009304246096946755,0.0009304246096946755
AMT_REQ_CREDIT_BUREAU_WEEK,0.000787711748903683,0.000787711748903683
FLAG_DOCUMENT_12,-0.0007557507043578883,0.0007557507043578883
FLAG_MOBIL,0.0005343955790422479,0.0005343955790422479
FLAG_CONT_MOBILE,0.00037012680234920295,0.00037012680234920295
FLAG_DOCUMENT_5,-0.00031577741664638075,0.00031577741664638075
FLAG_DOCUMENT_20,0.00021539355797734155,0.00021539355797734155
