feature,level,count,rate,bad_rate
NAME_CONTRACT_TYPE,Cash loans,166883,0.904485490986743,0.08332184824098321
NAME_CONTRACT_TYPE,Revolving loans,17623,0.09551450901325702,0.05617658741417466
CODE_GENDER,F,121426,0.6581140992704845,0.07006736613245927
CODE_GENDER,M,63078,0.34187506097362685,0.10125558831922382
CODE_GENDER,MISSING,2,1.0839755888697386e-05,0.0
FLAG_OWN_CAR,N,121848,0.6604012877629996,0.08492548092705667
FLAG_OWN_CAR,Y,62658,0.33959871223700044,0.07256854671390724
FLAG_OWN_REALTY,Y,128053,0.6940316304076832,0.07974822924882666
FLAG_OWN_REALTY,N,56453,0.30596836959231677,0.0829539617026553
NAME_TYPE_SUITE,Unaccompanied,149236,0.8088409049028216,0.08195743654346137
NAME_TYPE_SUITE,Family,23959,0.12985485566865035,0.07412663299803832
NAME_TYPE_SUITE,"Spouse, partner",6776,0.03672509295090674,0.07821723730814639
NAME_TYPE_SUITE,Children,1977,0.010715098695977367,0.0738492665655033
NAME_TYPE_SUITE,Other_B,1087,0.00589140732550703,0.09935602575896964
NAME_TYPE_SUITE,MISSING,777,0.0042112451627589345,0.05276705276705277
NAME_TYPE_SUITE,Other_A,529,0.0028671154325604587,0.0888468809073724
NAME_TYPE_SUITE,Group of people,165,0.0008942798608175344,0.09696969696969697
NAME_INCOME_TYPE,Working,95140,0.5156471876253347,0.09518604162287156
NAME_INCOME_TYPE,Commercial associate,42989,0.23299513294960597,0.07627532624624904
NAME_INCOME_TYPE,Pensioner,33218,0.1800375055553749,0.053976759588175084
NAME_INCOME_TYPE,State servant,13127,0.07114673777546529,0.058124476270282624
NAME_INCOME_TYPE,Unemployed,15,8.12981691652304e-05,0.26666666666666666
NAME_INCOME_TYPE,Student,8,4.3359023554789544e-05,0.0
NAME_INCOME_TYPE,Businessman,7,3.793914561044085e-05,0.0
NAME_INCOME_TYPE,Maternity leave,2,1.0839755888697386e-05,0.0
NAME_EDUCATION_TYPE,Secondary / secondary special,131154,0.7108386719131086,0.08904036476203547
NAME_EDUCATION_TYPE,Higher education,44721,0.2423823615492179,0.054158001833590486
NAME_EDUCATION_TYPE,Incomplete higher,6270,0.03398263471106631,0.08724082934609251
NAME_EDUCATION_TYPE,Lower secondary,2272,0.012313962689560231,0.10871478873239436
NAME_EDUCATION_TYPE,Academic degree,89,0.0004823691370470337,0.011235955056179775
NAME_FAMILY_STATUS,Married,117757,0.6382285670926691,0.07557087901356183
NAME_FAMILY_STATUS,Single / not married,27350,0.14823366177793676,0.09923217550274223
NAME_FAMILY_STATUS,Civil marriage,17908,0.0970591742273964,0.09839178020996203
NAME_FAMILY_STATUS,Separated,11863,0.06429601205380855,0.08033381100901964
NAME_FAMILY_STATUS,Widow,9627,0.05217716497024487,0.058896852602056717
NAME_FAMILY_STATUS,MISSING,1,5.419877944348693e-06,0.0
NAME_HOUSING_TYPE,House / apartment,163753,0.8875212730209315,0.07792834329752737
NAME_HOUSING_TYPE,With parents,8888,0.04817187516937119,0.11734923492349235
NAME_HOUSING_TYPE,Municipal apartment,6698,0.03630234247124755,0.08241266049567035
NAME_HOUSING_TYPE,Rented apartment,2909,0.01576642494011035,0.12787899621863183
NAME_HOUSING_TYPE,Office apartment,1576,0.008541727640293541,0.06662436548223351
NAME_HOUSING_TYPE,Co-op apartment,682,0.003696356758045809,0.09090909090909091
OCCUPATION_TYPE,MISSING,57892,0.31376757395423455,0.06565674013680647
OCCUPATION_TYPE,Laborers,33119,0.17950093763888436,0.10489447145143271
OCCUPATION_TYPE,Sales staff,19097,0.103503409103227,0.09561711263549248
OCCUPATION_TYPE,Core staff,16514,0.08950386437297432,0.0640062976868112
OCCUPATION_TYPE,Managers,12856,0.0696779508525468,0.06191661481020535
OCCUPATION_TYPE,Drivers,11195,0.06067553358698362,0.11129968736042876
OCCUPATION_TYPE,High skill tech staff,6820,0.03696356758045809,0.06202346041055719
OCCUPATION_TYPE,Accountants,5885,0.03189598170249206,0.044859813084112146
OCCUPATION_TYPE,Medicine staff,5188,0.02811832677528102,0.07112567463377024
OCCUPATION_TYPE,Security staff,4012,0.021744550312726957,0.10992023928215354
OCCUPATION_TYPE,Cooking staff,3627,0.01965789730415271,0.10283981251723187
OCCUPATION_TYPE,Cleaning staff,2820,0.015284055803063315,0.09787234042553192
OCCUPATION_TYPE,Private service staff,1594,0.008639285443291816,0.06398996235884567
OCCUPATION_TYPE,Low-skill Laborers,1245,0.0067477480407141235,0.18634538152610441
OCCUPATION_TYPE,Waiters/barmen staff,789,0.004276283698091119,0.11153358681875793
OCCUPATION_TYPE,Secretaries,771,0.004178725895092842,0.0648508430609598
OCCUPATION_TYPE,Realty agents,453,0.002455204708789958,0.08388520971302428
OCCUPATION_TYPE,HR staff,319,0.001728941064247233,0.06269592476489028
OCCUPATION_TYPE,IT staff,310,0.001680162162748095,0.06129032258064516
WEEKDAY_APPR_PROCESS_START,TUESDAY,32381,0.17550106771595503,0.08310428955251536
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,30897,0.16745796884654157,0.08143185422532932
WEEKDAY_APPR_PROCESS_START,MONDAY,30659,0.16616803789578657,0.07782380377703121
WEEKDAY_APPR_PROCESS_START,FRIDAY,30364,0.1645691739022037,0.08193913845343169
WEEKDAY_APPR_PROCESS_START,THURSDAY,30218,0.1637778717223288,0.0801178105764776
WEEKDAY_APPR_PROCESS_START,SATURDAY,20218,0.10957909227884188,0.07874171530319517
WEEKDAY_APPR_PROCESS_START,SUNDAY,9769,0.05294678763834239,0.0819940628518784
ORGANIZATION_TYPE,Business Entity Type 3,40931,0.22184102414013637,0.09198407075321884
ORGANIZATION_TYPE,XNA,33225,0.18007544470098533,0.054085778781038374
ORGANIZATION_TYPE,Self-employed,22884,0.1240284868784755,0.10291033036182486
ORGANIZATION_TYPE,Other,9995,0.05417168005376519,0.07293646823411706
ORGANIZATION_TYPE,Medicine,6768,0.03668173392735195,0.06900118203309692
ORGANIZATION_TYPE,Business Entity Type 2,6297,0.03412897141556372,0.08766079085278704
ORGANIZATION_TYPE,Government,6256,0.033906756419845425,0.06953324808184143
ORGANIZATION_TYPE,School,5318,0.02882291090804635,0.05885671305001881
ORGANIZATION_TYPE,Trade: type 7,4678,0.02535418902366319,0.09256092347156905
ORGANIZATION_TYPE,Kindergarten,4199,0.022758067488320162,0.07335079780900214
ORGANIZATION_TYPE,Construction,4051,0.021955925552556557,0.12194519871636633
ORGANIZATION_TYPE,Business Entity Type 1,3611,0.01957117925704313,0.07781777900858489
ORGANIZATION_TYPE,Transport: type 4,3188,0.017278570886583633,0.08657465495608532
ORGANIZATION_TYPE,Trade: type 3,2093,0.011343804537521814,0.10176779741997133
ORGANIZATION_TYPE,Industry: type 9,2035,0.011029451616749592,0.06633906633906633
ORGANIZATION_TYPE,Industry: type 3,1968,0.010666319794478228,0.10670731707317073
ORGANIZATION_TYPE,Security,1961,0.010628380648867787,0.10606833248342683
ORGANIZATION_TYPE,Housing,1749,0.009479366524665864,0.08004574042309891
ORGANIZATION_TYPE,Military,1628,0.008823561293399673,0.0472972972972973
ORGANIZATION_TYPE,Industry: type 11,1615,0.00875310288012314,0.08544891640866874
ORGANIZATION_TYPE,Agriculture,1482,0.008032259113524764,0.10323886639676114
ORGANIZATION_TYPE,Bank,1459,0.007907601920804743,0.05483207676490747
ORGANIZATION_TYPE,Police,1402,0.007598668877976868,0.05492154065620542
ORGANIZATION_TYPE,Transport: type 2,1315,0.007127139496818532,0.07376425855513308
ORGANIZATION_TYPE,Postal,1296,0.007024161815875907,0.08101851851851852
ORGANIZATION_TYPE,Security Ministries,1181,0.006400875852275807,0.04826418289585097
ORGANIZATION_TYPE,Trade: type 2,1141,0.006184080734501859,0.058720420683610865
ORGANIZATION_TYPE,Restaurant,1096,0.005940186227006167,0.11496350364963503
ORGANIZATION_TYPE,Services,936,0.005073005755910377,0.060897435897435896
