feature,details,dtype,missing_count,missing_rate,nunique,min,max,mean,median
CC_UTILIZATION_MAX,Maximum AMT_BALANCE / AMT_CREDIT_LIMIT_ACTUAL across credit-card records.,float64,132704,0.719239482726849,34282,0.0,4.216931,0.6316638458706983,0.952780375
CC_UTILIZATION_MEAN,Mean AMT_BALANCE / AMT_CREDIT_LIMIT_ACTUAL across credit-card records.,float64,132704,0.719239482726849,35684,-0.08484848484848484,2.1387896853932586,0.32644324019824233,0.25361361595441595
CC_AMT_BALANCE_MAX,Maximum AMT_BALANCE across credit-card monthly records.,float64,132186,0.7164319859516763,34549,0.0,1354829.265,145040.4345223624,97791.255
CC_AMT_BALANCE_MEAN,Mean AMT_BALANCE across credit-card monthly records.,float64,132186,0.7164319859516763,35857,-2930.232558139535,928686.3235714287,71604.54669755518,26836.32021034816
CC_ROW_CNT,Number of credit-card monthly records for SK_ID_CURR.,float64,132186,0.7164319859516763,126,1.0,192.0,37.160282874617735,21.0
CC_DPD_MAX,Maximum SK_DPD across credit-card monthly records.,float64,132186,0.7164319859516763,338,0.0,2800.0,17.62400611620795,0.0
CC_DPD_MEAN,Mean SK_DPD across credit-card monthly records.,float64,132186,0.7164319859516763,2614,0.0,1328.625,4.415416273477874,0.0
CC_PREV_CNT,Number of distinct previous credit-card contracts for SK_ID_CURR.,float64,132186,0.7164319859516763,4,1.0,4.0,1.0064220183486239,1.0
BB_STATUS_0_RATIO_MEAN,Mean per-bureau-credit share of months whose STATUS is 0.,float64,129293,0.7007522790586757,37885,0.0,1.0,0.45664277640685713,0.4357214868401915
BB_MONTHS_MIN_MEAN,"Mean, across bureau credits, of the earliest MONTHS_BALANCE value.",float64,129293,0.7007522790586757,4775,-96.0,0.0,-34.21980460067583,-33.05263157894737
BB_MONTHS_MAX_MAX,Latest MONTHS_BALANCE value across all linked bureau credits.,float64,129293,0.7007522790586757,89,-88.0,0.0,-0.909948743955228,0.0
BB_STATUS_DPD_RATIO_MEAN,Mean per-bureau-credit share of months whose STATUS is 1 through 5.,float64,129293,0.7007522790586757,9370,0.0,1.0,0.01803387186993858,0.0
BB_STATUS_C_RATIO_MEAN,Mean per-bureau-credit share of months whose STATUS is C (closed).,float64,129293,0.7007522790586757,31994,0.0,1.0,0.33099576071150266,0.30877567940943035
BB_MONTHS_MIN_MIN,Earliest MONTHS_BALANCE value across all linked bureau credits.,float64,129293,0.7007522790586757,97,-96.0,0.0,-56.56397949758209,-57.0
BB_MONTHS_SIZE_SUM,Total number of bureau-balance monthly records linked to SK_ID_CURR.,float64,129293,0.7007522790586757,1014,1.0,2657.0,159.29418796297972,110.0
COMMONAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,128839,0.6982916544719413,2810,0.0,1.0,0.04242531302207772,0.019
COMMONAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,128839,0.6982916544719413,2865,0.0,1.0,0.04453475308531087,0.0211
COMMONAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,128839,0.6982916544719413,2877,0.0,1.0,0.04449596709001743,0.0208
NONLIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,127994,0.6937118576089667,323,0.0,1.0,0.008708449532842583,0.0
NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,127994,0.6937118576089667,179,0.0,1.0,0.008547250141562854,0.0
NONLIVINGAPARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,127994,0.6937118576089667,141,0.0,1.0,0.007982839043035109,0.0
FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",str,126059,0.6832243937866519,4,,,,
LIVINGAPARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,126018,0.6830021787909336,703,0.0,1.0,0.10532020072493502,0.0771
LIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,126018,0.6830021787909336,1044,0.0,1.0,0.1017328648611681,0.0761
LIVINGAPARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,126018,0.6830021787909336,1708,0.0,1.0,0.10060114553412666,0.0756
FLOORSMIN_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,125175,0.6784332216838477,47,0.0,1.0,0.2308165866073385,0.2083
FLOORSMIN_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,125175,0.6784332216838477,269,0.0,1.0,0.23108403869815103,0.2083
FLOORSMIN_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,125175,0.6784332216838477,25,0.0,1.0,0.22733634693499183,0.2083
YEARS_BUILD_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,122602,0.6644878757330385,146,0.0,1.0,0.7524347311966916,0.7552
YEARS_BUILD_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,122602,0.6644878757330385,147,0.0,1.0,0.7557270063323857,0.7585
YEARS_BUILD_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,122602,0.6644878757330385,150,0.0,1.0,0.7595783551951409,0.7648
OWN_CAR_AGE,Age of client's car,float64,121853,0.6604283871527213,60,0.0,91.0,12.070323847222001,9.0
LANDAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,109328,0.5925444158997539,3313,0.0,1.0,0.06732649312298811,0.0487
LANDAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,109328,0.5925444158997539,3317,0.0,1.0,0.06514982973742318,0.046
LANDAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,109328,0.5925444158997539,3284,0.0,1.0,0.06647320492697331,0.0482
BASEMENTAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,107775,0.5841273454521804,3548,0.0,1.0,0.08844302954477329,0.0762
BASEMENTAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,107775,0.5841273454521804,3600,0.0,1.0,0.08759230428379663,0.0746
BASEMENTAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,107775,0.5841273454521804,3536,0.0,1.0,0.08797419817283758,0.0757
EXT_SOURCE_1,Normalized score from external data source,float64,104043,0.5639003609638711,73008,0.0145681324124455,0.9516239622079844,0.5011085866460012,0.5044290890714999
NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,101618,0.5507571569488255,2962,0.0,1.0,0.028357290560756677,0.0031
NONLIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,101618,0.5507571569488255,2979,0.0,1.0,0.027161513126146123,0.0011
NONLIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,101618,0.5507571569488255,2928,0.0,1.0,0.02843619944986005,0.0036
ELEVATORS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,98206,0.5322645334027077,46,0.0,1.0,0.07775457705677868,0.0
ELEVATORS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,98206,0.5322645334027077,26,0.0,1.0,0.07411840440324449,0.0
ELEVATORS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,98206,0.5322645334027077,234,0.0,1.0,0.07861016917728852,0.0
WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",str,93670,0.5076799670471421,7,,,,
APARTMENTS_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,93462,0.5065526324347176,2145,0.0,1.0,0.11732796779579105,0.0876
