column,dtype,missing_count,missing_percent,non_null_count
AMT_ANNUITY,float64,1226791,71.4734902949614,489637
AMT_CREDIT_MAX_OVERDUE,float64,1124488,65.51326359159837,591940
DAYS_ENDDATE_FACT,float64,633653,36.916957775100386,1082775
AMT_CREDIT_SUM_LIMIT,float64,591780,34.47741472406649,1124648
AMT_CREDIT_SUM_DEBT,float64,257669,15.011931755948982,1458759
DAYS_CREDIT_ENDDATE,float64,105553,6.149573416420613,1610875
AMT_CREDIT_SUM,float64,13,0.0007573868522303295,1716415
AMT_CREDIT_SUM_OVERDUE,float64,0,0.0,1716428
CNT_CREDIT_PROLONG,int64,0,0.0,1716428
CREDIT_ACTIVE,str,0,0.0,1716428
CREDIT_CURRENCY,str,0,0.0,1716428
CREDIT_DAY_OVERDUE,int64,0,0.0,1716428
CREDIT_TYPE,str,0,0.0,1716428
DAYS_CREDIT,int64,0,0.0,1716428
DAYS_CREDIT_UPDATE,int64,0,0.0,1716428
SK_ID_BUREAU,int64,0,0.0,1716428
SK_ID_CURR,int64,0,0.0,1716428
