column,dtype,missing_count,missing_percent,non_null_count
AMT_PAYMENT_CURRENT,float64,767988,19.998062657409086,3072324
AMT_DRAWINGS_ATM_CURRENT,float64,749816,19.52487193748841,3090496
AMT_DRAWINGS_OTHER_CURRENT,float64,749816,19.52487193748841,3090496
AMT_DRAWINGS_POS_CURRENT,float64,749816,19.52487193748841,3090496
CNT_DRAWINGS_ATM_CURRENT,float64,749816,19.52487193748841,3090496
CNT_DRAWINGS_OTHER_CURRENT,float64,749816,19.52487193748841,3090496
CNT_DRAWINGS_POS_CURRENT,float64,749816,19.52487193748841,3090496
AMT_INST_MIN_REGULARITY,float64,305236,7.948208374736219,3535076
CNT_INSTALMENT_MATURE_CUM,float64,305236,7.948208374736219,3535076
AMT_BALANCE,float64,0,0.0,3840312
AMT_CREDIT_LIMIT_ACTUAL,int64,0,0.0,3840312
AMT_DRAWINGS_CURRENT,float64,0,0.0,3840312
AMT_PAYMENT_TOTAL_CURRENT,float64,0,0.0,3840312
AMT_RECEIVABLE_PRINCIPAL,float64,0,0.0,3840312
AMT_RECIVABLE,float64,0,0.0,3840312
AMT_TOTAL_RECEIVABLE,float64,0,0.0,3840312
CNT_DRAWINGS_CURRENT,int64,0,0.0,3840312
MONTHS_BALANCE,int64,0,0.0,3840312
NAME_CONTRACT_STATUS,str,0,0.0,3840312
SK_DPD,int64,0,0.0,3840312
SK_DPD_DEF,int64,0,0.0,3840312
SK_ID_CURR,int64,0,0.0,3840312
SK_ID_PREV,int64,0,0.0,3840312
