feature,importance,importance_pct
numeric__EXT_SOURCE_2,0.0923726799396368,0.09237267993963826
numeric__EXT_SOURCE_3,0.0824691149269076,0.0824691149269089
numeric__EXT_SOURCE_1,0.0234629720832653,0.02346297208326567
categorical__NAME_EDUCATION_TYPE_Higher education,0.0231632933117691,0.023163293311769466
numeric__BUREAU_CLOSED_RATIO,0.0182147625492115,0.01821476254921179
numeric__PREV_REFUSED_RATIO,0.0180555221230171,0.018055522123017385
numeric__DAYS_BIRTH,0.0175096127726689,0.017509612772669176
numeric__BUREAU_ACTIVE_RATIO,0.0174459868190996,0.017445986819099875
categorical__CODE_GENDER_F,0.0169768895279894,0.016976889527989668
numeric__INS_PAYMENT_PERC_MIN,0.0169293196035801,0.016929319603580368
numeric__PREV_APPROVED_RATIO,0.0165075982711976,0.01650759827119786
categorical__CODE_GENDER_M,0.0158373674180129,0.01583736741801315
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.0156545112042826,0.015654511204282847
numeric__BUREAU_DAYS_CREDIT_MEAN,0.0152088999541425,0.01520889995414274
numeric__REGION_RATING_CLIENT_W_CITY,0.0145006735966752,0.014500673596675428
numeric__CC_UTILIZATION_MEAN,0.0128205353361968,0.012820535336197003
numeric__REGION_RATING_CLIENT,0.0122134676130039,0.012213467613004092
categorical__NAME_INCOME_TYPE_Working,0.0121869900585729,0.012186990058573093
numeric__BUREAU_DAYS_CREDIT_MIN,0.0116827641862346,0.011682764186234785
numeric__DAYS_EMPLOYED,0.0113256147705197,0.011325614770519878
numeric__EMPLOYED_BIRTH_RATIO,0.0112588410553815,0.011258841055381677
numeric__FLAG_DOCUMENT_3,0.0108407004289597,0.010840700428959871
numeric__DAYS_LAST_PHONE_CHANGE,0.0096243243584313,0.009624324358431451
numeric__CREDIT_GOODS_RATIO,0.0076576756389477,0.007657675638947821
numeric__REG_CITY_NOT_WORK_CITY,0.0074496993200183,0.007449699320018417
categorical__NAME_FAMILY_STATUS_Married,0.0073327453243004,0.007332745324300515
numeric__missingindicator_EXT_SOURCE_1,0.0073292925740063,0.007329292574006416
categorical__NAME_INCOME_TYPE_Pensioner,0.0068875992032952,0.006887599203295308
categorical__FLAG_OWN_CAR_Y,0.0067052618550914,0.006705261855091506
numeric__missingindicator_OWN_CAR_AGE,0.0066665145926946,0.006666514592694705
categorical__FLAG_OWN_CAR_N,0.0066035083960398,0.006603508396039904
numeric__missingindicator_DAYS_EMPLOYED,0.006500670386286,0.006500670386286102
numeric__CC_UTILIZATION_MAX,0.0062916477217443,0.006291647721744399
numeric__missingindicator_EMPLOYED_BIRTH_RATIO,0.0056538044251713,0.0056538044251713895
numeric__DAYS_ID_PUBLISH,0.0053098485840001,0.005309848584000184
categorical__NAME_CONTRACT_TYPE_Cash loans,0.005273642994314,0.005273642994314084
categorical__ORGANIZATION_TYPE_XNA,0.0052537222800447,0.005253722280044782
numeric__REG_CITY_NOT_LIVE_CITY,0.005187467763407,0.005187467763407082
categorical__NAME_CONTRACT_TYPE_Revolving loans,0.0050379694061501,0.00503796940615018
numeric__DAYS_EMPLOYED_ANOMALY,0.0049200478369908,0.004920047836990877
numeric__FLAG_PHONE,0.004828475341252,0.0048284753412520766
numeric__AMT_GOODS_PRICE,0.0048196851897344,0.004819685189734476
categorical__OCCUPATION_TYPE_Laborers,0.0048170363289639,0.004817036328963976
numeric__FLAG_EMP_PHONE,0.0047548460106075,0.004754846010607575
numeric__REGION_POPULATION_RELATIVE,0.0047167502796459,0.004716750279645974
numeric__AMT_CREDIT,0.0042244884341871,0.0042244884341871665
categorical__NAME_FAMILY_STATUS_Single / not married,0.00384300821024,0.003843008210240061
numeric__DAYS_REGISTRATION,0.0037161674310545,0.0037161674310545586
categorical__FLAG_OWN_REALTY_Y,0.003558795619458,0.003558795619458056
numeric__POS_PREV_CNT,0.0035495859183658,0.003549585918365856
categorical__FLAG_OWN_REALTY_N,0.0034931642239177,0.003493164223917755
categorical__OCCUPATION_TYPE_MISSING,0.0032909174860957,0.003290917486095752
categorical__NAME_INCOME_TYPE_Commercial associate,0.0032584644366797,0.0032584644366797514
categorical__ORGANIZATION_TYPE_Business Entity Type 3,0.003112004336114,0.003112004336114049
numeric__POS_ROW_CNT,0.003106343207582,0.003106343207582049
categorical__WALLSMATERIAL_MODE_Panel,0.00310527057771,0.003105270577710049
numeric__missingindicator_EXT_SOURCE_3,0.0030294402762255,0.0030294402762255476
categorical__NAME_INCOME_TYPE_State servant,0.0030145306991629,0.0030145306991629477
numeric__FLAG_WORK_PHONE,0.0029970822282792,0.0029970822282792474
categorical__OCCUPATION_TYPE_Core staff,0.0029874738837054,0.0029874738837054474
numeric__CC_AMT_BALANCE_MEAN,0.002959933134372,0.002959933134372047
numeric__INS_PREV_CNT,0.0029215773218569,0.002921577321856946
categorical__NAME_TYPE_SUITE_Unaccompanied,0.0029185044867143,0.002918504486714346
numeric__CC_ROW_CNT,0.0029114314183172,0.0029114314183172458
categorical__ORGANIZATION_TYPE_Self-employed,0.0027136816024715,0.002713681602471543
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_QRT,0.0026942370452694,0.0026942370452694426
categorical__NAME_HOUSING_TYPE_House / apartment,0.0026615214205927,0.002661521420592742
categorical__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0026275273706328,0.0026275273706328414
categorical__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0026117546628958,0.002611754662895841
categorical__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0025776763886511,0.002577676388651141
categorical__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0025726743818953,0.002572674381895341
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_MON,0.0025484762360333,0.0025484762360333405
numeric__INS_ROW_CNT,0.0025462612426392,0.0025462612426392405
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,0.0025215488551872,0.00252154885518724
numeric__HOUR_APPR_PROCESS_START,0.0025184442342906,0.0025184442342906397
"categorical__WALLSMATERIAL_MODE_Stone, brick",0.0025119042546902,0.0025119042546902395
categorical__ORGANIZATION_TYPE_infrequent_sklearn,0.0025079207742693,0.0025079207742693395
categorical__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0024930533341019,0.0024930533341019395
categorical__OCCUPATION_TYPE_Sales staff,0.0024899513995341,0.0024899513995341395
numeric__missingindicator_TOTALAREA_MODE,0.0024295138384242,0.0024295138384242384
numeric__LIVE_CITY_NOT_WORK_CITY,0.0024239632464101,0.0024239632464101383
numeric__AMT_ANNUITY,0.002402891941023,0.0024028919410230376
numeric__missingindicator_BUREAU_DAYS_CREDIT_MIN,0.0023845984775392,0.0023845984775392377
numeric__missingindicator_CC_PREV_CNT,0.0023761580745958,0.0023761580745958375
numeric__missingindicator_BB_MONTHS_SIZE_SUM,0.0023408904153566,0.0023408904153566367
numeric__BUREAU_APP_CNT,0.0023317525780332,0.002331752578033237
numeric__missingindicator_CC_DPD_MAX,0.0023267655261337,0.002326765526133737
numeric__missingindicator_CC_DPD_MEAN,0.0023162484366697,0.0023162484366697363
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_YEAR,0.0023089219029612,0.0023089219029612364
numeric__missingindicator_BB_STATUS_DPD_RATIO_MEAN,0.0023077432698773,0.0023077432698773363
numeric__BB_MONTHS_MIN_MEAN,0.0022827960964827,0.002282796096482736
numeric__missingindicator_BB_MONTHS_MIN_MIN,0.0022822220283204,0.002282222028320436
numeric__missingindicator_CC_AMT_BALANCE_MEAN,0.0022800687069409,0.002280068706940936
numeric__missingindicator_CC_UTILIZATION_MEAN,0.0022673097276542,0.0022673097276542354
numeric__missingindicator_BB_STATUS_0_RATIO_MEAN,0.0022478766761179,0.0022478766761179357
categorical__NAME_TYPE_SUITE_Family,0.0022447672479189,0.0022447672479189358
numeric__missingindicator_BB_STATUS_C_RATIO_MEAN,0.0022352575016098,0.0022352575016098353
numeric__missingindicator_CC_ROW_CNT,0.0022215687193526,0.0022215687193526353
numeric__missingindicator_CC_AMT_BALANCE_MAX,0.0022098954714967,0.002209895471496735
numeric__CC_AMT_BALANCE_MAX,0.0022062954737765,0.0022062954737765345
numeric__CNT_FAM_MEMBERS,0.0022023402616258,0.002202340261625835
