feature,importance
EXT_SOURCE_3,3.6017752
EXT_SOURCE_2,3.4238987
EXT_SOURCE_1,4.3329268
BUREAU_DAYS_CREDIT_MEAN,1.1790105
DAYS_EMPLOYED,1.357517
EMPLOYED_BIRTH_RATIO,1.2844218
PREV_REFUSED_RATIO,1.0946999
CC_UTILIZATION_MEAN,1.7579161
PREV_APPROVED_RATIO,0.8069718
INS_PAYMENT_PERC_MEAN,0.3374741
INS_DPD_MEAN,1.1193993
REGION_RATING_CLIENT_W_CITY,0.9062015
REGION_RATING_CLIENT,0.47230068
CC_UTILIZATION_MAX,0.91146845
INS_PAYMENT_DIFF_MEAN,1.607441
FLOORSMAX_AVG,0.5028376
FLOORSMAX_MEDI,0.5374684
FLOORSMAX_MODE,0.42795908
TOTALAREA_MODE,0.49462947
DAYS_EMPLOYED_ANOMALY,0.3350677
FLAG_EMP_PHONE,0.32381848
