feature,importance,importance_pct
numeric__EXT_SOURCE_2,982,0.03167741935483871
numeric__EXT_SOURCE_1,935,0.030161290322580647
numeric__DAYS_BIRTH,901,0.02906451612903226
numeric__EXT_SOURCE_3,851,0.027451612903225807
numeric__AMT_ANNUITY,669,0.021580645161290324
numeric__DAYS_ID_PUBLISH,616,0.019870967741935485
numeric__CREDIT_GOODS_RATIO,616,0.019870967741935485
numeric__DAYS_REGISTRATION,608,0.01961290322580645
numeric__CREDIT_INCOME_RATIO,576,0.01858064516129032
numeric__ANNUITY_INCOME_RATIO,574,0.018516129032258064
numeric__INS_DBD_MEAN,568,0.01832258064516129
numeric__DAYS_LAST_PHONE_CHANGE,560,0.01806451612903226
numeric__DAYS_EMPLOYED,548,0.01767741935483871
numeric__AMT_CREDIT,538,0.01735483870967742
numeric__INS_DPD_MEAN,522,0.016838709677419354
numeric__PREV_AMT_CREDIT_MAX,521,0.016806451612903225
numeric__INS_ROW_CNT,491,0.015838709677419356
numeric__EMPLOYED_BIRTH_RATIO,485,0.01564516129032258
numeric__BUREAU_AMT_CREDIT_SUM_MEAN,483,0.015580645161290322
numeric__AMT_GOODS_PRICE,479,0.015451612903225807
numeric__BUREAU_DAYS_CREDIT_MEAN,477,0.015387096774193549
numeric__BUREAU_AMT_DEBT_SUM,428,0.013806451612903226
numeric__POS_ROW_CNT,422,0.01361290322580645
numeric__BUREAU_AMT_DEBT_MEAN,422,0.01361290322580645
numeric__REGION_POPULATION_RELATIVE,401,0.012935483870967742
numeric__PREV_AMT_APPLICATION_MAX,395,0.012741935483870967
numeric__BUREAU_AMT_CREDIT_SUM_MAX,387,0.012483870967741936
numeric__PREV_REFUSED_RATIO,379,0.012225806451612904
numeric__PREV_AMT_APPLICATION_MEAN,377,0.012161290322580644
numeric__BUREAU_AMT_CREDIT_SUM_SUM,375,0.012096774193548387
numeric__CC_UTILIZATION_MAX,355,0.011451612903225807
numeric__PREV_AMT_CREDIT_MEAN,352,0.01135483870967742
numeric__CC_ROW_CNT,327,0.010548387096774194
numeric__PREV_AMT_APPLICATION_MIN,326,0.010516129032258065
numeric__BUREAU_DAYS_CREDIT_MIN,323,0.010419354838709677
numeric__PREV_APPROVED_RATIO,313,0.010096774193548387
numeric__INS_PAYMENT_DIFF_MEAN,309,0.009967741935483871
numeric__AMT_INCOME_TOTAL,296,0.009548387096774193
numeric__BUREAU_APP_CNT,292,0.009419354838709678
numeric__INS_PAYMENT_PERC_MEAN,272,0.008774193548387097
numeric__OWN_CAR_AGE,270,0.008709677419354838
numeric__CC_UTILIZATION_MEAN,249,0.008032258064516129
numeric__INS_PAYMENT_DIFF_SUM,244,0.007870967741935483
numeric__BUREAU_CLOSED_RATIO,241,0.007774193548387097
numeric__INS_PAYMENT_PERC_MIN,226,0.007290322580645161
numeric__BB_STATUS_0_RATIO_MEAN,202,0.006516129032258064
numeric__BB_MONTHS_SIZE_SUM,196,0.00632258064516129
numeric__POS_DPD_DEF_MEAN,196,0.00632258064516129
numeric__HOUR_APPR_PROCESS_START,194,0.0062580645161290326
numeric__BB_MONTHS_MIN_MEAN,194,0.0062580645161290326
numeric__POS_PREV_CNT,192,0.006193548387096774
numeric__CC_AMT_BALANCE_MAX,190,0.006129032258064516
numeric__INS_DPD_MAX,183,0.005903225806451613
numeric__PREV_APP_CNT,177,0.005709677419354839
numeric__TOTALAREA_MODE,162,0.005225806451612903
numeric__BUREAU_ACTIVE_RATIO,152,0.004903225806451613
numeric__YEARS_BEGINEXPLUATATION_AVG,152,0.004903225806451613
categorical__CODE_GENDER_F,151,0.004870967741935484
numeric__LANDAREA_AVG,148,0.0047741935483870965
numeric__AMT_REQ_CREDIT_BUREAU_YEAR,146,0.004709677419354839
numeric__CC_AMT_BALANCE_MEAN,142,0.004580645161290323
numeric__REGION_RATING_CLIENT_W_CITY,137,0.004419354838709678
numeric__APARTMENTS_AVG,130,0.004193548387096774
numeric__BB_STATUS_C_RATIO_MEAN,129,0.004161290322580645
numeric__NONLIVINGAREA_AVG,128,0.004129032258064516
numeric__APARTMENTS_MODE,124,0.004
numeric__BB_MONTHS_MIN_MIN,123,0.003967741935483871
numeric__BASEMENTAREA_AVG,122,0.0039354838709677415
numeric__POS_DPD_DEF_MAX,122,0.0039354838709677415
numeric__YEARS_BEGINEXPLUATATION_MODE,117,0.003774193548387097
numeric__DEF_30_CNT_SOCIAL_CIRCLE,116,0.0037419354838709677
categorical__NAME_FAMILY_STATUS_Married,114,0.0036774193548387095
numeric__LIVINGAREA_MEDI,110,0.0035483870967741938
numeric__FLAG_WORK_PHONE,107,0.0034516129032258064
categorical__NAME_EDUCATION_TYPE_Higher education,107,0.0034516129032258064
numeric__OBS_30_CNT_SOCIAL_CIRCLE,107,0.0034516129032258064
numeric__OBS_60_CNT_SOCIAL_CIRCLE,104,0.0033548387096774194
numeric__LIVINGAREA_MODE,103,0.00332258064516129
numeric__INS_PREV_CNT,100,0.0032258064516129032
numeric__BASEMENTAREA_MODE,99,0.0031935483870967744
numeric__missingindicator_EXT_SOURCE_1,99,0.0031935483870967744
numeric__COMMONAREA_AVG,97,0.0031290322580645163
numeric__COMMONAREA_MODE,97,0.0031290322580645163
numeric__LIVINGAREA_AVG,96,0.003096774193548387
numeric__APARTMENTS_MEDI,95,0.003064516129032258
numeric__LANDAREA_MODE,94,0.003032258064516129
numeric__NONLIVINGAREA_MODE,93,0.003
numeric__BB_STATUS_DPD_RATIO_MEAN,92,0.002967741935483871
numeric__AMT_REQ_CREDIT_BUREAU_QRT,89,0.002870967741935484
categorical__ORGANIZATION_TYPE_Self-employed,87,0.0028064516129032257
numeric__BASEMENTAREA_MEDI,87,0.0028064516129032257
numeric__LANDAREA_MEDI,83,0.0026774193548387095
numeric__FLAG_DOCUMENT_3,82,0.0026451612903225807
numeric__DEF_60_CNT_SOCIAL_CIRCLE,81,0.0026129032258064514
categorical__FLAG_OWN_CAR_N,80,0.0025806451612903226
numeric__ENTRANCES_AVG,80,0.0025806451612903226
numeric__POS_DPD_MEAN,78,0.0025161290322580645
numeric__NONLIVINGAREA_MEDI,77,0.0024838709677419356
numeric__CNT_FAM_MEMBERS,77,0.0024838709677419356
numeric__POS_DPD_MAX,76,0.0024516129032258064
numeric__YEARS_BUILD_AVG,75,0.0024193548387096775
numeric__REG_CITY_NOT_LIVE_CITY,75,0.0024193548387096775
numeric__CC_DPD_MEAN,74,0.0023870967741935483
numeric__YEARS_BEGINEXPLUATATION_MEDI,73,0.0023548387096774194
numeric__LIVINGAPARTMENTS_MODE,72,0.00232258064516129
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,70,0.0022580645161290325
categorical__CODE_GENDER_M,69,0.002225806451612903
numeric__YEARS_BUILD_MODE,69,0.002225806451612903
numeric__LIVINGAPARTMENTS_AVG,66,0.0021290322580645163
numeric__FLAG_PHONE,63,0.002032258064516129
numeric__YEARS_BUILD_MEDI,62,0.002
categorical__ORGANIZATION_TYPE_Construction,54,0.0017419354838709678
numeric__LIVINGAPARTMENTS_MEDI,53,0.0017096774193548388
categorical__NAME_INCOME_TYPE_Working,50,0.0016129032258064516
categorical__OCCUPATION_TYPE_Core staff,47,0.0015161290322580644
numeric__CNT_CHILDREN,47,0.0015161290322580644
numeric__FLOORSMAX_AVG,46,0.0014838709677419354
numeric__CC_DPD_MAX,46,0.0014838709677419354
numeric__NONLIVINGAPARTMENTS_AVG,45,0.0014516129032258066
numeric__missingindicator_OWN_CAR_AGE,44,0.0014193548387096775
numeric__REGION_RATING_CLIENT,43,0.0013870967741935485
numeric__FLAG_DOCUMENT_18,42,0.0013548387096774194
numeric__COMMONAREA_MEDI,42,0.0013548387096774194
numeric__NONLIVINGAPARTMENTS_MODE,41,0.0013225806451612903
categorical__NAME_INCOME_TYPE_State servant,41,0.0013225806451612903
categorical__OCCUPATION_TYPE_Accountants,40,0.0012903225806451613
