feature,importance,importance_pct
numeric__EXT_SOURCE_3,0.390671177781814,0.056565838409423405
numeric__EXT_SOURCE_2,0.3706904087310973,0.05367279429023305
numeric__EXT_SOURCE_1,0.1908486099996347,0.027633243115599358
numeric__INS_PAYMENT_PERC_MIN,0.1475007218150802,0.0213568404069084
numeric__CREDIT_GOODS_RATIO,0.1416469131323724,0.020509259078012262
categorical__CODE_GENDER_F,0.1383880133796007,0.020037398323260736
categorical__CODE_GENDER_M,0.1383858507820181,0.02003708519766469
numeric__missingindicator_EXT_SOURCE_1,0.1264731476827451,0.018312227883237327
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.1138660149421405,0.01648682310815185
categorical__NAME_EDUCATION_TYPE_Higher education,0.1136782089187799,0.016459630405505982
numeric__PREV_REFUSED_RATIO,0.089225092752123,0.012919028752873998
numeric__CC_UTILIZATION_MEAN,0.0826323430318948,0.011964455094623546
numeric__missingindicator_OWN_CAR_AGE,0.0762173521875896,0.011035619398176141
numeric__DAYS_EMPLOYED,0.0761636250968072,0.011027840175883211
numeric__EMPLOYED_BIRTH_RATIO,0.0759685770220902,0.010999598886266825
numeric__CC_UTILIZATION_MAX,0.0758167713467286,0.010977618725480729
numeric__FLAG_DOCUMENT_3,0.0708239842040945,0.010254705936453286
numeric__ANNUITY_INCOME_RATIO,0.0697469775925017,0.010098764609265686
numeric__POS_PREV_CNT,0.066234194372655,0.009590143704315907
numeric__AMT_ANNUITY,0.0660212184168192,0.009559306611159194
numeric__FLAG_WORK_PHONE,0.0640440941967765,0.009273035968463477
categorical__NAME_INCOME_TYPE_Working,0.060987524376039,0.008830470853860834
categorical__ORGANIZATION_TYPE_Self-employed,0.0589101469750689,0.008529684409757477
categorical__OCCUPATION_TYPE_Laborers,0.0587361356398136,0.008504489059725905
categorical__OCCUPATION_TYPE_Core staff,0.058233056882152,0.008431647567106267
categorical__NAME_FAMILY_STATUS_Married,0.0566070592130123,0.00819621703975361
categorical__OCCUPATION_TYPE_Drivers,0.0554339662736312,0.008026363235782112
numeric__INS_ROW_CNT,0.0553017421987149,0.0080072183229221
numeric__BUREAU_APP_CNT,0.0530679533834831,0.007683784846512054
numeric__REGION_RATING_CLIENT_W_CITY,0.0521352960918321,0.007548744063748282
numeric__INS_PREV_CNT,0.0516265972900131,0.007475088836899601
numeric__BUREAU_AMT_DEBT_SUM,0.0502755464016986,0.007279468247059244
numeric__PREV_AMT_CREDIT_MAX,0.0494213524203951,0.007155788279186873
categorical__NAME_INCOME_TYPE_State servant,0.0480138135274263,0.00695198871038654
numeric__INS_PAYMENT_DIFF_MEAN,0.047777659677101,0.006917795656747132
numeric__POS_ROW_CNT,0.0468610301697991,0.006785075559795659
numeric__BUREAU_CLOSED_RATIO,0.04593187723319,0.0066505421776089
numeric__FLAG_DOCUMENT_18,0.0455628198534083,0.0065971058319151425
numeric__DEF_30_CNT_SOCIAL_CIRCLE,0.045561371668464,0.006596896147146455
numeric__BUREAU_AMT_CREDIT_SUM_MAX,0.0450835190101975,0.006527707177526299
numeric__FLAG_DOCUMENT_13,0.0446783593086217,0.006469043525041174
numeric__REG_CITY_NOT_LIVE_CITY,0.0423615135496052,0.006133584114986415
numeric__BB_MONTHS_SIZE_SUM,0.0417900626873221,0.006050842927580763
numeric__BUREAU_AMT_CREDIT_SUM_MEAN,0.0411858925003107,0.005963364262365884
numeric__FLAG_DOCUMENT_16,0.0411624045802814,0.005959963412842009
categorical__ORGANIZATION_TYPE_infrequent_sklearn,0.0402027091938755,0.005821007745679833
numeric__PREV_APP_CNT,0.0378981088742398,0.0054873213703014465
numeric__OWN_CAR_AGE,0.0373592450158597,0.005409298501783538
numeric__DAYS_LAST_PHONE_CHANGE,0.0363302081510951,0.005260302782825937
categorical__FLAG_OWN_CAR_Y,0.0362971805898655,0.005255520675012971
categorical__FLAG_OWN_CAR_N,0.0362746073640339,0.005252252265369804
numeric__FLAG_PHONE,0.0348722013821265,0.005049195898101045
numeric__PREV_AMT_APPLICATION_MIN,0.0347170498276517,0.005026731282694238
categorical__ORGANIZATION_TYPE_Construction,0.0336647507517103,0.004874367394920233
numeric__FLAG_DOCUMENT_15,0.033634586103988,0.004869999812447359
numeric__DAYS_ID_PUBLISH,0.0323776590672097,0.004688007549648426
