feature,importance,importance_pct
numeric__EXT_SOURCE_2,0.0824317624941908,0.08243176249419205
numeric__EXT_SOURCE_3,0.0735000903221935,0.07350009032219461
numeric__EXT_SOURCE_1,0.0314040350120447,0.031404035012045174
numeric__DAYS_EMPLOYED,0.026209714157221,0.026209714157221394
numeric__BUREAU_DAYS_CREDIT_MEAN,0.0240776884412281,0.024077688441228463
numeric__CREDIT_GOODS_RATIO,0.0201815326960973,0.020181532696097605
numeric__DAYS_BIRTH,0.0199029450940245,0.0199029450940248
numeric__EMPLOYED_BIRTH_RATIO,0.0195586458324143,0.019558645832414595
numeric__DAYS_LAST_PHONE_CHANGE,0.015428644000754,0.015428644000754232
numeric__BUREAU_CLOSED_RATIO,0.0148481960446157,0.014848196044615923
numeric__PREV_REFUSED_RATIO,0.014128389905014,0.014128389905014213
numeric__BUREAU_ACTIVE_RATIO,0.0140392139227988,0.01403921392279901
numeric__INS_DPD_MEAN,0.0139092554154624,0.01390925541546261
numeric__PREV_APPROVED_RATIO,0.0138971159692844,0.01389711596928461
numeric__BUREAU_AMT_DEBT_MEAN,0.0133194269297681,0.013319426929768301
numeric__BUREAU_DAYS_CREDIT_MIN,0.0131422935586449,0.013142293558645098
numeric__DAYS_ID_PUBLISH,0.0122147773664772,0.012214777366477384
numeric__BUREAU_AMT_DEBT_SUM,0.0121396084900337,0.012139608490033885
numeric__AMT_GOODS_PRICE,0.0119694817619013,0.01196948176190148
numeric__AMT_CREDIT,0.0113345939613407,0.011334593961340872
numeric__INS_PAYMENT_PERC_MEAN,0.0111900071462862,0.011190007146286369
numeric__AMT_ANNUITY,0.0110257642265778,0.011025764226577967
numeric__POS_ROW_CNT,0.0107642886424488,0.010764288642448962
numeric__DAYS_REGISTRATION,0.0107345183494368,0.010734518349436962
numeric__INS_PAYMENT_DIFF_MEAN,0.0105204695333172,0.01052046953331736
numeric__ANNUITY_INCOME_RATIO,0.0104781950614875,0.010478195061487658
numeric__CC_UTILIZATION_MEAN,0.0104124632175024,0.010412463217502558
numeric__CREDIT_INCOME_RATIO,0.0103411610292802,0.010341161029280356
numeric__INS_ROW_CNT,0.0098525491770783,0.00985254917707845
numeric__BUREAU_AMT_CREDIT_SUM_MEAN,0.0098227925739902,0.009822792573990347
numeric__INS_DBD_MEAN,0.0095972853122371,0.009597285312237245
numeric__PREV_AMT_APPLICATION_MEAN,0.0094916945609545,0.009491694560954644
numeric__BUREAU_AMT_CREDIT_SUM_SUM,0.0094716383160505,0.009471638316050641
numeric__PREV_AMT_CREDIT_MAX,0.009448983650743,0.009448983650743143
numeric__PREV_AMT_CREDIT_MEAN,0.009169934837633,0.00916993483763314
numeric__INS_PAYMENT_DIFF_SUM,0.0091448472521291,0.009144847252129239
numeric__BUREAU_AMT_CREDIT_SUM_MAX,0.0090635654527465,0.009063565452746636
numeric__PREV_AMT_APPLICATION_MAX,0.0090338729907995,0.009033872990799637
numeric__REGION_POPULATION_RELATIVE,0.0090269697834951,0.009026969783495237
numeric__INS_DPD_MAX,0.0080971508831337,0.008097150883133822
categorical__NAME_EDUCATION_TYPE_Higher education,0.007748197339882,0.007748197339882117
numeric__CC_UTILIZATION_MAX,0.0074929511807868,0.007492951180786913
numeric__INS_PAYMENT_PERC_MIN,0.0071427256181973,0.007142725618197407
numeric__CC_AMT_BALANCE_MEAN,0.0067692495351293,0.006769249535129402
numeric__AMT_INCOME_TOTAL,0.0063382884046567,0.006338288404656795
numeric__PREV_AMT_APPLICATION_MIN,0.006290852689222,0.006290852689222096
numeric__POS_PREV_CNT,0.0056621096859988,0.0056621096859988855
numeric__BUREAU_APP_CNT,0.0054111400599171,0.0054111400599171815
numeric__HOUR_APPR_PROCESS_START,0.0050708997655618,0.005070899765561876
categorical__CODE_GENDER_F,0.0049977957414295,0.004997795741429575
numeric__BB_MONTHS_MIN_MEAN,0.0047513738473413,0.004751373847341372
numeric__REGION_RATING_CLIENT_W_CITY,0.0047511403329176,0.004751140332917672
numeric__CC_AMT_BALANCE_MAX,0.0047131512269769,0.004713151226976971
numeric__OWN_CAR_AGE,0.004704251068415,0.004704251068415071
categorical__CODE_GENDER_M,0.0046140250939765,0.0046140250939765695
numeric__PREV_APP_CNT,0.0045974837409519,0.004597483740951969
numeric__TOTALAREA_MODE,0.0045922926127487,0.00459229261274877
numeric__CC_ROW_CNT,0.0045701438578939,0.004570143857893969
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.00438661456734,0.004386614567340066
numeric__LIVINGAREA_AVG,0.004306725751304,0.004306725751304065
numeric__LIVINGAREA_MEDI,0.0042137292810433,0.004213729281043363
numeric__LIVINGAREA_MODE,0.0041646318004558,0.004164631800455862
numeric__REGION_RATING_CLIENT,0.004138023082909,0.004138023082909063
numeric__INS_PREV_CNT,0.004091550487314,0.004091550487314062
numeric__YEARS_BEGINEXPLUATATION_AVG,0.0038699989927498,0.0038699989927498584
numeric__YEARS_BEGINEXPLUATATION_MODE,0.0037134214289617,0.003713421428961756
numeric__YEARS_BEGINEXPLUATATION_MEDI,0.003707029592447,0.003707029592447056
numeric__LANDAREA_MEDI,0.0036033162298753,0.003603316229875354
numeric__POS_DPD_DEF_MEAN,0.0035761682370915,0.003576168237091554
numeric__APARTMENTS_AVG,0.0035395389629771,0.0035395389629771534
numeric__APARTMENTS_MEDI,0.0035307261269277,0.0035307261269277536
numeric__LANDAREA_AVG,0.0035279744807713,0.0035279744807713534
numeric__BASEMENTAREA_MEDI,0.0034409457886065,0.003440945788606552
numeric__APARTMENTS_MODE,0.003420815480144,0.0034208154801440515
numeric__LANDAREA_MODE,0.0034000921011341,0.0034000921011341514
numeric__BASEMENTAREA_MODE,0.003390686752596,0.003390686752596051
categorical__NAME_INCOME_TYPE_Working,0.0033885135968446,0.003388513596844651
numeric__BASEMENTAREA_AVG,0.0033765559268559,0.003376555926855951
numeric__BB_STATUS_0_RATIO_MEAN,0.0033122954018301,0.0033122954018301497
numeric__BB_MONTHS_SIZE_SUM,0.0032582148319909,0.003258214831990949
numeric__BB_STATUS_C_RATIO_MEAN,0.0031541236584733,0.003154123658473348
numeric__BB_MONTHS_MIN_MIN,0.00301122973412,0.0030112297341200454
numeric__NONLIVINGAREA_AVG,0.0029629554050878,0.0029629554050878445
numeric__NONLIVINGAREA_MEDI,0.0029188712143096,0.002918871214309644
numeric__AMT_REQ_CREDIT_BUREAU_YEAR,0.0028521400847131,0.0028521400847131427
numeric__OBS_30_CNT_SOCIAL_CIRCLE,0.0028310712308163,0.002831071230816343
numeric__OBS_60_CNT_SOCIAL_CIRCLE,0.0027458297649991,0.0027458297649991417
numeric__NONLIVINGAREA_MODE,0.0027075831288728,0.0027075831288728407
numeric__POS_DPD_MEAN,0.0026408211698925,0.00264082116989254
numeric__COMMONAREA_MEDI,0.0025346754625653,0.002534675462565338
numeric__COMMONAREA_AVG,0.0025097110738839,0.0025097110738839376
numeric__FLAG_DOCUMENT_3,0.0024376349148075,0.0024376349148075367
numeric__COMMONAREA_MODE,0.0024359861947107,0.002435986194710737
numeric__YEARS_BUILD_MODE,0.002398259052995,0.002398259052995036
numeric__YEARS_BUILD_AVG,0.0023743582172633,0.002374358217263336
numeric__POS_DPD_DEF_MAX,0.0022486723564873,0.0022486723564873337
numeric__LIVINGAPARTMENTS_MEDI,0.0022193242913747,0.0022193242913747333
numeric__LIVINGAPARTMENTS_MODE,0.0022190533902973,0.0022190533902973334
numeric__LIVINGAPARTMENTS_AVG,0.0021943207331465,0.002194320733146533
numeric__YEARS_BUILD_MEDI,0.0021919780798402,0.0021919780798402328
numeric__POS_DPD_MAX,0.0021437224939754,0.0021437224939754324
numeric__FLOORSMAX_AVG,0.0019524951821454,0.0019524951821454294
numeric__FLOORSMAX_MEDI,0.0019315078209881,0.001931507820988129
numeric__BB_STATUS_DPD_RATIO_MEAN,0.001922728280679,0.0019227282806790291
numeric__missingindicator_EMPLOYED_BIRTH_RATIO,0.0018575513388688,0.001857551338868828
numeric__REG_CITY_NOT_WORK_CITY,0.001842094098278,0.0018420940982780277
numeric__ENTRANCES_AVG,0.0018401769106307,0.0018401769106307277
numeric__ELEVATORS_AVG,0.0017519629271254,0.0017519629271254265
numeric__ENTRANCES_MEDI,0.0016975347536629,0.0016975347536629256
numeric__CNT_FAM_MEMBERS,0.0016763873871617,0.0016763873871617253
numeric__DAYS_EMPLOYED_ANOMALY,0.0016136208068233,0.0016136208068233244
categorical__NAME_INCOME_TYPE_Pensioner,0.0016015624493295,0.0016015624493295243
numeric__missingindicator_DAYS_EMPLOYED,0.0015911621007385,0.001591162100738524
numeric__ENTRANCES_MODE,0.0015702463245235,0.0015702463245235237
numeric__missingindicator_EXT_SOURCE_1,0.0015472037210628,0.0015472037210628234
numeric__ELEVATORS_MEDI,0.0015306308238835,0.0015306308238835233
numeric__FLOORSMAX_MODE,0.0015131540307308,0.0015131540307308227
categorical__FLAG_OWN_CAR_Y,0.0015033298828981,0.0015033298828981227
categorical__NAME_FAMILY_STATUS_Married,0.0014678831545833,0.0014678831545833222
categorical__ORGANIZATION_TYPE_XNA,0.0014181186425394,0.0014181186425394215
categorical__FLAG_OWN_CAR_N,0.0013903447567497,0.001390344756749721
numeric__missingindicator_OWN_CAR_AGE,0.0013702905912009,0.0013702905912009206
numeric__ELEVATORS_MODE,0.0012203762616716,0.0012203762616716184
numeric__CNT_CHILDREN,0.0012001258907981,0.0012001258907981182
categorical__OCCUPATION_TYPE_Laborers,0.0011803596683277,0.0011803596683277178
numeric__FLAG_EMP_PHONE,0.0011750260219208,0.0011750260219208178
numeric__DEF_30_CNT_SOCIAL_CIRCLE,0.0011555933510126,0.0011555933510126173
numeric__FLAG_PHONE,0.001102574950425,0.0011025749504250167
numeric__FLOORSMIN_AVG,0.0010517512579543,0.0010517512579543158
categorical__OCCUPATION_TYPE_MISSING,0.0009725240128092,0.0009725240128092146
numeric__REG_CITY_NOT_LIVE_CITY,0.0009536448461906,0.0009536448461906145
categorical__NAME_CONTRACT_TYPE_Revolving loans,0.000919851389392,0.0009198513893920139
categorical__NAME_CONTRACT_TYPE_Cash loans,0.0009049932050818,0.0009049932050818137
numeric__FLOORSMIN_MEDI,0.0009001048818569,0.0009001048818569135
