feature,importance,importance_pct
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_MON,0.03209897,0.03209897061630024
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,0.020875467,0.020875467400808978
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_DAY,0.020233558,0.02023355838848432
numeric__EXT_SOURCE_3,0.019664187,0.0196641873775524
numeric__EXT_SOURCE_2,0.01768673,0.017686730339585226
numeric__missingindicator_BUREAU_AMT_DEBT_MEAN,0.013247904,0.013247904254359762
categorical__NAME_EDUCATION_TYPE_Higher education,0.009778937,0.009778937187755594
numeric__missingindicator_ELEVATORS_MODE,0.009503088,0.009503088182459294
categorical__NAME_INCOME_TYPE_Pensioner,0.00932761,0.009327610179090116
categorical__CODE_GENDER_F,0.008780176,0.008780176168579384
categorical__CODE_GENDER_M,0.008744734,0.008744734167898897
numeric__missingindicator_BUREAU_AMT_DEBT_SUM,0.008687368,0.00868736816679747
numeric__missingindicator_BUREAU_ACTIVE_RATIO,0.008251706,0.008251706158432758
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.008097728,0.00809772815547638
numeric__EXT_SOURCE_1,0.0071430486,0.0071430487371465365
numeric__CC_UTILIZATION_MEAN,0.007112666,0.007112666136563191
numeric__CREDIT_GOODS_RATIO,0.006268812,0.006268812120361194
numeric__FLAG_DOCUMENT_3,0.0059066303,0.0059066304134073044
categorical__FLAG_OWN_CAR_N,0.005796091,0.005796091111284949
numeric__PREV_REFUSED_RATIO,0.0057779704,0.0057779705109370335
categorical__FLAG_OWN_CAR_Y,0.005541408,0.005541408106395036
numeric__POS_PREV_CNT,0.0055373176,0.0055373177063165
categorical__NAME_INCOME_TYPE_Working,0.005316397,0.005316397102074824
numeric__REGION_RATING_CLIENT_W_CITY,0.0052436036,0.005243603700677191
numeric__DAYS_EMPLOYED,0.0050101117,0.0050101117961941465
numeric__BUREAU_CLOSED_RATIO,0.0049303584,0.004930358494662884
numeric__INS_DPD_MEAN,0.004911269,0.004911269094296367
