model,split,n,bad_rate,auc,gini,ks
logistic_raw,valid,61502,0.08072908198107379,0.7602639492775017,0.5205278985550035,0.39701175825450674
logistic_raw,test,61503,0.08072776937710356,0.7658187773575238,0.5316375547150476,0.39868317317048696
lightgbm,valid,61502,0.08072908198107379,0.774699123590802,0.5493982471816039,0.4144613725229195
lightgbm,test,61503,0.08072776937710356,0.7809446414262746,0.5618892828525492,0.42458546982651246
xgboost,valid,61502,0.08072908198107379,0.777196807957986,0.5543936159159719,0.4198663082634742
xgboost,test,61503,0.08072776937710356,0.7824252023886331,0.5648504047772662,0.4255845786257811
random_forest,valid,61502,0.08072908198107379,0.7506980331980906,0.5013960663961812,0.37354894238978437
random_forest,test,61503,0.08072776937710356,0.7554047599887102,0.5108095199774203,0.38215114845625847
extra_trees,valid,61502,0.08072908198107379,0.7351861708935149,0.4703723417870298,0.34900320069518953
extra_trees,test,61503,0.08072776937710356,0.7387891760773182,0.4775783521546364,0.3552402100707286
hist_gradient_boosting,valid,61502,0.08072908198107379,0.7725197987696781,0.5450395975393563,0.4108525424295484
hist_gradient_boosting,test,61503,0.08072776937710356,0.7789329152808561,0.5578658305617121,0.4193294801913297
catboost,valid,61502,0.08072908198107379,0.7753446205437461,0.5506892410874922,0.4168457622801747
catboost,test,61503,0.08072776937710356,0.7826429350851982,0.5652858701703964,0.4274803599728504
ensemble_lightgbm_catboost,valid,61502,0.08072908198107379,0.7768003952744827,0.5536007905489655,0.42067427757786835
ensemble_lightgbm_catboost,test,61503,0.08072776937710356,0.783631983721916,0.567263967443832,0.4272572445193399
ensemble_lightgbm_xgboost_catboost,valid,61502,0.08072908198107379,0.7778021615161659,0.5556043230323318,0.421545498076895
ensemble_lightgbm_xgboost_catboost,test,61503,0.08072776937710356,0.7841716914934307,0.5683433829868614,0.4268412261613957
ensemble_lightgbm_catboost_extra_trees,valid,61502,0.08072908198107379,0.7677928352171622,0.5355856704343245,0.406232017564414
ensemble_lightgbm_catboost_extra_trees,test,61503,0.08072776937710356,0.7733605791319241,0.5467211582638483,0.41101716045000986
ensemble_boosting,valid,61502,0.08072908198107379,0.7772778090174387,0.5545556180348774,0.41983950087601374
ensemble_boosting,test,61503,0.08072776937710356,0.7836856545466289,0.5673713090932577,0.4262481325556087
ensemble_all_trees,valid,61502,0.08072908198107379,0.7707212813482338,0.5414425626964676,0.4117208737868833
ensemble_all_trees,test,61503,0.08072776937710356,0.775994884706583,0.5519897694131659,0.4120791310156985
logistic_woe,valid,61502,0.08072908198107379,0.7406017904021751,0.4812035808043502,0.3618939132464136
logistic_woe,test,61503,0.08072776937710356,0.7456140523371406,0.49122810467428124,0.3667211924627011
