feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv,coefficient,log_odds_contribution,points
EXT_SOURCE_3,"(-inf, 0.16]",7938,1785,6153,0.03627932753390777,0.11984427962546565,-1.1949451406656255,0.09985553343176287,0.32572155449752055,-0.7111154327470768,0.8497439308134528,-29
EXT_SOURCE_3,"(0.16, 0.316]",19243,2760,16483,0.09718213949868673,0.18528710944054771,-0.6453196204125246,0.05685586575933862,0.32572155449752055,-0.7111154327470768,0.4588967411298317,-3
EXT_SOURCE_3,"(0.316, 0.414]",18602,1849,16753,0.09877398453552025,0.12414001409537873,-0.22857581886703146,0.005798060978049977,0.32572155449752055,-0.7111154327470768,0.1625437923491465,17
EXT_SOURCE_3,"(0.414, 0.502]",19776,1455,18321,0.10801847719387199,0.09769439876497633,0.10045807117638897,0.0010371370056406217,0.32572155449752055,-0.7111154327470768,-0.07143728475753448,33
EXT_SOURCE_3,"(0.502, 0.637]",36841,1970,34871,0.20559268222940846,0.13226163707755814,0.4411148807859121,0.03234741524006479,0.32572155449752055,-0.7111154327470768,-0.31368359934124906,50
EXT_SOURCE_3,"(0.637, inf]",45546,1658,43888,0.25875441073728955,0.11131993153673189,0.8434710691176681,0.12435671779610097,0.32572155449752055,-0.7111154327470768,-0.5998052943252501,71
EXT_SOURCE_3,MISSING,36560,3418,33142,0.19539897827131525,0.22945262945934156,-0.1606530899243577,0.005470824286562701,0.32572155449752055,-0.7111154327470768,0.11424289156371467,21
EXT_SOURCE_2,"(-inf, 0.137]",9514,2078,7436,0.04384353932004634,0.13951068899553645,-1.1575138499035533,0.11073605073017603,0.31224672556338007,-0.7677896698539044,0.8887271766687711,-32
EXT_SOURCE_2,"(0.137, 0.354]",29630,3795,25835,0.15231893499671315,0.2547571903211733,-0.5143343175762389,0.05268751014600673,0.31224672556338007,-0.7677896698539044,0.3949005758863937,2
EXT_SOURCE_2,"(0.354, 0.488]",27608,2552,25056,0.1477261672793305,0.1713259724133302,-0.14820767439078122,0.0034976722349857148,0.31224672556338007,-0.7677896698539044,0.11379232139031288,21
EXT_SOURCE_2,"(0.488, 0.616]",47214,3358,43856,0.258565747621813,0.22542537839379803,0.13716081647570266,0.004545560101620785,0.31224672556338007,-0.7677896698539044,-0.10531065799877172,35
EXT_SOURCE_2,"(0.616, 0.705]",44296,2280,42016,0.24771761848191046,0.15306910091619963,0.4814000028649311,0.04556379662729468,0.31224672556338007,-0.7677896698539044,-0.3696139492673341,53
EXT_SOURCE_2,"(0.705, inf]",25831,798,25033,0.1475905656650817,0.053595999597274895,1.0129675609529862,0.09521344633254057,0.31224672556338007,-0.7677896698539044,-0.7777460291968081,81
EXT_SOURCE_2,MISSING,413,34,379,0.0022374266351048995,0.0023156693626875187,-0.03437240544514316,2.6893907556036737e-06,0.31224672556338007,-0.7677896698539044,0.026390777828811014,27
EXT_SOURCE_1,"(-inf, 0.178]",5445,1030,4415,0.026032562074586783,0.0691680370507098,-0.9771907216651704,0.04215158592128755,0.14921025972156252,-0.599587157313238,0.5859110069560911,-11
EXT_SOURCE_1,"(0.178, 0.271]",8085,1012,7073,0.041703392103859045,0.06795986173104675,-0.4883347913252188,0.012821947616329652,0.14921025972156252,-0.599587157313238,0.2927992693478412,8
EXT_SOURCE_1,"(0.271, 0.405]",14940,1439,13501,0.07960109542521424,0.09662046514749807,-0.19376271893049474,0.003297719351873055,0.14921025972156252,-0.599587157313238,0.11617763783681927,20
EXT_SOURCE_1,"(0.405, 0.53]",14784,1012,13772,0.0811988361844064,0.06795986173104675,0.17798365212266376,0.0023563210235675977,0.14921025972156252,-0.599587157313238,-0.10671671202445622,36
EXT_SOURCE_1,"(0.53, 0.642]",13434,730,12704,0.07490220470537601,0.049031781722992246,0.42371463096077533,0.010961676726779897,0.14921025972156252,-0.599587157313238,-0.25405385108979894,46
EXT_SOURCE_1,"(0.642, inf]",23775,800,22975,0.13545716905099506,0.05373024129945968,0.9246794990924353,0.07557121461565339,0.14921025972156252,-0.599587157313238,-0.5544259522866621,66
EXT_SOURCE_1,MISSING,104043,8872,95171,0.5611047404555625,0.5955297513172467,-0.05954375655267611,0.0020497944660713583,0.14921025972156252,-0.599587157313238,0.03570167172717056,26
BUREAU_DAYS_CREDIT_MEAN,"(-inf, -1190.275]",63620,3395,60225,0.3550728269104351,0.22790884988421653,0.4433771468513322,0.05638160131615316,0.12203833229108933,-0.27101166488875583,-0.12016037874180593,36
BUREAU_DAYS_CREDIT_MEAN,"(-1190.275, -898.683]",31576,2203,29373,0.17317800070159095,0.14790079538208545,0.1577782237873157,0.003988192557618866,0.12203833229108933,-0.27101166488875583,-0.04275973911179113,31
BUREAU_DAYS_CREDIT_MEAN,"(-898.683, -716.955]",18364,1509,16855,0.0993753482161018,0.1013189247239655,-0.019369135374340513,3.7645396491199955e-05,0.12203833229108933,-0.27101166488875583,0.005249261625255717,28
BUREAU_DAYS_CREDIT_MEAN,"(-716.955, -540.191]",15522,1468,14054,0.08286142988954365,0.09856696982917744,-0.17356652070298223,0.002725955923083963,0.12203833229108933,-0.27101166488875583,0.04703855174466392,25
BUREAU_DAYS_CREDIT_MEAN,"(-540.191, -336.417]",15439,1702,13737,0.08099248590185391,0.11427324898479713,-0.3442361175553042,0.011456440672950268,0.12203833229108933,-0.27101166488875583,0.09329200333350446,22
BUREAU_DAYS_CREDIT_MEAN,"(-336.417, inf]",13607,1899,11708,0.06903006523616789,0.12749605664999833,-0.6135432981291269,0.035871417200430744,0.12203833229108933,-0.27101166488875583,0.16627739070731296,17
BUREAU_DAYS_CREDIT_MEAN,MISSING,26378,2719,23659,0.13948984314430665,0.18253515454575964,-0.2689509925108906,0.011577079224361136,0.12203833229108933,-0.27101166488875583,0.07288885625385977,23
DAYS_EMPLOYED,"(-inf, 1297.5]",62576,6908,55668,0.32820602012210043,0.4637043997717891,-0.34560575842003555,0.04682902026351657,0.11592567319102373,-0.28367274284787886,0.09803893343503288,22
DAYS_EMPLOYED,"(1297.5, 1795.5]",18208,1666,16542,0.09752998711784665,0.11185689834547102,-0.13706047010509356,0.00196365318801214,0.11592567319102373,-0.28367274284787886,0.03888031949073159,26
DAYS_EMPLOYED,"(1795.5, 3070.5]",30614,2357,28257,0.16659837454934573,0.15823740645031378,0.05148949531375999,0.0004305020277536022,0.11592567319102373,-0.28367274284787886,-0.014606166363507303,29
DAYS_EMPLOYED,"(3070.5, 3936.5]",12750,833,11917,0.07026227120912422,0.05594522938550861,0.22786180664461822,0.003262307015735612,0.11592567319102373,-0.28367274284787886,-0.06463818368115187,33
DAYS_EMPLOYED,"(3936.5, 6619.5]",17504,948,16556,0.09761252723086765,0.06366412726113367,0.427384585325543,0.014509022843530433,0.11592567319102373,-0.28367274284787886,-0.1212373575702001,37
DAYS_EMPLOYED,"(6619.5, inf]",9629,386,9243,0.054497109622113675,0.02594220894720945,0.7422763345215099,0.021195627005593697,0.11592567319102373,-0.28367274284787886,-0.21056356376478638,43
DAYS_EMPLOYED,MISSING,33225,1797,31428,0.1852937101486017,0.12064972983857436,0.42905063571061436,0.02773554084688166,0.11592567319102373,-0.28367274284787886,-0.12170997065265605,37
EMPLOYED_BIRTH_RATIO,"(-inf, 0.0924]",61232,6525,54707,0.32254023093544476,0.437997113803403,-0.30598444532258107,0.03532801026302641,0.09400295602943246,-0.3252643958375725,0.09952584574354406,22
EMPLOYED_BIRTH_RATIO,"(0.0924, 0.161]",33242,2952,30290,0.1785843781044663,0.19817431285028694,-0.10408581533193653,0.0020390343303181733,0.09400295602943246,-0.3252643958375725,0.033855409839203474,26
EMPLOYED_BIRTH_RATIO,"(0.161, 0.219]",18670,1419,17251,0.1017100542701243,0.09527804812565023,0.06532672104420616,0.0004201818711546779,0.09400295602943246,-0.3252643958375725,-0.021248456452493347,30
EMPLOYED_BIRTH_RATIO,"(0.219, 0.311]",18640,1229,17411,0.10265336984750714,0.08252508641809578,0.21825564653195553,0.004393111513464625,0.09400295602943246,-0.3252643958375725,-0.0709907910073553,33
EMPLOYED_BIRTH_RATIO,"(0.311, 0.402]",9412,532,8880,0.05235696240592638,0.03574185320669866,0.38176256488028765,0.006343026703663237,0.09400295602943246,-0.3252643958375725,-0.12417377001918883,37
EMPLOYED_BIRTH_RATIO,"(0.402, inf]",10085,441,9644,0.056861294287929395,0.029633855757291,0.6516973853767666,0.01774405050092367,0.09400295602943246,-0.3252643958375725,-0.21197395632349963,43
EMPLOYED_BIRTH_RATIO,MISSING,33225,1797,31428,0.1852937101486017,0.12064972983857436,0.42905063571061436,0.02773554084688166,0.09400295602943246,-0.3252643958375725,-0.13955489580813937,38
PREV_REFUSED_RATIO,"(-inf, 0.0889]",115660,8182,107478,0.633663395523378,0.5492163640634963,0.1430254219283383,0.012078072305145246,0.06851445119864898,-0.2806618379247137,-0.040141777788365085,31
PREV_REFUSED_RATIO,"(0.0889, 0.155]",8873,643,8230,0.048524742872808634,0.04319226767795416,0.11641233988744475,0.0006207659148247674,0.06851445119864898,-0.2806618379247137,-0.032672501269926706,31
PREV_REFUSED_RATIO,"(0.155, 0.208]",9933,836,9097,0.05363633415775184,0.05614659193878578,-0.04573926918407748,0.00011481735636813644,0.06851445119864898,-0.2806618379247137,0.012837267354536407,27
PREV_REFUSED_RATIO,"(0.208, 0.28]",9316,837,8479,0.04999277774011066,0.056213712789878176,-0.11728217715928002,0.000729604806603208,0.06851445119864898,-0.2806618379247137,0.03291663139733541,26
PREV_REFUSED_RATIO,"(0.28, 0.436]",16327,1748,14579,0.08595668412783106,0.11736080813504715,-0.3114095233251444,0.009779543287530886,0.06851445119864898,-0.2806618379247137,0.08740076916369403,22
PREV_REFUSED_RATIO,"(0.436, inf]",14614,2063,12551,0.07400015918450369,0.13850387622915059,-0.6268310681060444,0.04043293385190608,0.06851445119864898,-0.2806618379247137,0.1759275596429538,16
PREV_REFUSED_RATIO,MISSING,9783,586,9197,0.05422590639361611,0.03936637916568782,0.3202466406418855,0.004758713676270665,0.06851445119864898,-0.2806618379247137,-0.08988101075176691,34
CC_UTILIZATION_MEAN,"(-inf, 0.118]",20811,1118,19693,0.11610740826992975,0.07507467194684028,0.43603245186857675,0.017891604625833512,0.06692851797656195,-0.39109062531082517,-0.17052820425709397,40
CC_UTILIZATION_MEAN,"(0.118, 0.425]",12034,886,11148,0.065728460715328,0.05950263449340538,0.09951143493264897,0.0006195409009848321,0.06692851797656195,-0.39109062531082517,-0.03891798931338718,31
