path,bytes,rows,columns
parquet_files/test/test_applprev_1_0.parquet,29733,10,41
parquet_files/test/test_applprev_1_1.parquet,30309,10,41
parquet_files/test/test_applprev_1_2.parquet,30289,10,41
parquet_files/test/test_applprev_2.parquet,4687,10,6
parquet_files/test/test_base.parquet,3343,10,4
parquet_files/test/test_credit_bureau_a_1_0.parquet,59968,10,79
parquet_files/test/test_credit_bureau_a_1_1.parquet,60903,10,79
parquet_files/test/test_credit_bureau_a_1_2.parquet,60300,10,79
parquet_files/test/test_credit_bureau_a_1_3.parquet,61325,10,79
parquet_files/test/test_credit_bureau_a_1_4.parquet,60115,10,79
parquet_files/test/test_credit_bureau_a_2_0.parquet,14361,10,19
parquet_files/test/test_credit_bureau_a_2_1.parquet,14951,10,19
parquet_files/test/test_credit_bureau_a_2_10.parquet,14679,10,19
parquet_files/test/test_credit_bureau_a_2_11.parquet,14679,10,19
parquet_files/test/test_credit_bureau_a_2_2.parquet,14189,10,19
parquet_files/test/test_credit_bureau_a_2_3.parquet,14603,10,19
parquet_files/test/test_credit_bureau_a_2_4.parquet,14973,10,19
parquet_files/test/test_credit_bureau_a_2_5.parquet,14232,10,19
parquet_files/test/test_credit_bureau_a_2_6.parquet,14691,10,19
parquet_files/test/test_credit_bureau_a_2_7.parquet,14933,10,19
parquet_files/test/test_credit_bureau_a_2_8.parquet,14333,10,19
parquet_files/test/test_credit_bureau_a_2_9.parquet,14316,10,19
parquet_files/test/test_credit_bureau_b_1.parquet,34435,10,45
parquet_files/test/test_credit_bureau_b_2.parquet,4920,10,6
parquet_files/test/test_debitcard_1.parquet,4779,10,6
parquet_files/test/test_deposit_1.parquet,4225,10,5
parquet_files/test/test_other_1.parquet,6247,10,7
parquet_files/test/test_person_1.parquet,25868,10,37
parquet_files/test/test_person_2.parquet,8401,10,11
parquet_files/test/test_static_0_0.parquet,131324,10,168
parquet_files/test/test_static_0_1.parquet,131275,10,168
parquet_files/test/test_static_0_2.parquet,130884,10,168
parquet_files/test/test_static_cb_0.parquet,34849,10,53
parquet_files/test/test_tax_registry_a_1.parquet,4158,10,5
parquet_files/test/test_tax_registry_b_1.parquet,4214,10,5
parquet_files/test/test_tax_registry_c_1.parquet,3121,0,5
parquet_files/train/train_applprev_1_0.parquet,106951598,3887684,41
parquet_files/train/train_applprev_1_1.parquet,72860971,2638295,41
parquet_files/train/train_applprev_2.parquet,28484608,14075487,6
parquet_files/train/train_base.parquet,7048047,1526659,5
parquet_files/train/train_credit_bureau_a_1_0.parquet,64863053,4108212,79
parquet_files/train/train_credit_bureau_a_1_1.parquet,183293106,6009192,79
parquet_files/train/train_credit_bureau_a_1_2.parquet,123506425,3743810,79
parquet_files/train/train_credit_bureau_a_1_3.parquet,71774171,2079323,79
parquet_files/train/train_credit_bureau_a_2_0.parquet,5786632,5296031,19
parquet_files/train/train_credit_bureau_a_2_1.parquet,10006927,7861809,19
parquet_files/train/train_credit_bureau_a_2_10.parquet,7646586,4386062,19
parquet_files/train/train_credit_bureau_a_2_2.parquet,30669743,17893536,19
parquet_files/train/train_credit_bureau_a_2_3.parquet,47836939,26563901,19
parquet_files/train/train_credit_bureau_a_2_4.parquet,49233367,27025737,19
parquet_files/train/train_credit_bureau_a_2_5.parquet,60984109,33053760,19
parquet_files/train/train_credit_bureau_a_2_6.parquet,45183113,25511332,19
parquet_files/train/train_credit_bureau_a_2_7.parquet,14137608,8055986,19
parquet_files/train/train_credit_bureau_a_2_8.parquet,23832969,13927071,19
parquet_files/train/train_credit_bureau_a_2_9.parquet,32090419,18723227,19
parquet_files/train/train_credit_bureau_b_1.parquet,4506882,85791,45
parquet_files/train/train_credit_bureau_b_2.parquet,2067641,1286755,6
parquet_files/train/train_debitcard_1.parquet,1188384,157302,6
parquet_files/train/train_deposit_1.parquet,1598148,145086,5
parquet_files/train/train_other_1.parquet,805374,51109,7
parquet_files/train/train_person_1.parquet,43892239,2973991,37
parquet_files/train/train_person_2.parquet,7559249,1643410,11
parquet_files/train/train_static_0_0.parquet,113858592,1003757,168
parquet_files/train/train_static_0_1.parquet,74691173,522902,168
parquet_files/train/train_static_cb_0.parquet,30654579,1500476,53
parquet_files/train/train_tax_registry_a_1.parquet,21687764,3275770,5
parquet_files/train/train_tax_registry_b_1.parquet,9915038,1107933,5
parquet_files/train/train_tax_registry_c_1.parquet,29825347,3343800,5
