feature,gain,split
s0__avgdpdtolclosure24_3658938P,101516.0277724266,96
s0__numrejects9m_859L,53649.240966796875,188
s0__price_1097A,40233.64199209213,483
s0__pmtnum_254L,32262.10396671295,427
s0__mobilephncnt_593L,31786.400305747986,223
s0__maxdpdlast24m_143P,26885.233633995056,114
s0__pctinstlsallpaidlate1d_3546856L,24328.196835517883,132
scb0__pmtaverage_3A,22010.911967277527,201
s0__maxdbddpdtollast12m_3658940P,19650.586468219757,120
scb0__pmtssum_45A,18659.065338134766,280
scb0__days90_310L,16053.474040031433,132
s0__lastrejectcredamount_222A,16031.525599479675,295
scb0__days120_123L,15349.920028686523,117
scb0__pmtscount_423L,15060.515716552734,179
s0__numinstlswithdpd10_728L,14294.080545902252,216
s0__numinstpaidearly3d_3546850L,13829.877919197083,63
s0__interestrate_311L,12114.935420036316,184
s0__numinstlsallpaid_934L,11824.302205085754,83
s0__numinsttopaygr_769L,10887.436071395874,152
s0__numinstlallpaidearly3d_817L,10726.623496055603,78
s0__pctinstlsallpaidearl3d_427L,10703.669569015503,113
scb0__days30_165L,10398.627744674683,108
MONTH,10030.303390979767,222
s0__homephncnt_628L,9948.450778007507,102
scb0__pmtaverage_4527227A,9331.961203575134,153
cbb2__max_overdue,9167.242094993591,111
s0__monthsannuity_845L,8991.481525421143,136
scb0__days180_256L,8816.86867237091,139
s0__maxdpdlast3m_392P,8737.804641723633,85
s0__maxdpdlast12m_727P,8712.688623428345,44
s0__cntpmts24_3658933L,8255.239300727844,142
s0__eir_270L,8222.60814332962,163
s0__isbidproduct_1095L,8211.018359184265,128
s0__disbursedcredamount_1113A,7913.186617851257,147
s0__annuity_780A,7594.430281639099,279
s0__numinstmatpaidtearly2d_4499204L,7469.255476951599,80
s0__numinstunpaidmax_3546851L,7357.239478588104,96
s0__numincomingpmts_3546848L,7340.556480884552,161
s0__totalsettled_863A,6607.407029628754,155
scb0__thirdquarter_1082L,6529.701389312744,204
s0__maxdbddpdtollast6m_4187119P,6312.550504207611,77
s0__inittransactionamount_650A,6136.173920631409,158
s0__totaldebt_9A,5581.824597835541,110
s0__credamount_770A,5414.624586105347,129
scb0__numberofqueries_373L,4970.73823261261,124
scb0__days360_512L,4956.850716114044,177
s0__applicationscnt_867L,4874.663799762726,158
decision_weekday,4809.969499588013,110
s0__maxdebt4_972A,4741.708741188049,127
s0__avgdbddpdlast3m_4187120P,4422.723211765289,153
s0__maxdbddpdlast1m_3658939P,4364.134017944336,162
s0__currdebt_22A,4223.544961929321,90
s0__downpmt_116A,4075.8296933174133,119
s0__maxdpdtolerance_374P,3978.0471658706665,97
scb0__fourthquarter_440L,3941.2778658866882,174
person__max_income,3890.8651700019836,187
s0__maxdpdlast9m_1059P,3849.9226846694946,45
s0__avgdbdtollast24m_4525197P,3578.7719230651855,44
s0__pctinstlsallpaidlate6d_3546844L,3441.3177847862244,62
s0__maxdpdfrom6mto36m_3546853P,3424.442229747772,117
s0__maininc_215A,3348.7731828689575,176
s0__amtinstpaidbefduel24m_4187115A,3348.3589310646057,109
scb0__firstquarter_103L,3254.655993938446,147
s0__avgmaxdpdlast9m_3716943P,3121.0041151046753,79
s0__avgdbddpdlast24m_3658932P,3099.564519405365,86
s0__pctinstlsallpaidlat10d_839L,3081.756762981415,62
s0__maxannuity_159A,3004.4889907836914,141
scb0__secondquarter_766L,2976.0128889083862,131
s0__daysoverduetolerancedd_3976961L,2911.0758171081543,94
decision_month,2772.2054357528687,107
s0__numcontrs3months_479L,2766.4640789031982,36
s0__numinstunpaidmaxest_4493212L,2704.0367603302,40
s0__lastapprcredamount_781A,2523.8693323135376,111
s0__numinstlswithoutdpd_562L,2480.6031727790833,66
s0__numinsttopaygrest_4493213L,2468.0508346557617,38
s0__numinstpaidearly3dest_4493216L,2423.0050802230835,32
person__row_count,2385.852156639099,36
s0__maxinstallast24m_3658928A,2298.003810405731,123
cbb2__row_count,2268.659999847412,81
s0__mindbddpdlast24m_3658935P,2237.4838399887085,105
s0__maxdpdlast6m_474P,2236.7591342926025,40
s0__cntincpaycont9m_3716944L,2138.450729370117,103
s0__avginstallast24m_3658937A,1990.2877464294434,97
s0__pctinstlsallpaidlate4d_3546849L,1894.0473327636719,49
s0__numinstlswithdpd5_4187116L,1829.633794784546,72
s0__avgoutstandbalancel6m_4187114A,1738.8295917510986,97
s0__numinstls_657L,1726.8527941703796,58
s0__sellerplacescnt_216L,1711.5756816864014,79
s0__numinstpaidlate1d_3546852L,1523.07861328125,80
scb0__pmtcount_693L,1509.7826867103577,38
s0__numinstpaidlastcontr_4325080L,1506.8505115509033,91
s0__sumoutstandtotal_3546847A,1480.5854864120483,62
s0__maxoutstandbalancel12m_4187113A,1445.065818786621,85
s0__numinstregularpaid_973L,1388.4012742042542,74
s0__numinstregularpaidest_4493210L,1373.5688562393188,26
s0__maxdpdinstlnum_3546846P,1370.700387954712,86
s0__mindbdtollast24m_4525191P,1357.612449645996,72
s0__maxpmtlast3m_4525190A,1350.6189951896667,83
s0__currdebtcredtyperange_828A,1240.9363327026367,46
cbb2__max_dpd,1198.7647705078125,36
s0__numnotactivated_1143L,1195.4533081054688,35
s0__clientscnt12m_3712952L,1192.3136320114136,26
s0__totinstallast1m_4525188A,1182.8115911483765,66
s0__clientscnt_887L,1166.8338356018066,72
s0__numinstpaidearly5dest_4493211L,1079.3580322265625,54
s0__avgpmtlast12m_4525200A,1065.7822971343994,62
s0__maxlnamtstart6m_4525199A,1044.3981800079346,55
s0__numinstpaidearly_338L,977.9279842376709,50
s0__sumoutstandtotalest_4493215A,923.6952724456787,35
s0__annuitynextmonth_57A,788.1590213775635,42
s0__posfpd30lastmonth_3976960P,785.3536682128906,35
s0__numinstpaidearly5dobd_4499205L,783.4310417175293,44
s0__posfstqpd30lastmonth_3976962P,774.9088516235352,33
s0__numinstpaidearly5d_1087L,759.8033571243286,51
scb0__formonth_535L,723.0277757644653,10
s0__numinstpaid_4499208L,722.7221908569336,35
s0__clientscnt_100L,714.7785248756409,30
s0__clientscnt6m_3712949L,676.7587251663208,24
