feature,importance,importance_pct
PERSON_1__birth_259D__MIN_GAP,0.0863721843133302,0.08637218431333049
missingindicator_APPLPREV_1__credacc_credlmt_575A__MAX,0.0762752047284469,0.07627520472844715
missingindicator_STATIC_CB_0__pmtaverage_3A,0.0745756416197598,0.07457564161976005
PERSON_1__birth_259D__MAX_GAP,0.0721783813337793,0.07217838133377953
STATIC_0__avgdpdtolclosure24_3658938P,0.0494157095045275,0.049415709504527665
STATIC_CB_0__days30_165L,0.044413636934679,0.044413636934679146
STATIC_CB_0__days90_310L,0.038475113936394,0.03847511393639413
STATIC_CB_0__days120_123L,0.0383910439747816,0.03839104397478173
PERSON_1__empl_industry_691L__NUNIQUE,0.0381417155591618,0.038141715559161925
STATIC_CB_0__days180_256L,0.0351267176165335,0.03512671761653362
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,0.0341765969248144,0.03417659692481451
APPLPREV_1__ROW_COUNT,0.0251862227170334,0.025186222717033482
CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,0.0231158819169919,0.023115881916991977
STATIC_CB_0__days360_512L,0.0190122123736502,0.019012212373650264
missingindicator_PERSON_2__ROW_COUNT,0.0183893071553888,0.018389307155388862
TAX_REGISTRY_C_1__pmtamount_36A__MAX,0.0178607709625759,0.017860770962575958
missingindicator_STATIC_0__avgdpdtolclosure24_3658938P,0.0177446710099486,0.01774467100994866
STATIC_CB_0__pmtssum_45A,0.0172635378369125,0.01726353783691256
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.0159063310861774,0.015906331086177453
TAX_REGISTRY_A_1__amount_4527230A__MAX,0.0156630295945539,0.015663029594553953
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.0153314390132735,0.01533143901327355
APPLPREV_2__credacc_cards_status_52L__NUNIQUE,0.0151203574401111,0.01512035744011115
APPLPREV_1__creationdate_885D__MIN_GAP,0.0140080596257435,0.014008059625743547
APPLPREV_1__creationdate_885D__MAX_GAP,0.0136660218994096,0.013666021899409644
STATIC_0__disbursedcredamount_1113A,0.0131937506370239,0.013193750637023943
TAX_REGISTRY_C_1__pmtamount_36A__MEAN,0.0130429308782825,0.013042930878282543
CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,0.0117059254397506,0.011705925439750638
STATIC_0__credamount_770A,0.0110050847214055,0.011005084721405536
CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,0.0087562400743889,0.00875624007438893
PERSON_1__ROW_COUNT,0.0080018365894138,0.008001836589413827
APPLPREV_2__conts_type_509L__NUNIQUE,0.0078478508105586,0.007847850810558625
STATIC_CB_0__pmtaverage_3A,0.0075153438002858,0.007515343800285825
TAX_REGISTRY_A_1__amount_4527230A__MEAN,0.006845741671006,0.006845741671006022
CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,0.0068134539581176,0.006813453958117622
APPLPREV_2__ROW_COUNT,0.0065328060706851,0.006532806070685121
TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,0.0064491820784134,0.006449182078413422
CREDIT_BUREAU_A_2__ROW_COUNT,0.0063911599232784,0.006391159923278422
TAX_REGISTRY_A_1__ROW_COUNT,0.0062103695021797,0.006210369502179721
CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,0.0058963392765578,0.00589633927655782
STATIC_CB_0__firstquarter_103L,0.0058591141415586,0.005859114141558619
TAX_REGISTRY_C_1__ROW_COUNT,0.0047627479670977,0.004762747967097716
APPLPREV_1__mainoccupationinc_437A__MAX,0.0044356122170692,0.004435612217069214
STATIC_0__currdebt_22A,0.0044264100415431,0.004426410041543115
CREDIT_BUREAU_A_1__ROW_COUNT,0.0034608282780932,0.0034608282780932116
STATIC_0__currdebtcredtyperange_828A,0.0025505933188392,0.002550593318839209
TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,0.0025266171523127,0.002526617152312708
STATIC_0__lastapprcredamount_781A,0.0024143792116114,0.0024143792116114084
APPLPREV_1__isbidproduct_390L__MEAN,0.0022436962594293,0.0022436962594293073
APPLPREV_1__mainoccupationinc_437A__MEAN,0.0020300838358263,0.002030083835826307
STATIC_0__annuity_780A,0.0019442943785789,0.0019442943785789066
STATIC_CB_0__pmtaverage_4527227A,0.0018487986563942,0.0018487986563942062
