feature,importance,importance_pct
STATIC_0__annuity_780A,1685,0.09503666102650875
STATIC_0__lastapprcredamount_781A,1446,0.08155668358714044
STATIC_0__disbursedcredamount_1113A,1445,0.08150028200789622
STATIC_0__credamount_770A,1435,0.08093626621545404
STATIC_CB_0__pmtssum_45A,1238,0.06982515510434292
STATIC_CB_0__days360_512L,1135,0.06401579244218839
STATIC_0__avgdpdtolclosure24_3658938P,1084,0.06113931190073322
STATIC_0__currdebt_22A,1057,0.05961646926113931
STATIC_CB_0__firstquarter_103L,926,0.05222786238014664
STATIC_0__annuitynextmonth_57A,894,0.05042301184433164
STATIC_CB_0__days180_256L,719,0.04055273547659335
STATIC_0__currdebtcredtyperange_828A,583,0.03288212069937958
STATIC_CB_0__pmtaverage_3A,557,0.03141567963902989
STATIC_0__downpmt_116A,538,0.030344049633389734
STATIC_CB_0__days90_310L,533,0.03006204173716864
STATIC_CB_0__days120_123L,531,0.029949238578680204
STATIC_CB_0__days30_165L,405,0.02284263959390863
STATIC_CB_0__pmtaverage_4527227A,384,0.021658206429780034
missingindicator_STATIC_CB_0__pmtaverage_3A,175,0.009870276367738297
missingindicator_STATIC_0__avgdpdtolclosure24_3658938P,171,0.009644670050761422
missingindicator_STATIC_CB_0__pmtssum_45A,146,0.00823463056965595
STATIC_0__actualdpdtolerance_344P,144,0.008121827411167513
missingindicator_STATIC_CB_0__for3years_128L,141,0.007952622673434856
missingindicator_STATIC_CB_0__pmtaverage_4527227A,121,0.006824591088550479
missingindicator_STATIC_CB_0__days120_123L,77,0.00434292160180485
missingindicator_STATIC_CB_0__days180_256L,65,0.0036661026508742244
missingindicator_STATIC_0__actualdpdtolerance_344P,51,0.002876480541455161
missingindicator_STATIC_0__lastapprcredamount_781A,32,0.0018048505358150028
missingindicator_STATIC_CB_0__days30_165L,10,0.0005640157924421884
missingindicator_STATIC_CB_0__days360_512L,2,0.00011280315848843768
STATIC_CB_0__for3years_128L,0,0.0
missingindicator_STATIC_0__currdebtcredtyperange_828A,0,0.0
missingindicator_STATIC_0__currdebt_22A,0,0.0
missingindicator_STATIC_0__annuitynextmonth_57A,0,0.0
missingindicator_STATIC_CB_0__firstquarter_103L,0,0.0
missingindicator_STATIC_CB_0__days90_310L,0,0.0
