feature,importance,importance_pct
STATIC_0__disbursedcredamount_1113A,703,0.03905555555555556
APPLPREV_1__creationdate_885D__MAX_GAP,665,0.036944444444444446
APPLPREV_1__creationdate_885D__MIN_GAP,645,0.035833333333333335
STATIC_0__annuity_780A,615,0.034166666666666665
STATIC_0__credamount_770A,590,0.03277777777777778
STATIC_0__lastapprcredamount_781A,545,0.03027777777777778
STATIC_0__currdebt_22A,542,0.030111111111111113
STATIC_0__avgdpdtolclosure24_3658938P,536,0.029777777777777778
PERSON_1__birth_259D__MAX_GAP,492,0.027333333333333334
STATIC_CB_0__pmtssum_45A,491,0.02727777777777778
PERSON_1__birth_259D__MIN_GAP,484,0.02688888888888889
STATIC_CB_0__days360_512L,476,0.026444444444444444
APPLPREV_1__mainoccupationinc_437A__MEAN,474,0.026333333333333334
APPLPREV_1__ROW_COUNT,452,0.025111111111111112
CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,402,0.022333333333333334
STATIC_CB_0__firstquarter_103L,388,0.021555555555555557
CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,387,0.0215
APPLPREV_1__mainoccupationinc_437A__MAX,371,0.02061111111111111
TAX_REGISTRY_A_1__amount_4527230A__MEAN,361,0.020055555555555556
CREDIT_BUREAU_A_1__ROW_COUNT,354,0.019666666666666666
STATIC_0__annuitynextmonth_57A,349,0.01938888888888889
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,336,0.018666666666666668
TAX_REGISTRY_A_1__ROW_COUNT,327,0.018166666666666668
CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,319,0.017722222222222223
TAX_REGISTRY_A_1__amount_4527230A__MAX,318,0.017666666666666667
STATIC_CB_0__days180_256L,296,0.016444444444444446
STATIC_CB_0__days90_310L,270,0.015
TAX_REGISTRY_C_1__ROW_COUNT,265,0.014722222222222222
TAX_REGISTRY_C_1__pmtamount_36A__MAX,262,0.014555555555555556
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,258,0.014333333333333333
TAX_REGISTRY_C_1__pmtamount_36A__MEAN,230,0.012777777777777779
TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,223,0.012388888888888889
APPLPREV_1__credacc_credlmt_575A__MAX,221,0.012277777777777778
STATIC_CB_0__days120_123L,218,0.01211111111111111
STATIC_0__downpmt_116A,205,0.01138888888888889
TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,205,0.01138888888888889
STATIC_CB_0__pmtaverage_3A,200,0.011111111111111112
CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,196,0.010888888888888889
STATIC_CB_0__days30_165L,193,0.010722222222222222
STATIC_0__currdebtcredtyperange_828A,191,0.010611111111111111
PERSON_1__ROW_COUNT,181,0.010055555555555555
APPLPREV_1__isbidproduct_390L__MEAN,177,0.009833333333333333
STATIC_CB_0__pmtaverage_4527227A,169,0.00938888888888889
CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,150,0.008333333333333333
missingindicator_STATIC_0__avgdpdtolclosure24_3658938P,115,0.006388888888888889
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,87,0.004833333333333334
DEPOSIT_1__amount_416A__MAX,86,0.0047777777777777775
missingindicator_STATIC_CB_0__pmtaverage_3A,68,0.003777777777777778
DEPOSIT_1__contractenddate_991D__MAX_GAP,67,0.0037222222222222223
DEBITCARD_1__openingdate_857D__MAX_GAP,66,0.0036666666666666666
DEPOSIT_1__contractenddate_991D__MIN_GAP,62,0.0034444444444444444
TAX_REGISTRY_C_1__employername_160M__NUNIQUE,62,0.0034444444444444444
CREDIT_BUREAU_B_1__totalamount_503A__MAX,61,0.0033888888888888888
missingindicator_APPLPREV_1__credacc_credlmt_575A__MAX,60,0.0033333333333333335
TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,56,0.003111111111111111
DEPOSIT_1__amount_416A__MEAN,56,0.003111111111111111
PERSON_1__empl_industry_691L__NUNIQUE,53,0.0029444444444444444
CREDIT_BUREAU_B_1__totalamount_503A__MEAN,52,0.0028888888888888888
STATIC_0__actualdpdtolerance_344P,52,0.0028888888888888888
DEBITCARD_1__openingdate_857D__MIN_GAP,51,0.0028333333333333335
DEPOSIT_1__openingdate_313D__MIN_GAP,50,0.002777777777777778
missingindicator_STATIC_0__lastapprcredamount_781A,48,0.0026666666666666666
APPLPREV_1__actualdpd_943P__MEAN,48,0.0026666666666666666
CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,46,0.0025555555555555557
CREDIT_BUREAU_B_1__dpd_550P__MEAN,44,0.0024444444444444444
TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,43,0.0023888888888888887
CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,42,0.0023333333333333335
CREDIT_BUREAU_B_1__dpdmax_851P__MAX,42,0.0023333333333333335
APPLPREV_1__isbidproduct_390L__MAX,40,0.0022222222222222222
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MAX,39,0.0021666666666666666
CREDIT_BUREAU_B_1__installmentamount_833A__MAX,37,0.0020555555555555557
missingindicator_TAX_REGISTRY_A_1__ROW_COUNT,36,0.002
DEPOSIT_1__openingdate_313D__MAX_GAP,34,0.001888888888888889
CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,34,0.001888888888888889
missingindicator_DEBITCARD_1__ROW_COUNT,33,0.0018333333333333333
CREDIT_BUREAU_B_1__dpd_550P__MAX,32,0.0017777777777777779
PERSON_1__contaddr_district_15M__NUNIQUE,29,0.0016111111111111111
CREDIT_BUREAU_B_1__ROW_COUNT,29,0.0016111111111111111
PERSON_1__contaddr_zipcode_807M__NUNIQUE,28,0.0015555555555555555
CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,27,0.0015
