feature,importance,importance_pct
STATIC_0__disbursedcredamount_1113A,617,0.034277777777777775
CREDIT_BUREAU_A_2__ROW_COUNT,591,0.03283333333333333
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,556,0.03088888888888889
STATIC_0__credamount_770A,539,0.029944444444444444
APPLPREV_1__creationdate_885D__MIN_GAP,516,0.028666666666666667
STATIC_0__annuity_780A,504,0.028
APPLPREV_1__creationdate_885D__MAX_GAP,501,0.027833333333333335
STATIC_0__avgdpdtolclosure24_3658938P,478,0.026555555555555554
STATIC_0__currdebt_22A,458,0.025444444444444443
STATIC_0__lastapprcredamount_781A,449,0.024944444444444446
STATIC_CB_0__pmtssum_45A,432,0.024
PERSON_1__birth_259D__MAX_GAP,421,0.02338888888888889
STATIC_CB_0__days360_512L,417,0.023166666666666665
PERSON_1__birth_259D__MIN_GAP,401,0.02227777777777778
CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,396,0.022
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,386,0.021444444444444443
APPLPREV_1__mainoccupationinc_437A__MEAN,381,0.021166666666666667
CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,345,0.019166666666666665
TAX_REGISTRY_A_1__amount_4527230A__MEAN,323,0.017944444444444443
APPLPREV_1__ROW_COUNT,308,0.01711111111111111
APPLPREV_1__mainoccupationinc_437A__MAX,305,0.016944444444444446
TAX_REGISTRY_A_1__amount_4527230A__MAX,289,0.016055555555555556
TAX_REGISTRY_A_1__ROW_COUNT,275,0.015277777777777777
APPLPREV_2__ROW_COUNT,266,0.014777777777777779
CREDIT_BUREAU_A_1__ROW_COUNT,259,0.014388888888888889
STATIC_0__annuitynextmonth_57A,256,0.014222222222222223
STATIC_CB_0__firstquarter_103L,248,0.013777777777777778
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,248,0.013777777777777778
STATIC_CB_0__days180_256L,235,0.013055555555555556
TAX_REGISTRY_C_1__ROW_COUNT,226,0.012555555555555556
TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,224,0.012444444444444444
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,217,0.012055555555555555
TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,206,0.011444444444444445
CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MEAN,203,0.011277777777777777
CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,199,0.011055555555555556
TAX_REGISTRY_C_1__pmtamount_36A__MEAN,198,0.011
STATIC_CB_0__days90_310L,194,0.010777777777777778
STATIC_CB_0__pmtaverage_3A,192,0.010666666666666666
PERSON_1__ROW_COUNT,192,0.010666666666666666
STATIC_CB_0__days120_123L,190,0.010555555555555556
TAX_REGISTRY_C_1__pmtamount_36A__MAX,188,0.010444444444444444
APPLPREV_1__credacc_credlmt_575A__MAX,177,0.009833333333333333
CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,163,0.009055555555555556
STATIC_0__currdebtcredtyperange_828A,160,0.008888888888888889
STATIC_0__downpmt_116A,156,0.008666666666666666
STATIC_CB_0__pmtaverage_4527227A,154,0.008555555555555556
APPLPREV_2__conts_type_509L__NUNIQUE,149,0.008277777777777778
STATIC_CB_0__days30_165L,139,0.007722222222222222
CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,139,0.007722222222222222
APPLPREV_1__isbidproduct_390L__MEAN,139,0.007722222222222222
CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,115,0.006388888888888889
CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,114,0.006333333333333333
CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,104,0.0057777777777777775
missingindicator_STATIC_0__avgdpdtolclosure24_3658938P,87,0.004833333333333334
DEBITCARD_1__openingdate_857D__MAX_GAP,78,0.004333333333333333
missingindicator_STATIC_CB_0__pmtaverage_3A,77,0.004277777777777778
CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,75,0.004166666666666667
DEPOSIT_1__amount_416A__MEAN,73,0.004055555555555555
APPLPREV_2__credacc_cards_status_52L__NUNIQUE,71,0.003944444444444445
DEPOSIT_1__amount_416A__MAX,66,0.0036666666666666666
missingindicator_PERSON_2__ROW_COUNT,62,0.0034444444444444444
CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,60,0.0033333333333333335
DEPOSIT_1__contractenddate_991D__MAX_GAP,54,0.003
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,53,0.0029444444444444444
DEBITCARD_1__openingdate_857D__MIN_GAP,51,0.0028333333333333335
CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,49,0.0027222222222222222
STATIC_0__actualdpdtolerance_344P,49,0.0027222222222222222
PERSON_1__empl_industry_691L__NUNIQUE,48,0.0026666666666666666
APPLPREV_1__actualdpd_943P__MEAN,47,0.002611111111111111
CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,46,0.0025555555555555557
PERSON_2__ROW_COUNT,45,0.0025
TAX_REGISTRY_C_1__employername_160M__NUNIQUE,45,0.0025
CREDIT_BUREAU_B_2__ROW_COUNT,42,0.0023333333333333335
TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,39,0.0021666666666666666
CREDIT_BUREAU_B_2__pmts_date_1107D__MIN_GAP,36,0.002
DEPOSIT_1__contractenddate_991D__MIN_GAP,36,0.002
CREDIT_BUREAU_B_1__dpd_550P__MAX,33,0.0018333333333333333
PERSON_2__empls_employedfrom_796D__MAX_GAP,32,0.0017777777777777779
TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,31,0.0017222222222222222
missingindicator_APPLPREV_1__credacc_credlmt_575A__MAX,31,0.0017222222222222222
APPLPREV_1__isbidproduct_390L__MAX,28,0.0015555555555555555
DEPOSIT_1__openingdate_313D__MIN_GAP,28,0.0015555555555555555
PERSON_1__education_927M__NUNIQUE,27,0.0015
CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,27,0.0015
CREDIT_BUREAU_B_1__installmentamount_833A__MAX,27,0.0015
missingindicator_STATIC_CB_0__pmtssum_45A,27,0.0015
missingindicator_STATIC_0__lastapprcredamount_781A,27,0.0015
PERSON_1__contaddr_district_15M__NUNIQUE,26,0.0014444444444444444
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,25,0.001388888888888889
CREDIT_BUREAU_B_1__totalamount_503A__MAX,23,0.0012777777777777779
CREDIT_BUREAU_B_1__dpd_550P__MEAN,23,0.0012777777777777779
DEPOSIT_1__openingdate_313D__MAX_GAP,23,0.0012777777777777779
