feature,coefficient,importance,importance_pct
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,0.06250009,0.06250009,0.03523113779126044
STATIC_0__avgdpdtolclosure24_3658938P,0.03865387,0.03865387,0.021789085745884017
STATIC_CB_0__days90_310L,0.03769481,0.03769481,0.021248466124214896
STATIC_CB_0__days120_123L,0.03728632,0.03728632,0.021018201376174498
PERSON_1__birth_259D__MIN_GAP,-0.03559153,0.03559153,0.020062852671600632
PERSON_1__birth_259D__MAX_GAP,-0.03559153,0.03559153,0.020062852671600632
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.03125169,0.03125169,0.0176164961778416
missingindicator_STATIC_CB_0__pmtaverage_3A,0.031250168,0.031250168,0.017615638230409555
CREDIT_BUREAU_A_2__ROW_COUNT,-0.03125013,0.03125013,0.017615616809908623
STATIC_CB_0__days180_256L,0.03125008,0.03125008,0.017615588625038973
STATIC_CB_0__days360_512L,0.03125006,0.03125006,0.01761557735109112
STATIC_CB_0__days30_165L,0.031250037,0.031250037,0.01761556438605108
TAX_REGISTRY_A_1__amount_4527230A__MAX,-0.03125,0.03125,0.01761554352924754
TAX_REGISTRY_C_1__ROW_COUNT,-0.03125,0.03125,0.01761554352924754
TAX_REGISTRY_A_1__ROW_COUNT,-0.03125,0.03125,0.01761554352924754
STATIC_CB_0__pmtssum_45A,-0.03125,0.03125,0.01761554352924754
APPLPREV_1__ROW_COUNT,0.027991783,0.027991783,0.01577889510072804
APPLPREV_2__credacc_cards_status_52L__NUNIQUE,-0.026276708,0.026276708,0.014812111794538466
CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,-0.022228234,0.022228234,0.012529997555369606
STATIC_CB_0__pmtaverage_3A,-0.020459073,0.020459073,0.011532726111985699
TAX_REGISTRY_A_1__amount_4527230A__MEAN,-0.019066088,0.019066088,0.010747504099086853
CREDIT_BUREAU_A_1__ROW_COUNT,-0.018862199,0.018862199,0.01063257240133854
TAX_REGISTRY_C_1__pmtamount_36A__MAX,-0.017667433,0.017667433,0.009959085921970062
STATIC_CB_0__pmtaverage_4527227A,-0.015636105,0.015636105,0.008814031624172323
STATIC_CB_0__firstquarter_103L,0.015633792,0.015633792,0.008812727792102463
CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,-0.015627408,0.015627408,0.008809129147945958
STATIC_0__credamount_770A,0.015627084,0.015627084,0.008808946509990648
TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,-0.015626874,0.015626874,0.008808828133538131
STATIC_0__disbursedcredamount_1113A,0.015626503,0.015626503,0.008808619001805353
PERSON_1__empl_industry_691L__NUNIQUE,0.015625127,0.015625127,0.008807843354192673
STATIC_0__currdebtcredtyperange_828A,0.01562511,0.01562511,0.008807833771336994
STATIC_0__currdebt_22A,0.015625076,0.015625076,0.008807814605625634
TAX_REGISTRY_C_1__pmtamount_36A__MEAN,-0.015625,0.015625,0.00880777176462377
missingindicator_APPLPREV_1__credacc_credlmt_575A__MAX,-0.015625,0.015625,0.00880777176462377
APPLPREV_1__creationdate_885D__MAX_GAP,-0.015624998,0.015624998,0.008807770637228984
APPLPREV_1__creationdate_885D__MIN_GAP,-0.015621058,0.015621058,0.008805549669500817
PERSON_1__empladdr_district_926M__NUNIQUE,0.01412633,0.01412633,0.007962975392752493
PERSON_1__empladdr_zipcode_114M__NUNIQUE,0.014123859,0.014123859,0.007961582496494549
PERSON_1__empl_employedtotal_800L__NUNIQUE,0.013849501,0.013849501,0.007806927607163435
missingindicator_APPLPREV_1__mainoccupationinc_437A__MAX,-0.011809468,0.011809468,0.0066569663235601885
missingindicator_APPLPREV_1__mainoccupationinc_437A__MEAN,-0.011809468,0.011809468,0.0066569663235601885
missingindicator_APPLPREV_1__creationdate_885D__MIN_GAP,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_1__creationdate_885D__MAX_GAP,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_1__isbidproduct_390L__MAX,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_1__isbidproduct_390L__MEAN,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_2__ROW_COUNT,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_2__cacccardblochreas_147M__NUNIQUE,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_2__credacc_cards_status_52L__NUNIQUE,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_1__ROW_COUNT,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_2__conts_type_509L__NUNIQUE,-0.011138387,0.011138387,0.0062786797134113575
missingindicator_APPLPREV_1__actualdpd_943P__MEAN,-0.011123666,0.011123666,0.006270381524089948
missingindicator_APPLPREV_1__actualdpd_943P__MAX,-0.011123666,0.011123666,0.006270381524089948
TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,0.009763206,0.009763206,0.005503493768896344
TAX_REGISTRY_A_1__recorddate_4527225D__MIN_GAP,0.009763206,0.009763206,0.005503493768896344
CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,-0.009493288,0.009493288,0.005351341695989866
CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,-0.008491006,0.008491006,0.004786357945603266
STATIC_0__lastapprcredamount_781A,-0.007831241,0.007831241,0.004414450135152896
APPLPREV_2__cacccardblochreas_147M__NUNIQUE,0.007829444,0.007829444,0.004413437170937791
APPLPREV_2__conts_type_509L__NUNIQUE,-0.007828629,0.007828629,0.0044129777575625485
CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,-0.007823363,0.007823363,0.004410009327091347
STATIC_0__annuity_780A,0.007820118,0.007820118,0.00440818012905127
missingindicator_TAX_REGISTRY_C_1__employername_160M__NUNIQUE,0.007814361,0.007814361,0.004404934923160139
missingindicator_TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,0.007814361,0.007814361,0.004404934923160139
missingindicator_TAX_REGISTRY_C_1__ROW_COUNT,0.007814361,0.007814361,0.004404934923160139
missingindicator_TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,0.007814361,0.007814361,0.004404934923160139
missingindicator_TAX_REGISTRY_C_1__pmtamount_36A__MAX,0.007814361,0.007814361,0.004404934923160139
missingindicator_TAX_REGISTRY_C_1__pmtamount_36A__MEAN,0.007814361,0.007814361,0.004404934923160139
TAX_REGISTRY_C_1__employername_160M__NUNIQUE,-0.007813157,0.007813157,0.0044042562314990435
APPLPREV_1__credacc_credlmt_575A__MAX,-0.007812919,0.007812919,0.004404122071519525
APPLPREV_1__mainoccupationinc_437A__MAX,0.007812881,0.007812881,0.004404100651018594
PERSON_1__ROW_COUNT,0.007812847,0.007812847,0.004404081485307233
APPLPREV_2__ROW_COUNT,0.007812592,0.007812592,0.004403937742472035
TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,0.007812522,0.007812522,0.004403898283654529
CREDIT_BUREAU_B_2__ROW_COUNT,-0.007008601,0.007008601,0.003950730111828091
missingindicator_TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MEAN,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MAX,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_TAX_REGISTRY_A_1__recorddate_4527225D__MIN_GAP,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_TAX_REGISTRY_A_1__ROW_COUNT,-0.006506539,0.006506539,0.0036677190713358967
missingindicator_DEBITCARD_1__ROW_COUNT,0.0062812897,0.0062812897,0.0035407466281652546
missingindicator_DEBITCARD_1__openingdate_857D__MIN_GAP,0.0061328392,0.0061328392,0.0034570654683352213
missingindicator_DEBITCARD_1__openingdate_857D__MAX_GAP,0.0061328392,0.0061328392,0.0034570654683352213
missingindicator_PERSON_2__addres_zip_823M__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__addres_district_368M__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__relatedpersons_role_762T__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__empls_employer_name_740M__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__ROW_COUNT,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__conts_role_79M__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__empls_economicalst_849M__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_PERSON_2__addres_role_871L__NUNIQUE,0.006045329,0.006045329,0.00340773619673992
missingindicator_DEPOSIT_1__openingdate_313D__MAX_GAP,0.0059546125,0.0059546125,0.0033565995421936485
missingindicator_DEPOSIT_1__ROW_COUNT,0.0059546125,0.0059546125,0.0033565995421936485
missingindicator_DEPOSIT_1__amount_416A__MEAN,0.0059546125,0.0059546125,0.0033565995421936485
missingindicator_DEPOSIT_1__amount_416A__MAX,0.0059546125,0.0059546125,0.0033565995421936485
missingindicator_DEPOSIT_1__openingdate_313D__MIN_GAP,0.0059546125,0.0059546125,0.0033565995421936485
