feature,importance,importance_pct
STATIC_0__avgdpdtolclosure24_3658938P,0.05410822,0.05410822
PERSON_1__empladdr_district_926M__NUNIQUE,0.041418925,0.041418925
PERSON_1__empl_industry_691L__NUNIQUE,0.040827904,0.040827904
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.03887952,0.03887952
CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,0.025651408,0.025651408
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,0.024360893,0.024360893
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,0.023899509,0.023899509
CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,0.022344569,0.022344569
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,0.020797327,0.020797327
missingindicator_APPLPREV_1__mainoccupationinc_437A__MAX,0.01583315,0.01583315
STATIC_CB_0__days90_310L,0.015140686,0.015140686
missingindicator_CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,0.01399722,0.01399722
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,0.013990529,0.013990529
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,0.013858106,0.013858106
STATIC_CB_0__days120_123L,0.013690659,0.013690659
missingindicator_TAX_REGISTRY_C_1__employername_160M__NUNIQUE,0.012929116,0.012929116
CREDIT_BUREAU_A_2__ROW_COUNT,0.012612981,0.012612981
STATIC_CB_0__pmtssum_45A,0.012500477,0.012500477
missingindicator_APPLPREV_1__actualdpd_943P__MEAN,0.012121156,0.012121156
CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MEAN,0.011624209,0.011624209
STATIC_CB_0__days180_256L,0.010970138,0.010970138
PERSON_1__birth_259D__MAX_GAP,0.010861925,0.010861925
missingindicator_STATIC_CB_0__pmtaverage_3A,0.010721939,0.010721939
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,0.010172327,0.010172327
missingindicator_CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,0.009899949,0.009899949
CREDIT_BUREAU_A_1__ROW_COUNT,0.009861373,0.009861373
missingindicator_PERSON_2__ROW_COUNT,0.009816671,0.009816671
STATIC_CB_0__pmtaverage_3A,0.009792636,0.009792636
missingindicator_CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,0.00913223,0.00913223
APPLPREV_1__creationdate_885D__MIN_GAP,0.009082737,0.009082737
PERSON_1__birth_259D__MIN_GAP,0.008626345,0.008626345
missingindicator_TAX_REGISTRY_C_1__ROW_COUNT,0.008569398,0.008569398
PERSON_1__empladdr_zipcode_114M__NUNIQUE,0.008358385,0.008358385
missingindicator_STATIC_0__lastapprcredamount_781A,0.0082423845,0.0082423845
STATIC_CB_0__days30_165L,0.008044137,0.008044137
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,0.008031338,0.008031338
CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,0.008008384,0.008008384
TAX_REGISTRY_A_1__ROW_COUNT,0.0076920986,0.0076920986
CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,0.0076617375,0.0076617375
missingindicator_TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,0.0073959734,0.0073959734
TAX_REGISTRY_A_1__amount_4527230A__MAX,0.007373297,0.007373297
APPLPREV_2__credacc_cards_status_52L__NUNIQUE,0.0070783,0.0070783
STATIC_CB_0__days360_512L,0.0067649283,0.0067649283
missingindicator_DEPOSIT_1__ROW_COUNT,0.006753224,0.006753224
CREDIT_BUREAU_B_1__dpdmax_851P__MAX,0.0067294673,0.0067294673
CREDIT_BUREAU_B_1__dpd_550P__MEAN,0.0066282433,0.0066282433
STATIC_0__disbursedcredamount_1113A,0.006351421,0.006351421
CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,0.0063377344,0.0063377344
STATIC_0__currdebt_22A,0.006206342,0.006206342
missingindicator_PERSON_2__addres_district_368M__NUNIQUE,0.006130994,0.006130994
missingindicator_DEPOSIT_1__contractenddate_991D__MIN_GAP,0.0059244777,0.0059244777
