model,level,protocol,split,n,bad_rate,auc,brier,gini,ks
lightgbm,C,out_of_time,train,1129770,0.031254149074590405,0.8417789927508701,0.0275126930015164,0.6835579855017402,0.5217492544633262
lightgbm,C,out_of_time,valid,193544,0.04254846443186046,0.8150698439744499,0.037559359275602666,0.6301396879488999,0.4800935288108994
lightgbm,C,out_of_time,test,203345,0.021879072512232905,0.8309900675328623,0.02046430652318588,0.6619801350657246,0.5083163467826783
logistic_raw,C,out_of_time,train,1129770,0.031254149074590405,0.6995403993749049,0.029874885454773903,0.39908079874980973,0.28982174470696015
logistic_raw,C,out_of_time,valid,193544,0.04254846443186046,0.683013696714508,0.040289122611284256,0.3660273934290159,0.2810090969898837
logistic_raw,C,out_of_time,test,203345,0.021879072512232905,0.6677222032759516,0.021540049463510513,0.3354444065519031,0.24034517807345768
xgboost,C,out_of_time,train,1129770,0.031254149074590405,0.8273656134536497,0.027958689257502556,0.6547312269072993,0.49731005017919006
xgboost,C,out_of_time,valid,193544,0.04254846443186046,0.8127638264335155,0.037664398550987244,0.625527652867031,0.4761693374432805
xgboost,C,out_of_time,test,203345,0.021879072512232905,0.8292739916245973,0.020487261936068535,0.6585479832491945,0.509198381268242
random_forest,C,out_of_time,train,1129770,0.031254149074590405,0.8171877877720893,0.1786582088448384,0.6343755755441787,0.4780218962044899
random_forest,C,out_of_time,valid,193544,0.04254846443186046,0.7874483133691568,0.19609426394792873,0.5748966267383135,0.4362466677730089
random_forest,C,out_of_time,test,203345,0.021879072512232905,0.804711256529389,0.17969150947249596,0.609422513058778,0.458930078705165
extra_trees,C,out_of_time,train,1129770,0.031254149074590405,0.7000653065212505,0.22636705325547765,0.4001306130425011,0.290431752899763
extra_trees,C,out_of_time,valid,193544,0.04254846443186046,0.6917216719393217,0.25310103288192687,0.3834433438786433,0.2969305882742536
extra_trees,C,out_of_time,test,203345,0.021879072512232905,0.6887719955670246,0.23605194682482053,0.37754399113404924,0.30519849203476423
hist_gradient_boosting,C,out_of_time,train,1129770,0.031254149074590405,0.8281882863801691,0.02796663565415566,0.6563765727603381,0.4988940313919935
hist_gradient_boosting,C,out_of_time,valid,193544,0.04254846443186046,0.8136271220209709,0.03762559612679557,0.6272542440419417,0.4778556886373967
hist_gradient_boosting,C,out_of_time,test,203345,0.021879072512232905,0.829880963710873,0.020450471810641455,0.6597619274217461,0.5096047037367103
catboost,C,out_of_time,train,1129770,0.031254149074590405,0.8143138111278526,0.02810100592999441,0.6286276222557052,0.4744671382810945
catboost,C,out_of_time,valid,193544,0.04254846443186046,0.8095723615584063,0.037751803167365525,0.6191447231168126,0.4699247257054426
catboost,C,out_of_time,test,203345,0.021879072512232905,0.8261993996250174,0.020401471481850494,0.6523987992500349,0.5032088569677828
logistic_woe,C,out_of_time,train,1129770,0.031254149074590405,0.7409580201309743,0.029397466289587466,0.4819160402619487,0.3696742220893422
logistic_woe,C,out_of_time,valid,193544,0.04254846443186046,0.7455297332465809,0.039342504847848146,0.4910594664931618,0.37613973788928
logistic_woe,C,out_of_time,test,203345,0.021879072512232905,0.7838716517830707,0.02088775050021095,0.5677433035661414,0.4457597339878503
ensemble_lightgbm_catboost,C,out_of_time,train,1129770,0.031254149074590405,0.831823475115498,0.027767396278649378,0.6636469502309961,0.5044252515693817
ensemble_lightgbm_catboost,C,out_of_time,valid,193544,0.04254846443186046,0.8143989544983667,0.03759595915431898,0.6287979089967335,0.4779472864115184
ensemble_lightgbm_catboost,C,out_of_time,test,203345,0.021879072512232905,0.8303910648139836,0.020387293583509367,0.6607821296279672,0.5117400376443444
ensemble_lightgbm_xgboost_catboost,C,out_of_time,train,1129770,0.031254149074590405,0.8310822863738448,0.02781633870434292,0.6621645727476897,0.5042585659379654
ensemble_lightgbm_xgboost_catboost,C,out_of_time,valid,193544,0.04254846443186046,0.8145173038945505,0.03759467930653356,0.6290346077891009,0.4774094650152973
ensemble_lightgbm_xgboost_catboost,C,out_of_time,test,203345,0.021879072512232905,0.8305788399255416,0.02040118311096005,0.6611576798510832,0.5115427392969587
ensemble_lightgbm_catboost_extra_trees,C,out_of_time,train,1129770,0.031254149074590405,0.7952296311590923,0.04988405542405354,0.5904592623181846,0.45583415313373044
ensemble_lightgbm_catboost_extra_trees,C,out_of_time,valid,193544,0.04254846443186046,0.7847085484546672,0.06057995308931286,0.5694170969093344,0.4454556247627263
ensemble_lightgbm_catboost_extra_trees,C,out_of_time,test,203345,0.021879072512232905,0.7876297560375485,0.0469389038668725,0.575259512075097,0.4716539150911865
ensemble_boosting,C,out_of_time,train,1129770,0.031254149074590405,0.8310457997380521,0.027841869105831474,0.6620915994761043,0.5035214015451357
ensemble_boosting,C,out_of_time,valid,193544,0.04254846443186046,0.8147832342902093,0.037584398864517234,0.6295664685804185,0.47862161719330193
ensemble_boosting,C,out_of_time,test,203345,0.021879072512232905,0.8308951323872397,0.0203981714252594,0.6617902647744793,0.5114096671346671
ensemble_all_trees,C,out_of_time,train,1129770,0.031254149074590405,0.8225099094374082,0.046575514857489245,0.6450198188748164,0.49117214355124533
ensemble_all_trees,C,out_of_time,valid,193544,0.04254846443186046,0.8017829459551211,0.05673536044859236,0.6035658919102422,0.4614567441192426
ensemble_all_trees,C,out_of_time,test,203345,0.021879072512232905,0.813376928756423,0.043157588097975846,0.626753857512846,0.4786525385016276
