feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv
STATIC_0__avgdpdtolclosure24_3658938P,"(-inf, 0.5]",549250,10656,538594,0.49210868348618614,0.3017769911504425,0.48901128879724115,0.09307434616806198,0.3101820952943574
STATIC_0__avgdpdtolclosure24_3658938P,"(0.5, 1.5]",90391,3764,86627,0.07915072467078589,0.10660530973451328,-0.297779378434658,0.008175409275458187,0.3101820952943574
STATIC_0__avgdpdtolclosure24_3658938P,"(1.5, 4.5]",53428,3520,49908,0.045600922827415284,0.09969557522123894,-0.7821933412936445,0.04231247690204317,0.3101820952943574
STATIC_0__avgdpdtolclosure24_3658938P,"(4.5, inf]",66530,6642,59888,0.05471955411903103,0.1881061946902655,-1.234785543855733,0.1647038955208409,0.3101820952943574
STATIC_0__avgdpdtolclosure24_3658938P,MISSING,370171,10728,359443,0.3284201148965817,0.30381592920353984,0.07787160493163614,0.0019159674279531688,0.3101820952943574
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(-inf, 0.0181]",633116,12764,620352,0.5668096743290205,0.36146233027029323,0.44986574378583477,0.09237873566942507,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(0.0181, 0.0692]",49998,1283,48715,0.04451084937962755,0.036345873391196,0.20265229251860944,0.0016546511024150528,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(0.0692, 0.411]",85500,3136,82364,0.07525559326555888,0.08881872371755845,-0.16570725046990037,0.002247509054965426,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(0.411, 0.988]",47369,2217,45152,0.04125537306634712,0.06279468192051199,-0.42008902664200437,0.009048427291087627,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(0.988, 3.823]",61319,3979,57340,0.052391422829541595,0.11269061407110595,-0.765903243686361,0.046183346163578345,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,"(3.823, inf]",47832,5161,42671,0.03898850898179793,0.1461622325739448,-1.3214502255939247,0.14162474121858343,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,MISSING,204636,6770,197866,0.18078857814810637,0.19172554405538958,-0.058736619330182926,0.0006424004031232829,0.29377981090317823
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(-inf, 0.331]",340210,4973,335237,0.30630304254093443,0.14083848952950004,0.776961177492487,0.12855953394103212,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(0.331, 0.709]",50220,1034,49186,0.04494119721671851,0.029294745635521827,0.4279467366429204,0.006695847894214584,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(0.709, 2.197]",68614,2129,66485,0.06074711491063887,0.060302717091197416,0.007342427636515489,3.2629588310741325e-06,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(2.197, 4.568]",32927,1472,31455,0.02874056558304594,0.04169793421779206,-0.37214202867998536,0.004821981450088834,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(4.568, 226.338]",111310,6863,104447,0.09543260236636489,0.19435909779546065,-0.7112872036466148,0.07036515030032114,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,"(226.338, inf]",52060,4055,48005,0.04386212971012738,0.1148427655146049,-0.9625126376072951,0.06831975898721047,0.2787696224878428
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,MISSING,474429,14784,459645,0.41997334767217,0.4186642502159231,0.003121964774346326,4.086956144589235e-06,0.2787696224878428
PERSON_1__birth_259D__MAX_GAP,"(-inf, 9064.5]",71986,3936,68050,0.0621770392525653,0.11147294943859996,-0.5837961677894163,0.028778763454298292,0.0938983792518369
PERSON_1__birth_259D__MAX_GAP,"(9064.5, 9918.5]",60244,2775,57469,0.05250928879766205,0.07859600436093846,-0.40333077961376823,0.010521575325698895,0.0938983792518369
PERSON_1__birth_259D__MAX_GAP,"(9918.5, 11249.5]",105496,4121,101375,0.09262574768368247,0.11671173913659082,-0.23113997092132874,0.005567235364036608,0.0938983792518369
PERSON_1__birth_259D__MAX_GAP,"(11249.5, 16739.5]",426155,13766,412389,0.37679602837371917,0.38983674798589774,-0.03402405434322517,0.0004436981527595257,0.0938983792518369
