model,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
lightgbm,73,0,8687,189,8498,0.021756647864625302,0.817701270513697,0.635402541027394,0.6303720101912595,0.0050305308361344725
lightgbm,74,1,11280,303,10977,0.026861702127659575,0.8241316752609944,0.6482633505219888,0.6329141790291157,0.01534917149287307
lightgbm,75,2,13656,290,13366,0.02123608670181605,0.827542090842952,0.6550841816859041,0.635456347866972,0.019627833818932072
lightgbm,76,3,10261,255,10006,0.024851379007893967,0.8370722664440551,0.6741445328881102,0.6379985167048282,0.03614601618328195
lightgbm,77,4,7754,197,7557,0.025406241939644053,0.801772182848591,0.603544365697182,0.6405406855426844,-0.036996319845502446
lightgbm,78,5,8755,195,8560,0.02227298686464877,0.8530361849988018,0.7060723699976037,0.6430828543805407,0.06298951561706301
lightgbm,79,6,5158,112,5046,0.021713842574641335,0.83148427325746,0.66296854651492,0.6456250232183969,0.01734352329652311
lightgbm,80,7,6246,120,6126,0.01921229586935639,0.7911837523125478,0.5823675046250956,0.6481671920562531,-0.0657996874311575
lightgbm,81,8,6743,188,6555,0.02788076523802462,0.7966527094795266,0.5933054189590532,0.6507093608941094,-0.05740394193505616
lightgbm,82,9,5423,122,5301,0.022496773003872397,0.7883495535948987,0.5766991071897973,0.6532515297319655,-0.07655242254216821
lightgbm,83,10,7295,156,7139,0.021384509938313912,0.8244762428121443,0.6489524856242885,0.6557936985698218,-0.006841212945533304
lightgbm,84,11,9721,216,9505,0.022219936220553443,0.8020379137685819,0.6040758275371638,0.658335867407678,-0.0542600398705142
lightgbm,85,12,16239,308,15931,0.018966685140710635,0.8503141999548376,0.7006283999096752,0.6608780362455342,0.039750363664140975
lightgbm,86,13,15630,277,15353,0.017722328854766475,0.8607214902436781,0.7214429804873561,0.6634202050833905,0.05802277540396561
lightgbm,87,14,17886,329,17557,0.018394274851839428,0.8528222361451274,0.7056444722902548,0.6659623739212467,0.039682098369008156
lightgbm,88,15,14234,265,13969,0.018617394969790643,0.848519700630912,0.697039401261824,0.6685045427591029,0.028534858502721083
lightgbm,89,16,13600,309,13291,0.022720588235294117,0.8268621806273755,0.653724361254751,0.6710467115969592,-0.017322350342208193
lightgbm,90,17,12103,330,11773,0.027265967115591174,0.8199418803682798,0.6398837607365595,0.6735888804348154,-0.03370511969825585
lightgbm,91,18,12674,288,12386,0.02272368628688654,0.8512677283492115,0.702535456698423,0.6761310492726715,0.026404407425751453
logistic_raw,73,0,8687,189,8498,0.021756647864625302,0.7060646700561973,0.41212934011239466,0.35295231513656894,0.05917702497582572
logistic_raw,74,1,11280,303,10977,0.026861702127659575,0.6532278261988538,0.30645565239770756,0.35111713955274215,-0.044661487155034596
logistic_raw,75,2,13656,290,13366,0.02123608670181605,0.6776935301614493,0.3553870603228986,0.3492819639689154,0.006105096353983153
logistic_raw,76,3,10261,255,10006,0.024851379007893967,0.6998763487005836,0.39975269740116715,0.34744678838508863,0.05230590901607851
logistic_raw,77,4,7754,197,7557,0.025406241939644053,0.6781993230467063,0.35639864609341254,0.34561161280126185,0.010787033292150694
logistic_raw,78,5,8755,195,8560,0.02227298686464877,0.6956113707165109,0.3912227414330218,0.34377643721743506,0.047446304215586765
logistic_raw,79,6,5158,112,5046,0.021713842574641335,0.6642496178019365,0.32849923560387295,0.34194126163360833,-0.013442026029735377
logistic_raw,80,7,6246,120,6126,0.01921229586935639,0.6708945478289259,0.34178909565785176,0.34010608604978154,0.0016830096080702184
logistic_raw,81,8,6743,188,6555,0.02788076523802462,0.6410203352970771,0.2820406705941543,0.33827091046595475,-0.05623023987180048
logistic_raw,82,9,5423,122,5301,0.022496773003872397,0.6038297753903532,0.20765955078070641,0.33643573488212797,-0.12877618410142155
logistic_raw,83,10,7295,156,7139,0.021384509938313912,0.6474610392175877,0.29492207843517537,0.33460055929830124,-0.039678480863125865
logistic_raw,84,11,9721,216,9505,0.022219936220553443,0.6310962066748496,0.2621924133496991,0.33276538371447445,-0.07057297036477533
logistic_raw,85,12,16239,308,15931,0.018966685140710635,0.6763263570902764,0.3526527141805529,0.33093020813064766,0.02172250604990522
logistic_raw,86,13,15630,277,15353,0.017722328854766475,0.7019299841680067,0.40385996833601334,0.32909503254682093,0.07476493578919241
logistic_raw,87,14,17886,329,17557,0.018394274851839428,0.6901542401276398,0.38030848025527964,0.32725985696299414,0.05304862329228549
logistic_raw,88,15,14234,265,13969,0.018617394969790643,0.6672316193403993,0.33446323868079864,0.32542468137916736,0.009038557301631278
logistic_raw,89,16,13600,309,13291,0.022720588235294117,0.6666495005136455,0.33329900102729093,0.32358950579534057,0.00970949523195036
logistic_raw,90,17,12103,330,11773,0.027265967115591174,0.6391757977292676,0.27835159545853516,0.32175433021151384,-0.04340273475297868
logistic_raw,91,18,12674,288,12386,0.02272368628688654,0.6854473913199489,0.37089478263989784,0.31991915462768705,0.05097562801221078
xgboost,73,0,8687,189,8498,0.021756647864625302,0.8095866939124177,0.6191733878248353,0.6231674759964895,-0.003994088171654142
