level,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
A,73,0,8687,189,8498,0.021756647864625302,0.711233330967386,0.4224666619347719,0.46703950413175727,-0.044572842196985374
A,74,1,11280,303,10977,0.026861702127659575,0.7444796816385656,0.4889593632771312,0.469884372791092,0.019074990486039167
A,75,2,13656,290,13366,0.02123608670181605,0.7477904564850599,0.49558091297011986,0.4727292414504268,0.022851671519693084
A,76,3,10261,255,10006,0.024851379007893967,0.7343313619671333,0.46866272393426667,0.4755741101097615,-0.00691138617549486
A,77,4,7754,197,7557,0.025406241939644053,0.7306927587223733,0.46138551744474654,0.4784189787690963,-0.01703346132434974
A,78,5,8755,195,8560,0.02227298686464877,0.7851857177090822,0.5703714354181644,0.48126384742843104,0.08910758798973334
A,79,6,5158,112,5046,0.021713842574641335,0.7538918733367307,0.5077837466734614,0.4841087160877658,0.02367503058569559
A,80,7,6246,120,6126,0.01921229586935639,0.7219862063336597,0.44397241266731946,0.48695358474710054,-0.04298117207978108
A,81,8,6743,188,6555,0.02788076523802462,0.7413372121330153,0.4826744242660306,0.4897984534064353,-0.00712402914040472
A,82,9,5423,122,5301,0.022496773003872397,0.7227409922656102,0.44548198453122034,0.49264332206577005,-0.04716133753454971
A,83,10,7295,156,7139,0.021384509938313912,0.7388415385333722,0.4776830770667444,0.4954881907251048,-0.017805113658360405
A,84,11,9721,216,9505,0.022219936220553443,0.7099694118105482,0.41993882362109636,0.49833305938443956,-0.0783942357633432
A,85,12,16239,308,15931,0.018966685140710635,0.7837588154109403,0.5675176308218806,0.5011779280437743,0.0663397027781063
A,86,13,15630,277,15353,0.017722328854766475,0.7859502993452989,0.5719005986905978,0.504022796703109,0.06787780198748883
A,87,14,17886,329,17557,0.018394274851839428,0.7446109095290667,0.48922181905813344,0.5068676653624438,-0.01764584630431032
A,88,15,14234,265,13969,0.018617394969790643,0.7794165517446313,0.5588331034892626,0.5097125340217785,0.04912056946748411
A,89,16,13600,309,13291,0.022720588235294117,0.7424413532382791,0.4848827064765582,0.5125574026811133,-0.027674696204555094
A,90,17,12103,330,11773,0.027265967115591174,0.7141408564537759,0.4282817129075518,0.515402271340448,-0.08712055843289623
A,91,18,12674,288,12386,0.02272368628688654,0.787312232000287,0.574624464000574,0.5182471399997828,0.05637732400079121
B,73,0,8687,189,8498,0.021756647864625302,0.7823048311398512,0.5646096622797023,0.5795906160686486,-0.01498095378894626
B,74,1,11280,303,10977,0.026861702127659575,0.7984585832182561,0.5969171664365123,0.5827684777311015,0.01414868870541075
B,75,2,13656,290,13366,0.02123608670181605,0.78886508227257,0.57773016454514,0.5859463393935543,-0.008216174848414304
B,76,3,10261,255,10006,0.024851379007893967,0.8212409809016552,0.6424819618033104,0.5891242010560073,0.05335776074730314
B,77,4,7754,197,7557,0.025406241939644053,0.784477228562082,0.568954457124164,0.5923020627184602,-0.02334760559429616
B,78,5,8755,195,8560,0.02227298686464877,0.8182818116462977,0.6365636232925953,0.5954799243809131,0.041083698911682176
B,79,6,5158,112,5046,0.021713842574641335,0.8028264962346413,0.6056529924692826,0.598657786043366,0.006995206425916667
B,80,7,6246,120,6126,0.01921229586935639,0.7721827728806182,0.5443655457612364,0.6018356477058189,-0.05747010194458246
B,81,8,6743,188,6555,0.02788076523802462,0.7878540013308015,0.575708002661603,0.6050135093682718,-0.02930550670666876
B,82,9,5423,122,5301,0.022496773003872397,0.7918008046734146,0.5836016093468293,0.6081913710307246,-0.024589761683895373
B,83,10,7295,156,7139,0.021384509938313912,0.799568818444011,0.5991376368880219,0.6113692326931776,-0.012231595805155648
B,84,11,9721,216,9505,0.022219936220553443,0.7945211584546145,0.5890423169092289,0.6145470943556305,-0.02550477744640156
B,85,12,16239,308,15931,0.018966685140710635,0.8198193589725823,0.6396387179451646,0.6177249560180834,0.021913761927081166
B,86,13,15630,277,15353,0.017722328854766475,0.837407804446079,0.674815608892158,0.6209028176805362,0.053912791211621736
B,87,14,17886,329,17557,0.018394274851839428,0.8234416844276039,0.6468833688552078,0.6240806793429892,0.022802689512218643
B,88,15,14234,265,13969,0.018617394969790643,0.8325081008216305,0.665016201643261,0.6272585410054421,0.037757660637818935
B,89,16,13600,309,13291,0.022720588235294117,0.7973911830255236,0.5947823660510472,0.630436402667895,-0.03565403661684785
B,90,17,12103,330,11773,0.027265967115591174,0.7956850420453581,0.5913700840907161,0.6336142643303478,-0.04224418023963172
B,91,18,12674,288,12386,0.02272368628688654,0.8291822812942928,0.6583645625885857,0.6367921259928008,0.021572436595784894
C,73,0,8687,189,8498,0.021756647864625302,0.817701270513697,0.635402541027394,0.6303720101912595,0.0050305308361344725
C,74,1,11280,303,10977,0.026861702127659575,0.8241316752609944,0.6482633505219888,0.6329141790291157,0.01534917149287307
C,75,2,13656,290,13366,0.02123608670181605,0.827542090842952,0.6550841816859041,0.635456347866972,0.019627833818932072
C,76,3,10261,255,10006,0.024851379007893967,0.8370722664440551,0.6741445328881102,0.6379985167048282,0.03614601618328195
