feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv
RevolvingUtilizationOfUnsecuredLines,"(-inf, 0.132]",42644,799,41845,0.49823485637743714,0.1328183403937204,1.3220892321271382,0.4831132410234862,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,"(0.132, 0.301]",13059,437,12622,0.15029022175919035,0.07268045518730791,0.7264957300820775,0.056383164027139346,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,"(0.301, 0.501]",9523,554,8969,0.10679565411519572,0.09211728548882797,0.14785462649539935,0.002170264710813391,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,"(0.501, 0.699]",6786,665,6121,0.0728858461080518,0.11055735526206495,-0.4166399731745204,0.01569545656337174,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,"(0.699, 0.941]",7389,1143,6246,0.07437416282184849,0.18996594401528366,-0.9377362064442762,0.10839459839246873,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,"(0.941, inf]",10599,2418,8181,0.09741330555142134,0.40177755627543815,-1.416935784247412,0.43126459829651065,1.0970213230137902
RevolvingUtilizationOfUnsecuredLines,MISSING,0,0,0,5.9532668551867834e-06,8.306337735692334e-05,0.0,0.0,1.0970213230137902
age,"(-inf, 36.5]",14363,1534,12829,0.1527548742372377,0.25492150510839773,-0.5121211672241691,0.05232169425309931,0.22837808078127955
age,"(36.5, 43.5]",12401,1103,11298,0.13452597112665576,0.1833208738267298,-0.30948075202369524,0.015101083182541948,0.22837808078127955
age,"(43.5, 52.5]",19742,1557,18185,0.2165262687899985,0.25874242046681617,-0.17812117728348678,0.007519590637053007,0.22837808078127955
age,"(52.5, 55.5]",6357,427,5930,0.07061169816937045,0.07101918764016944,-0.005754261760808556,2.3448010797507657e-06,0.22837808078127955
age,"(55.5, 63.5]",16655,846,15809,0.1882363446941509,0.1406262978652712,0.2915923237234578,0.013882724187415676,0.22837808078127955
age,"(63.5, inf]",20482,549,19933,0.2373388897157315,0.09128665171525874,0.9554844597426718,0.13955064372008985,0.22837808078127955
age,MISSING,0,0,0,5.9532668551867834e-06,8.306337735692334e-05,0.0,0.0,0.22837808078127955
NumberOfTime30-59DaysPastDueNotWorse,"(-inf, 0.5]",75582,3072,72510,0.8633641321172576,0.5105516782984381,0.5253446764239194,0.18534814438977673,0.7149036296525035
NumberOfTime30-59DaysPastDueNotWorse,"(0.5, 1.5]",9650,1421,8229,0.09798656919010311,0.2362080425390495,-0.8798825326852928,0.12161866004176367,0.7149036296525035
NumberOfTime30-59DaysPastDueNotWorse,"(1.5, inf]",4608,1439,3169,0.037738432595908845,0.23919906945829178,-1.8466171244063705,0.3720206619238896,0.7149036296525035
NumberOfTime30-59DaysPastDueNotWorse,MISSING,160,84,76,0.0009108660967304074,0.014041209704220672,-2.735355933608999,0.035916163297073485,0.7149036296525035
DebtRatio,"(-inf, 0.414]",49497,2912,46585,0.5546850349167416,0.48400498545907766,0.13630524080133258,0.009634061161176977,0.02002452301097183
DebtRatio,"(0.414, inf]",40503,3104,37399,0.4453090116746343,0.5159119235562941,-0.147167610695869,0.010390461849794853,0.02002452301097183
DebtRatio,MISSING,0,0,0,5.953408624107733e-06,8.309098462816784e-05,0.0,0.0,0.02002452301097183
MonthlyIncome,"(-inf, 3332.5]",17433,1640,15793,0.18804807915557858,0.27257622331145637,-0.3712206232402548,0.03137859035488705,0.07728908389825179
MonthlyIncome,"(3332.5, 5559.5]",20350,1597,18753,0.22329183856929388,0.2654315859433414,-0.1728775184105429,0.007285014952472523,0.07728908389825179
MonthlyIncome,"(5559.5, 6666.5]",7953,531,7422,0.0883772987325344,0.0883110409570491,0.0007499960518900933,4.969307002099603e-08,0.07728908389825179
MonthlyIncome,"(6666.5, inf]",26450,1278,25172,0.2997207884600501,0.2124283459333721,0.34424660025450643,0.03005012656772081,0.07728908389825179
MonthlyIncome,MISSING,17814,970,16844,0.20056199508254302,0.16125280385478108,0.2181500575886973,0.008575302330101382,0.07728908389825179
NumberOfOpenCreditLinesAndLoans,"(-inf, 2.5]",7741,1000,6741,0.08026980847884456,0.16626506024096385,-0.7281896971698809,0.06262085633870532,0.07107815856802968
NumberOfOpenCreditLinesAndLoans,"(2.5, inf]",82259,5016,77243,0.9197242381125313,0.833651848774408,0.09825801623911044,0.00845730222932436,0.07107815856802968
NumberOfOpenCreditLinesAndLoans,MISSING,0,0,0,5.953408624107733e-06,8.309098462816784e-05,0.0,0.0,0.07107815856802968
NumberOfTimes90DaysLate,"(-inf, 0.5]",84941,3909,81032,0.9648391686660197,0.6496884088076443,0.39546854596462205,0.12463221276083748,0.8504330062098014
NumberOfTimes90DaysLate,"(0.5, inf]",4899,2023,2876,0.03424995981449179,0.3362692147901953,-2.284226682232794,0.6898804407635715,0.8504330062098014
NumberOfTimes90DaysLate,MISSING,160,84,76,0.0009108715194884831,0.014042376402160366,-2.73543306775086,0.03592035268539255,0.8504330062098014
NumberRealEstateLoansOrLines,"(-inf, 0.5]",33590,2794,30796,0.36668829738466757,0.4643955130868301,-0.23622442678904626,0.02308083102239704,0.0394804871729319
NumberRealEstateLoansOrLines,"(0.5, inf]",56410,3222,53188,0.6333057492067083,0.5355213959285418,0.16771247751552698,0.01639965615053486,0.0394804871729319
NumberRealEstateLoansOrLines,MISSING,0,0,0,5.953408624107733e-06,8.309098462816784e-05,0.0,0.0,0.0394804871729319
NumberOfTime60-89DaysPastDueNotWorse,"(-inf, inf]",89840,5932,83908,0.9990891230576888,0.9859564567059996,0.013231794867630514,0.000173768747230585,0.036098311620533605
NumberOfTime60-89DaysPastDueNotWorse,MISSING,160,84,76,0.0009108769423111269,0.014043543294000333,-2.7355102087613896,0.03592454287330302,0.036098311620533605
NumberOfDependents,"(-inf, 0.5]",52183,3086,49097,0.5845879992617862,0.5128354241089973,0.1309523413514053,0.009396167714250371,0.0356791719375512
NumberOfDependents,"(0.5, 1.5]",15809,1163,14646,0.17439112238276389,0.19332059483259947,-0.10304931749401121,0.0019506692164772458,0.0356791719375512
NumberOfDependents,"(1.5, 2.5]",11652,937,10715,0.12758598108029268,0.15576971006064633,-0.19958820027385737,0.005625139744194942,0.0356791719375512
NumberOfDependents,"(2.5, inf]",8040,739,7301,0.086936590999744,0.12287114729583783,-0.3459572094743505,0.01243181881989557,0.0356791719375512
NumberOfDependents,MISSING,2316,91,2225,0.02649830627541331,0.015203123701919083,0.5555799033704112,0.006275376442733075,0.0356791719375512
